row_num,qid,video_name,gif_num,question,correct_answer,pure_language_answer,predicted_answer,evaluator_scores,accuracy,model_confidence,visual_description_quality,explanation,visual_evidence,changed
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,"eddy asks pororo, ""what are you doing?""","eddy asks pororo, ""what are you doing?""","1.0,1.0,1.0",1.0,1.0,POOR,"the visual description does not provide sufficient detail to assess the dialogue context accurately. however, the pure language answer aligns with the provided subtitles, which explicitly state ""pororo what are you doing.""","not applicable, as the visual description was deemed poor.",False
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.",eddy's friends were clearly interested in seeing his new toy as they ran toward it excitedly.,eddy's friends were clearly interested in seeing his new toy as they ran toward it excitedly.,"1.0,1.0,1.0",1.0,1.0,POOR,"the visual description and scene description indicate that pororo and crong are looking at the car and running toward it, which supports the idea that eddy's friends were interested in his new toy.","the scene description ""pororo and crong look at the car and run toward the car."" clearly illustrates their excitement and interest.",False
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","eddy said, ""what should i make today?""","eddy said, ""what should i make today?""","1.0,1.0,1.0",1.0,1.0,POOR,"the visual description is clear and relevant, indicating that eddy is looking at a book and questioning himself, which aligns with the provided subtitles. the pure language answer matches the dialogue from the subtitles.","the scene description and subtitles confirm eddy's action and dialogue, supporting the pure language answer.",False
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,"pororo looked to the ground as he lowered his head, possibly feeling shy or contemplative in response to loopy's stance.","pororo looked to the ground as he lowered his head, possibly feeling shy or contemplative in response to loopy's stance.","0.75,0.75,0.75",0.75,1.0,POOR,"the visual description provided is too vague and does not offer specific details relevant to the question about pororo's actions. therefore, the pure language answer is favored as it provides a clear interpretation of pororo's behavior.","none, as the visual description did not contribute effectively to the analysis.",False
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,a bomb box that crong hid exploded in pororo's face.,a bomb box that crong hid exploded in pororo's face.,"1.0,1.0,1.0",1.0,1.0,POOR,"the visual description does not provide sufficient detail to assess the situation accurately, but the pure language answer is explicitly supported by the subtitles.","the image shows pororo and crong, but does not clarify what exploded.",False
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"poby asks eddy, ""why are you so jumpy?""","poby asks eddy, ""why are you so jumpy?""","1.0,1.0,1.0",1.0,1.0,POOR,"the visual description is clear and relevant, indicating that the scene is from ""pororo,"" which supports the context of the dialogue. the subtitles directly state ""why are you so jumpy,"" aligning with the pure language answer.","the visual description confirms the context of the characters and scene, supporting the dialogue provided in the subtitles.",False
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,eddy confesses to loopy and pororo that he placed the box there.,eddy confesses to loopy and pororo that he placed the box there.,"0.75,0.75,0.75",0.75,1.0,POOR,"the visual description does not provide sufficient detail to assess the context of the scene or the actions taking place. therefore, the pure language answer is favored as it directly states eddy's confession.","none, as the visual description was deemed poor.",False
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"""crong, i apologize, i made a mistake.""","""crong, i apologize, i made a mistake.""","1.0,1.0,1.0",1.0,1.0,POOR,"the visual description is clear and relevant, providing context for the dialogue. the subtitles directly support the pure language answer, confirming pororo's apology to crong.","the scene description and subtitles indicate pororo's actions and words, reinforcing the dialogue content.",False
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away","eddy did not stay longer after agreeing to sing, as he stated he was going to leave.","eddy did not stay longer after agreeing to sing, as he stated he was going to leave.","1.0,1.0,1.0",1.0,1.0,POOR,the visual description does not provide relevant information to assess eddy's actions regarding staying longer after agreeing to sing. the pure language answer is clear and directly addresses the question based on the provided subtitles.,"none, as the visual description was not useful for this evaluation.",False
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","eddy's entrance impressed the audience, as evidenced by poby, loopy, and pororo clapping and exclaiming, ""wow eddy cool.""","eddy's entrance impressed the audience, as evidenced by poby, loopy, and pororo clapping and exclaiming, ""wow eddy cool.""","1.0,1.0,1.0",1.0,1.0,POOR,"the visual description does not provide sufficient detail to assess the scene's context or actions related to eddy's entrance. however, the pure language answer is supported by the scene description and subtitles, which indicate that the audience was impressed.","none, as the visual description was deemed poor.",False
