row_num,qid,video_name,gif_num,question,correct_answer,pure_language_answer,visual_description,visual_language_answer,predicted_answer,evaluator_scores,accuracy
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,"eddy asks pororo, ""what are you doing?""","Eddy, the orange fox, is smiling and appears excited while standing next to Poby, the white bear. The setting is outdoors on ice, with a bright blue sky in the background.","eddy asks pororo, ""what are you doing?""","eddy asks pororo, ""what are you doing?""","1.0,1.0,1.0",1.0
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.",eddy's friends were clearly interested in seeing his new toy as they ran toward it excitedly.,"Eddy's friends, Pororo and Crong, are looking at Eddy with interest, indicating their curiosity about his new toy. The setting is indoors, with bookshelves in the background, and the characters appear engaged and attentive.","eddy's friends, pororo and crong, were clearly interested in seeing his new toy as they looked at it with curiosity and ran toward it.",eddy's friends were clearly interested in seeing his new toy as they ran toward it excitedly.,"1.0,1.0,1.0",1.0
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","eddy said, ""what should i make today?""","Eddy, a small orange fox, holds a book with a joyful expression. He appears excited and curious, contemplating what to create.","eddy exclaimed, ""what should i make today?"" while holding the book with excitement.","eddy said, ""what should i make today?""","1.0,1.0,1.0",1.0
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,"pororo looked to the ground as he lowered his head, possibly feeling shy or contemplative in response to loopy's stance.","Pororo, a blue penguin, lowers his head while placing his right hand on it, looking down. Loopy, a pink character, stands beside him with hands on her sides, indicating a conversation.","pororo looked to the ground while lowering his head and placing his hand on it, possibly indicating embarrassment or contemplation during the conversation with loopy.","pororo looked to the ground as he lowered his head, possibly feeling shy or contemplative in response to loopy's stance.","0.75,0.75,0.75",0.75
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,a bomb box that crong hid exploded in pororo's face.,"A bomb box exploded in front of Pororo, who has a surprised expression. Crong, looking angry, is positioned to the right.","a bomb box that crong hid exploded in front of pororo, surprising him.",a bomb box that crong hid exploded in pororo's face.,"1.0,1.0,1.0",1.0
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"poby asks eddy, ""why are you so jumpy?""","Poby, a gray polar bear, appears to be standing on a snowy surface, looking slightly surprised. He asks Eddy, ""Why are you so jumpy?"" indicating curiosity about Eddy's behavior.","poby asks eddy, ""why are you so jumpy?"" indicating his curiosity about eddy's behavior.","poby asks eddy, ""why are you so jumpy?""","1.0,1.0,1.0",1.0
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,eddy confesses that he placed the box in loopy's house.,"Eddy, an orange fox, is smiling with his eyes closed, suggesting a lighthearted confession. The setting is Loopy's house, indicated by the warm, cozy interior.","eddy confesses in loopy's house that he placed the box there, smiling lightheartedly despite the situation.",eddy confesses that he placed the box in loopy's house.,"0.0,0.0,0.0",0.0
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"""crong, i apologize, i made a mistake.""","Pororo, with a concerned expression, lowers his head and then looks up at Crong. Crong, eyes closed, appears to listen attentively as Pororo says, ""Crong, I apologize, I made a mistake.""","""crong, i apologize, i made a mistake.""","""crong, i apologize, i made a mistake.""","1.0,1.0,1.0",1.0
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away","eddy did not stay longer after agreeing to sing, as he stated he was going to leave.","Eddy, a small orange dog with large ears, is smiling and sitting at a table. He appears engaged and happy, suggesting he may stay longer.","eddy appears happy and engaged, suggesting he may stay longer despite stating he is going to leave.","eddy did not stay longer after agreeing to sing, as he stated he was going to leave.","1.0,1.0,1.0",1.0
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","eddy's entrance impressed the audience, as evidenced by poby, loopy, and pororo clapping and exclaiming ""wow eddy cool.""","Poby, a polar bear, is smiling and raising his hands, while Loopy, a small pink character, stands behind him with a cheerful expression. The setting appears to be indoors, with a cozy wooden background, indicating a friendly atmosphere.","eddy's entrance impressed the audience, as indicated by poby and loopy's cheerful clapping and enthusiastic reaction.","eddy's entrance impressed the audience, as evidenced by poby, loopy, and pororo clapping and exclaiming ""wow eddy cool.""","1.0,1.0,1.0",1.0
