row_num,video_name,gif_num,qid,question,correct_answer,predicted_answer,evaluator_scores,accuracy,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE1,ROUGE2,ROUGEL,METEOR,BERTScore_Precision,BERTScore_Recall,BERTScore_F1,BLEURT
1,Pororo_ENGLISH1_1_ep1,14,383,whtat does eddy ask pororo,he asks pororo what are you doing,eddy asks crong why pororo is acting urgently,"0.25,0.25,0.25",0.25,0.25,0.059761430466719695,0.03904483328095401,0.03303164318013808,0.26666666666666666,0.0,0.26666666666666666,0.2112676056338028,0.6120453476905823,0.6330222487449646,0.6223570704460144,0.3879520893096924
2,Pororo_ENGLISH1_1_ep10,12,1100,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","yes, eddy's friends were interested in seeing his new toy, as they expressed excitement and planned to ride it together","1.0,1.0,1.0",1.0,0.15,0.02809757434745082,0.016368983753902038,0.012673718536830811,0.27586206896551724,0.07407407407407408,0.20689655172413796,0.16304347826086957,0.5422464609146118,0.6667638421058655,0.5980930328369141,0.5401806831359863
3,Pororo_ENGLISH1_1_ep10,4,1090,what did eddy say after getting the book?,"eddy told, "" what should i make today""",eddy expressed excitement about making a new toy after finding the book,"0.5,0.5,0.5",0.5,0.08333333333333333,0.027524094128159027,0.019640024396816252,0.017033186037639283,0.2105263157894737,0.0,0.2105263157894737,0.11904761904761905,0.4076347053050995,0.4258914291858673,0.41656312346458435,0.45193642377853394
4,Pororo_ENGLISH1_1_ep11,51,1181,why did pororo look to ground?,because he was sorry.,pororo looked to the ground likely due to feeling guilty or concerned after loopy expressed fear and needed reassurance during their snowman-making adventure,"1.0,1.0,1.0",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27324622869491577,0.38627803325653076,0.32007622718811035,0.26649340987205505
5,Pororo_ENGLISH1_1_ep12,29,1215,what exploded in pororo's face,a bomb box exploded pororo's face,"a bomb box that crong hid exploded in pororo's face, causing his unusual appearance","1.0,1.0,1.0",1.0,0.3571428571428572,0.23440361546924776,0.16605391603694544,0.08032276872815308,0.6363636363636364,0.4,0.6363636363636364,0.6558823529411765,0.6586276888847351,0.8549053072929382,0.7440396547317505,0.5263056755065918
6,Pororo_ENGLISH1_1_ep12,36,1222,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"poby asks eddy, ""what are you arguing about","0.25,0.25,0.25",0.25,0.25,0.18898223650461357,0.08411954328699874,0.05873949094699214,0.375,0.2857142857142857,0.375,0.234375,0.636997640132904,0.6488629579544067,0.642875611782074,0.45042550563812256
7,Pororo_ENGLISH1_1_ep12,43,1226,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,"eddy confesses to placing the box that caused the explosion, apologizing for the unintended trouble it caused","0.75,0.75,0.75",0.75,0.23529411764705885,0.17149858514250885,0.058095604449270616,0.03440134693333791,0.37037037037037035,0.24000000000000005,0.37037037037037035,0.3795918367346939,0.48869267106056213,0.6133837103843689,0.5439842343330383,0.4244533181190491
8,Pororo_ENGLISH1_1_ep12,49,1232,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"pororo tells crong, ""you are such a troublemaker; it won't be funny the next time,"" after realizing it was eddy who caused the trouble","0.5,0.5,0.5",0.5,0.08333333333333333,0.019034674690672018,0.011809261666821065,0.009410489957951634,0.17142857142857143,0.0,0.17142857142857143,0.13157894736842105,0.4570152163505554,0.6748412251472473,0.5449678897857666,0.4056898355484009
9,Pororo_ENGLISH1_1_ep13,12,1258,did eddy stay longer after agreeing to sing,"no, he left right away","eddy did not stay longer after agreeing to sing, as he mentioned needing to do something at home","1.0,1.0,1.0",1.0,0.05555555555555554,0.018077538151554672,0.012687796283482497,0.010802314890908065,0.08695652173913045,0.0,0.08695652173913045,0.07936507936507937,0.3464958667755127,0.4019662141799927,0.37217551469802856,0.29913514852523804
10,Pororo_ENGLISH1_1_ep13,41,1283,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","eddy's entrance did impress the audience, as indicated by their enthusiastic reactions and applause","1.0,1.0,1.0",1.0,0.07142857142857141,0.023440361546924773,0.016605391603694546,0.01428363257865929,0.09090909090909091,0.0,0.09090909090909091,0.06493506493506494,0.41871777176856995,0.5394417643547058,0.47147440910339355,0.3690372109413147
