row_num,video_name,gif_num,qid,question,correct_answer,visual_desc,initial_predicted_answer,predicted_answer,evaluator_scores,accuracy,similarity,hallucination
1,Pororo_ENGLISH1_1_ep1,14,383,whtat does eddy ask pororo,he asks pororo what are you doing,This is a cartoon image from Pororo.,eddy asks crong why pororo is acting urgently,eddy asks crong why pororo is acting so urgently,"0.25,0.25,0.25",0.25,0.6373194490429436,True
2,Pororo_ENGLISH1_1_ep10,12,1100,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.",This is a cartoon image from Pororo.,"yes, eddy's friends were interested in seeing his new toy, as they expressed excitement about it and planned to ride it together","yes, eddy's friends were interested in seeing his new toy, as they expressed excitement and planned to ride it together","1.0,1.0,1.0",1.0,0.6546764282190917,True
3,Pororo_ENGLISH1_1_ep10,4,1090,what did eddy say after getting the book?,"eddy told, "" what should i make today""",This is a cartoon image from Pororo.,eddy expressed excitement about making a new toy after finding the book,"eddy expressed excitement about making a new toy after finding the book, saying, ""i am making a new toy","0.75,0.75,0.75",0.75,0.6175164527462257,True
4,Pororo_ENGLISH1_1_ep11,51,1181,why did pororo look to ground?,because he was sorry.,This is a cartoon image from Pororo.,pororo looked to the ground likely due to concern for loopy's safety and the situation they were in,pororo looked to the ground likely because he was concerned for loopy's safety as she was afraid to cross,"0.5,0.5,0.5",0.5,0.34538372784323357,True
5,Pororo_ENGLISH1_1_ep12,29,1215,what exploded in pororo's face,a bomb box exploded pororo's face,This is a cartoon image from Pororo.,"a bomb box that crong hid exploded in pororo's face, causing his unusual appearance","a bomb box that crong hid exploded in pororo's face, causing his unusual appearance","1.0,1.0,1.0",1.0,1.0,False
6,Pororo_ENGLISH1_1_ep12,36,1222,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,This is a cartoon image from Pororo.,"poby asks eddy, ""what are you arguing about","poby asks eddy, ""what are you arguing about","0.25,0.25,0.25",0.25,1.0,False
7,Pororo_ENGLISH1_1_ep12,43,1226,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,This is a cartoon image from Pororo.,"in loopy's house, eddy confesses to placing the box that caused the explosion, apologizing for the unintended trouble it caused","in loopy's house, eddy confesses to placing the box that exploded, apologizing for the trouble it caused pororo","1.0,1.0,1.0",1.0,0.5914094238189685,True
8,Pororo_ENGLISH1_1_ep12,49,1232,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,This is a cartoon image from Pororo.,"pororo tells crong, ""you are such a troublemaker; it won't be funny the next time,"" after realizing it was eddy who played the trick","pororo tells crong, ""you are such a troublemaker; it won't be funny the next time,"" after realizing it was eddy who played the trick","0.5,0.5,0.5",0.5,1.0,False
9,Pororo_ENGLISH1_1_ep13,12,1258,did eddy stay longer after agreeing to sing,"no, he left right away",This is a cartoon image from Pororo.,"eddy did not stay longer after agreeing to sing, as he left to do something at home","no, eddy did not stay longer after agreeing to sing; he left to do something at home","1.0,1.0,1.0",1.0,0.6406668538989708,True
10,Pororo_ENGLISH1_1_ep13,41,1283,did eddy's entrance impress the audience,"yes, they were all surprised and clapped",This is a cartoon image from Pororo.,"eddy's entrance did impress the audience, as indicated by their enthusiastic reactions and clapping","no, eddy's entrance did not impress the audience, as they expressed doubt about his singing ability and were skeptical of his performance","0.0,0.0,0.0",0.0,0.2537924102409905,True
11,Pororo_ENGLISH1_1_ep2,16,711,did crong score after he shot the ball at the hoop?,no he did not score,This is a cartoon image from Pororo.,"crong misses his shot at the hoop, resulting in disappointment","no, crong did not score after he shot the ball at the hoop; he missed and felt disappointed","1.0,1.0,1.0",1.0,0.24052229545946807,True
12,Pororo_ENGLISH1_1_ep2,19,716,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,This is a cartoon image from Pororo.,"yes, pororo apologizes to poby for knocking his things down and expresses his regret","yes, pororo apologizes to poby for knocking his things down and says, ""i am really sorry","1.0,1.0,1.0",1.0,0.4821867028843918,True
13,Pororo_ENGLISH1_1_ep2,26,730,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,This is a cartoon image from Pororo.,eddy tells poby that they are going to leave now after the camera is broken,"eddy tells poby, ""we are going to leave now"" after the camera is broken","1.0,1.0,1.0",1.0,0.5895679837500017,True
14,Pororo_ENGLISH1_1_ep2,30,738,what does pororo almost forget to leave with poby,the broken camera piece,This is a cartoon image from Pororo.,pororo almost forgets to leave poby's precious camera behind before they go out to play,pororo almost forgets to take poby's precious camera with him before they go out to play,"0.5,0.5,0.5",0.5,0.5302075652592659,True
15,Pororo_ENGLISH1_1_ep5,41,912,how did pororo feel after seeing that the flower has wilted,he was very upset,This is a cartoon image from Pororo.,"pororo felt sad and concerned after seeing that the flower had wilted, wondering how it happened","pororo felt sad and surprised after seeing that the dandelion had wilted, wondering how it happened","1.0,1.0,1.0",1.0,0.5568381436236874,True
16,Pororo_ENGLISH1_1_ep6,2,925,when and who will go to picnic,loopy is going to picnic tomorrow for fun,This is a cartoon image from Pororo.,"loopy is preparing for a picnic tomorrow by cooking, and she goes to poby's house to get salt","loopy is cooking to prepare for a picnic tomorrow, and she goes to poby's house to get salt","0.5,0.5,0.5",0.5,0.6086553719174067,True
17,Pororo_ENGLISH1_1_ep6,23,946,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him",This is a cartoon image from Pororo.,crong is scared of pororo because he mistakenly thinks pororo is a ghost in the dark,crong is scared of pororo because he mistakes him for a ghost in the dark,"0.75,0.75,0.75",0.75,0.5046842831412237,True
18,Pororo_ENGLISH1_1_ep6,4,928,what seasoning does loopy add to her mixing bowl,loopy adds some salt,This is a cartoon image from Pororo.,loopy adds salt to her mixing bowl while cooking,"loopy tries to add salt to her mixing bowl while cooking, but the salt ran out","0.75,0.75,0.75",0.75,0.46908352370424006,True
19,Pororo_ENGLISH1_1_ep6,43,965,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby",This is a cartoon image from Pororo.,"eddy thinks the ghost must have run away after seeing him, poby, and loopy in the windy night","eddy thinks the ghost ran away after seeing him, poby, and loopy in the dark and windy night","1.0,1.0,1.0",1.0,0.5518028870501762,True
20,Pororo_ENGLISH1_1_ep9,16,1052,what do loopy's friends do when they're inside?,they share a snack at the table,This is a cartoon image from Pororo.,"loopy's friends drink juice, dance together, and encourage her about body image while having a good time inside","loopy's friends drink juice, encourage her about body image, and dance together while having a good time inside","0.25,0.25,0.25",0.25,0.7,False
21,Pororo_ENGLISH1_2_ep10,14,1857,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""",This is a cartoon image from Pororo.,"pororo asked loopy what she did a minute ago, to which she replied it was a secret until tomorrow","pororo asked loopy what she did a minute ago, and she replied that it was a secret until tomorrow","1.0,0.75,0.75",0.75,0.5868580697185369,True
22,Pororo_ENGLISH1_2_ep2,17,1435,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,This is a cartoon image from Pororo.,"poby tells loopy, ""i could not sleep,"" expressing his sleeplessness during their late-night conversation","poby tells loopy, ""i could not sleep,"" indicating his sleeplessness during their late-night conversation","1.0,1.0,1.0",1.0,0.6158565600680742,True
