row_num,qid,video_name,gif_num,question,correct_answer,pure_language_answer,predicted_answer,evaluator_scores,accuracy
1,383,Pororo_ENGLISH1_1_ep1,14.0,whtat does eddy ask pororo,he asks pororo what are you doing,eddy asks crong why pororo is acting urgently.,eddy asks crong why pororo is acting urgently.,"0.25,0.25,0.25",0.25
2,1100,Pororo_ENGLISH1_1_ep10,12.0,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","yes, eddy's friends were interested in seeing his new toy, as they expressed excitement and planned to ride it together.","yes, eddy's friends were interested in seeing his new toy, as they expressed excitement and planned to ride it together.","1.0,1.0,1.0",1.0
3,1090,Pororo_ENGLISH1_1_ep10,4.0,what did eddy say after getting the book?,"eddy told, "" what should i make today""","eddy excitedly exclaimed, ""what should i make today?"" after finding the book.","eddy excitedly exclaimed, ""what should i make today?"" after finding the book.","1.0,1.0,1.0",1.0
4,1181,Pororo_ENGLISH1_1_ep11,51.0,why did pororo look to ground?,because he was sorry.,"pororo looked to the ground because he was feeling uncertain and focused on the situation at hand, especially regarding loopy's fear.","pororo looked to the ground because he was feeling uncertain and focused on the situation at hand, especially regarding loopy's fear.","0.75,0.75,0.75",0.75
5,1215,Pororo_ENGLISH1_1_ep12,29.0,what exploded in pororo's face,a bomb box exploded pororo's face,"a bomb box that crong hid exploded in pororo's face, causing his unusual appearance.","a bomb box that crong hid exploded in pororo's face, causing his unusual appearance.","1.0,1.0,1.0",1.0
6,1222,Pororo_ENGLISH1_1_ep12,36.0,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"poby asks eddy, ""what is that box?"" when he sees him.","poby asks eddy, ""what is that box?"" when he sees him.","0.0,0.0,0.0",0.0
7,1226,Pororo_ENGLISH1_1_ep12,43.0,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,"eddy confesses to placing the box that caused the explosion, apologizing for the trouble it caused pororo and crong.","eddy confesses to placing the box that caused the explosion, apologizing for the trouble it caused pororo and crong.","0.75,0.75,0.75",0.75
8,1232,Pororo_ENGLISH1_1_ep12,49.0,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"pororo says to crong, ""i thought you played a trick on me again, but it was eddy who caused the trouble!""","pororo says to crong, ""i thought you played a trick on me again, but it was eddy who caused the trouble!""","1.0,0.75,1.0",1.0
9,1258,Pororo_ENGLISH1_1_ep13,12.0,did eddy stay longer after agreeing to sing,"no, he left right away","eddy did not stay longer after agreeing to sing, as he mentioned he had to do something at home and left.","eddy did not stay longer after agreeing to sing, as he mentioned he had to do something at home and left.","1.0,1.0,1.0",1.0
10,1283,Pororo_ENGLISH1_1_ep13,41.0,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","eddy's entrance impressed the audience, as they expressed excitement and admiration for his performance, despite his initial hesitation about singing.","eddy's entrance impressed the audience, as they expressed excitement and admiration for his performance, despite his initial hesitation about singing.","1.0,1.0,1.0",1.0
11,711,Pororo_ENGLISH1_1_ep2,16.0,did crong score after he shot the ball at the hoop?,no he did not score,"crong did not score after he shot the ball at the hoop, as he missed his shot and felt disappointed.","crong did not score after he shot the ball at the hoop, as he missed his shot and felt disappointed.","1.0,1.0,1.0",1.0
12,716,Pororo_ENGLISH1_1_ep2,19.0,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"yes, pororo apologizes to poby for knocking his things down.","yes, pororo apologizes to poby for knocking his things down.","1.0,1.0,1.0",1.0
13,730,Pororo_ENGLISH1_1_ep2,26.0,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,eddy tells poby that they are going to leave now.,eddy tells poby that they are going to leave now.,"1.0,1.0,1.0",1.0
14,738,Pororo_ENGLISH1_1_ep2,30.0,what does pororo almost forget to leave with poby,the broken camera piece,pororo almost forgets to leave with poby's precious camera.,pororo almost forgets to leave with poby's precious camera.,"0.5,0.5,0.5",0.5
15,912,Pororo_ENGLISH1_1_ep5,41.0,how did pororo feel after seeing that the flower has wilted,he was very upset,"pororo felt sad and surprised after seeing that the flower had wilted, wondering how it happened.","pororo felt sad and surprised after seeing that the flower had wilted, wondering how it happened.","1.0,1.0,1.0",1.0
16,925,Pororo_ENGLISH1_1_ep6,2.0,when and who will go to picnic,loopy is going to picnic tomorrow for fun,loopy will go on a picnic tomorrow with friends after finishing cooking tonight.,loopy will go on a picnic tomorrow with friends after finishing cooking tonight.,"1.0,1.0,1.0",1.0
17,946,Pororo_ENGLISH1_1_ep6,23.0,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him",crong is scared of pororo because he mistakenly thought pororo was a ghost in the dark.,crong is scared of pororo because he mistakenly thought pororo was a ghost in the dark.,"0.75,0.75,0.75",0.75
18,928,Pororo_ENGLISH1_1_ep6,4.0,what seasoning does loopy add to her mixing bowl,loopy adds some salt,loopy adds salt to her mixing bowl while cooking.,loopy adds salt to her mixing bowl while cooking.,"1.0,1.0,1.0",1.0
19,965,Pororo_ENGLISH1_1_ep6,43.0,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","eddy thinks the ghost must have run away after it saw him, poby, and loopy in the windy night.","eddy thinks the ghost must have run away after it saw him, poby, and loopy in the windy night.","1.0,1.0,1.0",1.0
20,1052,Pororo_ENGLISH1_1_ep9,16.0,what do loopy's friends do when they're inside?,they share a snack at the table,"loopy's friends drink juice, dance together, and enjoy their time inside.","loopy's friends drink juice, dance together, and enjoy their time inside.","0.25,0.25,0.25",0.25
21,1857,Pororo_ENGLISH1_2_ep10,14.0,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""",pororo asked loopy what she did a minute ago.,pororo asked loopy what she did a minute ago.,"1.0,1.0,1.0",1.0
22,1435,Pororo_ENGLISH1_2_ep2,17.0,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"loopy, i could not sleep.","loopy, i could not sleep.","0.5,0.75,0.5",0.5
23,1441,Pororo_ENGLISH1_2_ep2,23.0,what did poby's friend decide,poby's friend decided to help poby to get some sleep,poby's friend decided to help him get some sleep after staying up all night together.,poby's friend decided to help him get some sleep after staying up all night together.,"1.0,1.0,1.0",1.0
24,1572,Pororo_ENGLISH1_2_ep5,19.0,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,eddy is interrupted by loopy as he was saying hello.,eddy is interrupted by loopy as he was saying hello.,"0.25,0.0,0.25",0.25
25,1579,Pororo_ENGLISH1_2_ep5,26.0,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,"loopy proposed that the group ask questions to the magic flower, claiming it would provide answers to everything.","loopy proposed that the group ask questions to the magic flower, claiming it would provide answers to everything.","0.75,0.75,0.75",0.75
26,1762,Pororo_ENGLISH1_2_ep8,43.0,what did pororo think next?,pororo thought next: wjat should i do?,pororo thought being a superhero was more challenging than he expected after his trap backfired on him.,pororo thought being a superhero was more challenging than he expected after his trap backfired on him.,"0.25,0.25,0.25",0.25
