row_num,qid,video_name,gif_num,question,correct_answer,visual_description,pure_language_answer,visual_language_answer,predicted_answer,evaluator_scores,accuracy
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,"Eddy, a small orange fox, is smiling and standing next to Poby, a white bear, in a snowy outdoor setting. Eddy appears to be asking Pororo about his urgent action, indicating curiosity.",eddy asks crong why pororo is acting urgently.,eddy asks pororo about the reason for his urgent action.,eddy asks crong why pororo is acting urgently.,"0.25,0.25,0.25",0.25
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","Eddy is excitedly showing his new toy to Pororo and Crong, who are both looking at it with interest. The setting is a cozy indoor space with bookshelves in the background, indicating a playful atmosphere.","yes, eddy's friends were interested in seeing his new toy, as they expressed excitement and planned to ride it together.","yes, eddy's friends pororo and crong were interested in seeing his new toy, as they looked at it excitedly.","yes, eddy's friends were interested in seeing his new toy, as they expressed excitement and planned to ride it together.","1.0,1.0,1.0",1.0
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","Eddy, an orange fox, holds a book with a cheerful expression, looking excited. He appears to be in a cozy indoor setting surrounded by colorful bookshelves.","eddy excitedly exclaimed, ""ah, i found it!what should i make today?""","eddy excitedly exclaimed, ""what should i make today?"" after finding the book.","eddy excitedly exclaimed, ""ah, i found it!what should i make today?""","1.0,1.0,1.0",1.0
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,"Pororo looks to the ground while lowering his head, possibly in response to Loopy's concern. The snowy outdoor setting features trees and a bright blue sky, emphasizing the winter atmosphere.",pororo looked to the ground as he was focused on making a cute baby snowman and ensuring loopy's safety.,"pororo looked to the ground while lowering his head, likely responding to loopy's concern about the situation they were in.",pororo looked to the ground likely in response to loopy's concern about the situation they were in.,"0.5,0.5,0.5",0.5
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,"Pororo has a surprised expression with a messy face, indicating something exploded on him. Crong looks angry, suggesting tension between the two characters.","a bomb box that crong hid exploded in pororo's face, causing his unusual appearance.","a bomb box that crong hid exploded in pororo's face, making him look messy and surprised.","a bomb box that crong hid exploded in pororo's face, causing his unusual appearance.","1.0,1.0,1.0",1.0
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"Poby, a small gray bear, appears curious and slightly concerned as he stops moving his feet. He likely asks Eddy about the box, indicating interest in the situation.","poby asks eddy, ""what are you arguing about?"" when he sees him.","poby asks eddy, ""what is that box?"" indicating his curiosity about the situation.","poby asks eddy, ""what are you arguing about?"" when he sees him.","0.0,0.25,0.25",0.25
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,"Loopy, an orange fox, is smiling with closed eyes, indicating happiness. The indoor setting features wooden walls and kitchen items in the background.","in loopy's house, eddy confesses to placing the box that caused the explosion, apologizing for the trouble it caused.","eddy confesses to placing the box that caused the explosion, apologizing for the trouble it caused pororo.","in loopy's house, eddy confesses to placing the box that caused the explosion, apologizing for the trouble it caused.","1.0,1.0,1.0",1.0
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"Pororo looks surprised and slightly upset, lowering his head before looking up at Crong. Crong closes his eyes, appearing calm as Pororo expresses his frustration about the trick.","pororo says to crong, ""i thought you played a trick on me again, but it was eddy who caused the trouble.""","pororo says to crong, ""i thought you played a trick on me again, but it was eddy who caused this mess!""","pororo says to crong, ""i thought you played a trick on me again, but it was eddy who caused the trouble.""","1.0,1.0,1.0",1.0
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away","Eddy is smiling with his eyes closed, indicating happiness. He is seated at a table, suggesting he is engaged in conversation.","eddy did not stay longer after agreeing to sing, as he left to do something at home.","eddy did not stay longer after agreeing to sing, as he mentioned he had to do something at home and left.","eddy did not stay longer after agreeing to sing, as he left to do something at home.","1.0,1.0,1.0",1.0
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","Eddy is smiling and raising his hands in a welcoming gesture, while Poby stands behind him with a cheerful expression. The setting appears to be indoors, likely in a cozy, wooden environment.","eddy's entrance impressed the audience, as they expressed excitement and admiration for his performance, despite his initial hesitation about singing.","eddy's entrance impressed the audience, as indicated by their enthusiastic reactions and cheerful expressions.","eddy's entrance impressed the audience, as they expressed excitement and admiration for his performance.","1.0,1.0,1.0",1.0
