row_num,video_name,gif_num,qid,question,correct_answer,predicted_answer,evaluator_scores,accuracy
1,Pororo_ENGLISH1_1_ep1,14,383,whtat does eddy ask pororo,he asks pororo what are you doing,"eddy inquires about pororo's urgent action, seeking an explanation for the penguin's sudden and mysterious behavior","0.0,0.0,0.0",0.0
2,Pororo_ENGLISH1_1_ep10,12,1100,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","pororo and crong eagerly ran toward eddy's new toy car, showing clear excitement and curiosity about the vehicle","0.0,0.0,0.0",0.0
3,Pororo_ENGLISH1_1_ep10,4,1090,what did eddy say after getting the book?,"eddy told, "" what should i make today""","eddy muttered ""where is it"" while searching for something in the book, expressing mild confusion and curiosity","0.0,0.0,0.0",0.0
4,Pororo_ENGLISH1_1_ep11,51,1181,why did pororo look to ground?,because he was sorry.,pororo looks down due to guilt and embarrassment after causing a potentially dangerous situation for loopy while crossing a precarious path,"0.0,0.0,0.0",0.0
5,Pororo_ENGLISH1_1_ep12,29,1215,what exploded in pororo's face,a bomb box exploded pororo's face,"a hidden bomb box that eddy placed unexpectedly exploded in pororo's face, causing a comical and surprising moment in their animated interaction","0.0,0.0,0.0",0.0
6,Pororo_ENGLISH1_1_ep12,36,1222,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"poby asks eddy, ""what is that box","0.0,0.0,0.0",0.0
7,Pororo_ENGLISH1_1_ep12,43,1226,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,"eddy confesses to placing the trick box that exploded and dirtied pororo, revealing he was responsible for the prank","0.0,0.0,0.0",0.0
8,Pororo_ENGLISH1_1_ep12,49,1232,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"pororo scolds crong for the prank, initially believing crong was responsible, but later learns eddy actually set up the trick","0.0,0.0,0.0",0.0
9,Pororo_ENGLISH1_1_ep13,12,1258,did eddy stay longer after agreeing to sing,"no, he left right away","eddy quickly left after failing to sing, avoiding further embarrassment by making an excuse about having something to do at home","0.0,0.0,0.0",0.0
10,Pororo_ENGLISH1_1_ep13,41,1283,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","eddy's entrance did not impress the audience, as he struggled to sing and awkwardly avoided performing","0.0,0.0,0.0",0.0
11,Pororo_ENGLISH1_1_ep2,16,711,did crong score after he shot the ball at the hoop?,no he did not score,"crong missed the basketball shot, failing to score and experiencing disappointment in poby's house","0.0,0.0,0.0",0.0
12,Pororo_ENGLISH1_1_ep2,19,716,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"yes, pororo sincerely apologizes to poby for accidentally knocking down his precious camera and helps repair it, demonstrating friendship and remorse","0.0,0.0,0.0",0.0
13,Pororo_ENGLISH1_1_ep2,26,730,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,eddy tells poby they are going to leave after accidentally breaking his precious camera,"0.0,0.0,0.0",0.0
14,Pororo_ENGLISH1_1_ep2,30,738,what does pororo almost forget to leave with poby,the broken camera piece,"pororo almost forgets to leave his camera with poby, creating a moment of tension and potential misunderstanding in their friendship","0.0,0.0,0.0",0.0
15,Pororo_ENGLISH1_1_ep5,41,912,how did pororo feel after seeing that the flower has wilted,he was very upset,"pororo felt sad and disappointed upon discovering the wilted dandelion, experiencing a poignant moment of learning about the natural life cycle of plants","0.0,0.0,0.0",0.0
16,Pororo_ENGLISH1_1_ep6,2,925,when and who will go to picnic,loopy is going to picnic tomorrow for fun,"loopy will go on a picnic tomorrow, preparing food enthusiastically while wearing a chef hat and cooking in the kitchen","0.0,0.0,0.0",0.0
17,Pororo_ENGLISH1_1_ep6,23,946,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him","crong is scared because the dark, spooky nighttime setting and misunderstood sounds triggered his imagination, making him believe a ghost was nearby","0.0,0.0,0.0",0.0
18,Pororo_ENGLISH1_1_ep6,4,928,what seasoning does loopy add to her mixing bowl,loopy adds some salt,loopy adds salt from a salt bottle to her mixing bowl while preparing food for a picnic,"0.0,0.0,0.0",0.0
19,Pororo_ENGLISH1_1_ep6,43,965,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","eddy believes the ghost fled in panic after being spotted by him, poby, and loopy during a windy, dark night","0.0,0.0,0.0",0.0
20,Pororo_ENGLISH1_1_ep9,16,1052,what do loopy's friends do when they're inside?,they share a snack at the table,"pororo, crong, poby, and eddy sit together drinking juice, enjoying a cozy indoor social moment around a shared table","0.0,0.0,0.0",0.0
21,Pororo_ENGLISH1_2_ep10,14,1857,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""","pororo curiously asked loopy about a secret she was keeping, which turned out to be knitting mufflers for all her friends","0.0,0.0,0.0",0.0
22,Pororo_ENGLISH1_2_ep2,17,1435,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"poby can tell loopy ""i could not sleep"" by directly expressing his sleeplessness with a simple, honest statement during their nighttime encounter","0.0,0.0,0.0",0.0
23,Pororo_ENGLISH1_2_ep2,23,1441,what did poby's friend decide,poby's friend decided to help poby to get some sleep,poby's friend loopy decided to help him sleep by inviting him over and playing games to tire him out,"0.0,0.0,0.0",0.0
24,Pororo_ENGLISH1_2_ep5,19,1572,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,"pororo interrupts eddy as he was saying hello to loopy, standing up and raising his left arm while crong slides down behind him","0.0,0.0,0.0",0.0
25,Pororo_ENGLISH1_2_ep5,26,1579,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,"loopy proposed using a magic flower to predict events and answer questions for the group, challenging them to test its supposed mystical forecasting abilities","0.0,0.0,0.0",0.0
26,Pororo_ENGLISH1_2_ep8,43,1762,what did pororo think next?,pororo thought next: wjat should i do?,pororo contemplated his failed superhero mission and the irony of accidentally trapping himself while attempting to save loopy,"0.0,0.0,0.0",0.0
27,Pororo_ENGLISH1_2_ep8,48,1767,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","poby, eddy, and loopy peered down from a hole, seemingly observing or discussing a situation involving pororo and crong's superhero misadventures","0.0,0.0,0.0",0.0
28,Pororo_ENGLISH1_2_ep8,49,1768,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,"loopy narrated a story about alice being saved by super fox from an evil man, inspiring pororo and crong to become superheroes","0.0,0.0,0.0",0.0
29,Pororo_ENGLISH1_3_ep1,15,2079,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,"pororo suspects eddy is hiding a potential treasure map, intriguing him with the mysterious and secretive nature of the document","0.0,0.0,0.0",0.0
30,Pororo_ENGLISH1_3_ep11,1,2513,what did pororo see moving?,pororo saw the magnet moving.,pororo saw a wind-up toy moving on the floor while sitting on the sofa with an open book,"0.0,0.0,0.0",0.0
