row_num,qid,video_name,gif_num,question,correct_answer,blip2_visual_description,pure_language_answer,visual_language_answer,visual_language_critic_answer,model_confidence,changed,evaluator_scores,accuracy
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,eddy asks pororo,"eddy asks pororo, ""what are you doing?""","eddy asks pororo, ""what are you doing?""","eddy asks pororo, ""what are you doing?""",1.0,False,"1.0,1.0,1.0",1.0
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.",eddy's friends were interested in seeing his new toy,"yes, eddy's friends were interested in seeing his new toy as they ran toward it.",eddy's friends were indeed interested in seeing his new toy.,eddy's friends were indeed interested in seeing his new toy.,1.0,True,"1.0,1.0,1.0",1.0
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""",eddy said,"eddy said, ""what should i make today?""","eddy said, ""what should i make today?""","eddy said, ""what should i make today?""",1.0,False,"1.0,1.0,1.0",1.0
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,he was looking at the ground,"pororo looked to the ground while lowering his head, possibly feeling shy or contemplative.",pororo looked to the ground because he was feeling contemplative after lowering his head.,pororo looked to the ground because he was feeling contemplative after lowering his head.,0.75,True,"0.75,0.75,0.75",0.75
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,a exploding teddy bear,a bomb box that crong hid exploded in pororo's face.,"a bomb box that crong hid exploded in pororo's face, resembling an exploding teddy bear.",a bomb box that crong hid exploded in pororo's face.,0.75,False,"1.0,1.0,1.0",1.0
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,e,"poby asks eddy, ""why are you so jumpy?""","poby asks eddy, ""why are you so jumpy?""","poby asks eddy, ""why are you so jumpy?""",1.0,False,"1.0,1.0,1.0",1.0
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,a fox in a house,eddy confesses that he placed the box in loopy's house.,eddy confesses that he placed the box in loopy's house.,eddy confesses that he placed the box in loopy's house.,1.0,False,"0.0,0.0,0.0",0.0
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,e,"""crong, i apologize, i made a mistake.""","""crong, i apologize, i made a mistake.""","""crong, i apologize, i made a mistake.""",1.0,False,"1.0,1.0,1.0",1.0
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away",eddie stayed longer after agreeing to sing,"eddy did not stay longer after agreeing to sing, as he stated he was going to leave.","yes, eddy stayed longer after agreeing to sing.","eddy did not stay longer after agreeing to sing, as he stated he was going to leave.",0.25,False,"1.0,1.0,1.0",1.0
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped",eddie,"eddy's entrance impressed the audience, as indicated by poby, loopy, and pororo clapping and expressing excitement.","eddy's entrance impressed the audience, as indicated by poby, loopy, and pororo clapping and exclaiming ""wow eddy cool.""","eddy's entrance impressed the audience, as indicated by poby, loopy, and pororo clapping and expressing excitement.",0.75,False,"1.0,1.0,1.0",1.0
11,711,Pororo_ENGLISH1_1_ep2,16,did crong score after he shot the ball at the hoop?,no he did not score,yes,crong did not score after he shot the ball at the hoop.,crong did not score after he shot the ball at the hoop.,crong did not score after he shot the ball at the hoop.,1.0,False,"1.0,1.0,1.0",1.0
12,716,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,i do not know,"yes, pororo apologizes to poby for knocking his things down.","yes, pororo apologizes to poby for knocking his things down.","yes, pororo apologizes to poby for knocking his things down.",1.0,False,"1.0,1.0,1.0",1.0
13,730,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,eddy tells poby they are going to do,"eddy tells poby, ""poby, we are going to leave now.""",eddy tells poby that they are going to leave now.,"eddy tells poby, ""poby, we are going to leave now.""",1.0,False,"1.0,1.0,1.0",1.0
14,738,Pororo_ENGLISH1_1_ep2,30,what does pororo almost forget to leave with poby,the broken camera piece,a polar bear - psp - wikihow,pororo almost forgets to leave with the camera.,pororo almost forgets to leave with the camera.,pororo almost forgets to leave with the camera.,1.0,False,"0.5,0.5,0.5",0.5
15,912,Pororo_ENGLISH1_1_ep5,41,how did pororo feel after seeing that the flower has wilted,he was very upset,i felt sad,pororo felt sad after seeing that the flower had wilted.,pororo felt sad after seeing that the flower had wilted.,pororo felt sad after seeing that the flower had wilted.,1.0,False,"1.0,1.0,1.0",1.0
16,925,Pororo_ENGLISH1_1_ep6,2,when and who will go to picnic,loopy is going to picnic tomorrow for fun,a bear and a pig will go to picnic,loopy will go on a picnic tomorrow.,loopy the pig and a bear will go on a picnic tomorrow.,loopy the pig and a bear will go on a picnic tomorrow.,1.0,True,"1.0,1.0,1.0",1.0
17,946,Pororo_ENGLISH1_1_ep6,23,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him",a crocodal croco,crong is scared of pororo because he is surprised and holding a lamp that has gone out in a dark environment.,crong is scared of pororo because he is surprised and startled in the dark while holding a lamp that has gone out.,crong is scared of pororo because he is surprised and startled in the dark while holding a lamp that has gone out.,1.0,False,"0.5,0.5,0.5",0.5
18,928,Pororo_ENGLISH1_1_ep6,4,what seasoning does loopy add to her mixing bowl,loopy adds some salt,a spoon,loopy adds a little salt to her mixing bowl.,loopy adds a little salt to her mixing bowl.,loopy adds a little salt to her mixing bowl.,1.0,False,"1.0,1.0,1.0",1.0
19,965,Pororo_ENGLISH1_1_ep6,43,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby",eddy thinks the ghost is dead,"eddy thinks the ghost must have run away after seeing him, poby, and loopy.","eddy thinks the ghost must have run away after seeing them, but he also believes the ghost is dead.","eddy thinks the ghost must have run away after seeing him, poby, and loopy.",0.75,False,"1.0,1.0,1.0",1.0
20,1052,Pororo_ENGLISH1_1_ep9,16,what do loopy's friends do when they're inside?,they share a snack at the table,a frog,"loopy's friends, pororo, crong, poby, and eddy, sit around the table drinking juice.","loopy's friends, pororo, crong, poby, and eddy, sit around the table drinking juice.","loopy's friends, pororo, crong, poby, and eddy, sit around the table drinking juice.",0.75,False,"0.75,0.75,0.75",0.75
21,1857,Pororo_ENGLISH1_2_ep10,14,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""",squishy -,"pororo asked loopy, ""what was it that you did a minute ago?""","pororo asked loopy, ""what was it that you did a minute ago?""","pororo asked loopy, ""what was it that you did a minute ago?""",1.0,False,"1.0,1.0,1.0",1.0
22,1435,Pororo_ENGLISH1_2_ep2,17,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,i could not sleep,"loopy, i could not sleep.","""i could not sleep.""","loopy, i could not sleep.",1.0,False,"0.5,0.5,0.5",0.5
23,1441,Pororo_ENGLISH1_2_ep2,23,what did poby's friend decide,poby's friend decided to help poby to get some sleep,a fox hat to decide,eddy decided that they need to help poby get some sleep.,eddy decided they need to help poby get some sleep.,eddy decided that they need to help poby get some sleep.,0.75,False,"1.0,1.0,1.0",1.0
24,1572,Pororo_ENGLISH1_2_ep5,19,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,eddy,crong interrupts eddy as he was saying hello to loopy.,crong interrupts eddy as he was saying hello to loopy.,crong interrupts eddy as he was saying hello to loopy.,0.75,False,"0.0,0.0,0.0",0.0
