gif_num,video_name,qid,question,correct_answer,predicted_answer,accuracy
36,Pororo_ENGLISH1_1_ep12,1222,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"Poby asks Eddy, ""Why are you so jumpy?""",1.0
49,Pororo_ENGLISH1_1_ep12,1232,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,Pororo apologizes to Crong and says he made a mistake.,1.0
12,Pororo_ENGLISH1_1_ep13,1258,did eddy stay longer after agreeing to sing,"no, he left right away","No, Eddy left right away after agreeing to sing. He mentioned he had to do something at home and did not stay longer.",0.75
41,Pororo_ENGLISH1_1_ep13,1283,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","Yes, Eddy's entrance impressed the audience. The characters expressed excitement and admiration, with comments like ""wow eddy cool"" and ""really cool crong crong crong,"" indicating that they were impressed by his performance.",0.75
16,Pororo_ENGLISH1_1_ep2,711,did crong score after he shot the ball at the hoop?,no he did not score,"no, he did not score",1.0
26,Pororo_ENGLISH1_1_ep2,730,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,eddy says we are going to leave now,1.0
30,Pororo_ENGLISH1_1_ep2,739,did pororo return the camera before he left?,yes he did return it,yes he did return it,1.0
41,Pororo_ENGLISH1_1_ep5,912,how did pororo feel after seeing that the flower has wilted,he was very upset,"Pororo felt very upset after seeing that the dandelion had wilted, exclaiming ""oh no"" and questioning how it happened. However, he later learned from Crong that the flower would not truly die, as it would produce seeds that could blossom again, which made him feel hopeful about the possibility of many dandelions blooming in the future.",0.75
23,Pororo_ENGLISH1_1_ep6,946,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him","Crong is scared because it is dark, he doesn't have a lantern, and he mistakenly thinks Pororo is a ghost due to the spooky atmosphere created by the wind and strange noises.",0.75
4,Pororo_ENGLISH1_1_ep6,928,what seasoning does loopy add to her mixing bowl,loopy adds some salt,"Loopy adds salt to her mixing bowl, but she runs out and decides to go to Poby's to get some more.",0.25
43,Pororo_ENGLISH1_1_ep6,965,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","Eddy thinks the ghosts must have run away after they saw Eddy, Loopy, and Poby.",1.0
16,Pororo_ENGLISH1_1_ep9,1052,what do loopy's friends do when they're inside?,they share a snack at the table,they share a snack at the table,1.0
17,Pororo_ENGLISH1_2_ep2,1435,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,poby said to loopy that he could not sleep,1.0
48,Pororo_ENGLISH1_2_ep8,1767,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","Poby, Eddy, and Loopy told Pororo and Crong that they were there to save them.",1.0
15,Pororo_ENGLISH1_3_ep1,2080,what did pororo ask eddy?,pororo asked if eddy is hiding some kind of treasure.,Pororo asked if Eddy is hiding some kind of treasure.,1.0
1,Pororo_ENGLISH1_3_ep11,2513,what did pororo see moving?,pororo saw the magnet moving.,Pororo saw the magnet moving.,1.0
49,Pororo_ENGLISH1_3_ep2,2173,what was crong playing with as pororo entered the house,crong was playing with a snowboard,Crong was playing with a snowboard.,1.0
1,Pororo_ENGLISH1_3_ep5,2296,what were the friends talking about?,the friends were talking about something secretly.,"The friends were secretly talking about something, and it was revealed to be a surprise for Pororo's birthday.",0.75
25,Pororo_ENGLISH1_3_ep5,2334,what did pororo's friends said?,friends said : bye pororo.,"Pororo's friends said: ""bye pororo.""",0.75
25,Pororo_ENGLISH1_3_ep7,2425,"what does crong do when pororo says ""come here""",crong runs away from pororo,"Crong runs away from Pororo when he says ""come here.""",0.75
Average,Total Videos: 13,,Total Questions: 20,,,0.875
