gif_num,video_name,qid,question,correct_answer,predicted_answer,accuracy
1,Pororo_ENGLISH1_1_ep1,4,what is the nature of place where pororo leaves?,"it is the cold country , small village","Pororo lives in a cold country, specifically in a small village located in a forest surrounded by snowy mountains. The environment is characterized by a winter landscape with many trees covered in snow, creating a picturesque and chilly setting for the curious little penguin.",1.0
2,Pororo_ENGLISH1_1_ep1,83,what is the name of the little penguin,the name of the little penguin is pororo,The name of the little penguin is Pororo.,1.0
3,Pororo_ENGLISH1_1_ep1,112,what was the name of the penguin,his name is pororo,The name of the penguin is Pororo.,1.0
4,Pororo_ENGLISH1_1_ep1,127,what did pororo do after he rolled down the hill,found something and dug it up,"After Pororo rolled down the hill, he found something and dug it up.",1.0
5,Pororo_ENGLISH1_1_ep1,176,what did pororo find in the snow?,pororo found an egg in the snow.,"Pororo found an egg in the snow, which later hatched into a baby dinosaur. Initially, Pororo thought the baby dinosaur was a scary monster, but eventually, he made friends with it.",0.75
6,Pororo_ENGLISH1_1_ep1,200,what did pororo do with an egg,pororo came home with an egg,"Pororo came home with an egg, and when it hatched, a baby dinosaur emerged. Initially, Pororo thought the baby dinosaur was a scary monster, but he eventually made friends with it, and they played together.",0.25
7,Pororo_ENGLISH1_1_ep1,212,what did come out of the egg,a dinosaur came out of the egg,"a dinosaur came out of the egg, which Pororo initially thought was a scary monster.",0.75
8,Pororo_ENGLISH1_1_ep1,274,what does pororo think the baby dinosaur really is?,he thinks it is a dragon.,he thinks it is a dragon.,1.0
9,Pororo_ENGLISH1_1_ep1,290,what did the baby dinosaur say first?,the baby dinosaur only said: crong crong crong,the baby dinosaur only said: crong crong crong,1.0
10,Pororo_ENGLISH1_1_ep1,314,what does the dinosaur do while paroro runs away?,the dinosaur chases paroro,The dinosaur chases Pororo.,1.0
11,Pororo_ENGLISH1_1_ep1,332,what do they encounter next,a polar bear is on the road,a polar bear is on the road,1.0
12,Pororo_ENGLISH1_1_ep1,345,what does pororo do when he sees his friends,"he waves and says, ""hi friends""","he waves and says, ""hi friends""",1.0
13,Pororo_ENGLISH1_1_ep1,363,who does pororo see on the ice,"poby, eddy and loopy","Pororo sees Poby, Eddy, and Loopy on the ice.",1.0
14,Pororo_ENGLISH1_1_ep10,1102,what did eddy want to do with the new toy?,eddy wanted the new toy to be taken to the playground,Eddy wanted the new toy to be taken to the playground.,1.0
