row_num,qid,video_name,gif_num,question,correct_answer,visual_description,pure_language_answer,visual_language_answer,visual_language_critic_answer,model_confidence,changed,evaluator_scores,accuracy
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,"1. **Visible Actions in Sequence**:
   - First, Eddy stands outside on the ice with Poby and Loopy.
   - Then, Eddy looks toward Pororo and asks a question.
   - After that, Crong passes by Eddy, Poby, and Loopy.

2. **Character Behaviors**:
   - Eddy is standing and looking at Pororo while speaking.
   - Poby and Loopy are positioned next to Eddy, appearing to listen.
   - Crong moves past the group, indicating a response to the situation.

3. **Dialogue Integration**:
   - Eddy says ""Pororo what are you doing"" while looking toward Pororo and gesturing slightly.",eddy asks pororo what he is doing.,"eddy asks pororo, ""what are you doing?"" while looking at him with curiosity.","eddy asks pororo, ""what are you doing?"" while looking at him with curiosity.",1.0,True,1.0,1.0
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","First, Pororo and Crong look at the car. Then, they both run toward the car together. Eddy stands nearby, watching them. Crong has a wide smile on his face while looking at the car. Pororo appears excited as he moves quickly. Eddy remains stationary, observing the interaction between Pororo and Crong. 

While Crong says ""toy crong,"" he gestures toward the car with enthusiasm.","yes, eddy's friends were interested in seeing his new toy.","yes, eddy's friends were interested in seeing his new toy, as evidenced by their excitement and enthusiasm while running toward the car.","yes, eddy's friends were interested in seeing his new toy, as evidenced by their excitement and enthusiasm while running toward the car.",1.0,True,1.0,1.0
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","Eddy holds a book in both hands and smiles broadly. He looks down at the book, then raises it slightly while tilting his head to the side. As he does this, he says, ""what should I make today."" After speaking, he continues to look at the book with a cheerful expression.","eddy said, ""what should i make today?""","eddy said, ""what should i make today?""","eddy said, ""what should i make today?""",1.0,False,1.0,1.0
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,"First, Loopy puts her hands on her sides. Then, Pororo raises his right hand and places it on his head. After that, Pororo lowers his head.","pororo looked to the ground as he lowered his head, possibly feeling shy or contemplative.","pororo looked to the ground after placing his hand on his head, indicating a moment of contemplation or concern.","pororo looked to the ground after placing his hand on his head, indicating a moment of contemplation or concern.",0.75,True,0.75,0.75
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,"First, Pororo looks at Crong with a neutral expression while sitting at a table. Then, Crong's facial expression changes to an angry look, and he leans slightly forward. After that, a bomb box appears in the scene, and it suddenly explodes, causing Pororo to be startled and thrown back slightly.",a bomb box that crong hid exploded in pororo's face.,"a bomb box that crong hid exploded in pororo's face, startling him and causing him to be thrown back slightly.",a bomb box that crong hid exploded in pororo's face.,0.75,False,1.0,1.0
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"First, Poby moves his feet while standing on a snowy surface. Then, he stops moving and looks around. Finally, he appears to be in a stationary position, facing forward. 

While doing this, Poby says, ""why are you so jumpy.""","poby asks eddy, ""why are you so jumpy?""","poby asks, ""why are you so jumpy?"" when he sees eddy.","poby asks eddy, ""why are you so jumpy?""",1.0,False,1.0,1.0
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,"First, Eddy lowers his ears slightly while looking at Loopy and Pororo. Then, Loopy and Pororo both look in the same direction, maintaining their gaze. Pororo is covered in dirt.",eddy confesses that he placed the box there.,"eddy confesses, ""to be honest with you, i placed the box there,"" while loopy and pororo look on.","eddy confesses, ""to be honest with you, i placed the box there,"" while loopy and pororo look on.",1.0,True,1.0,1.0
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"First, Pororo lowers his head and looks at the ground. Then, he raises his head and looks directly at Crong. Crong closes his eyes and looks at Pororo. While doing this, Pororo says, ""Crong, I apologize, I made a mistake.""","""crong, i apologize, i made a mistake.""","""crong, i apologize, i made a mistake.""","""crong, i apologize, i made a mistake.""",1.0,False,1.0,1.0
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away","First, Eddy turns his head to his left. Then, he stands up from his seated position. Finally, he appears to be preparing to leave the scene.","eddy did not stay longer after agreeing to sing, as he stated he was going to leave.","eddy did not stay longer after agreeing to sing, as he prepared to leave the scene.","eddy did not stay longer after agreeing to sing, as he stated he was going to leave.",1.0,False,1.0,1.0
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","First, Poby raises both hands and gathers them together in front of his chest. Then, he looks toward the audience while smiling. After that, Loopy and Pororo are seen clapping their hands enthusiastically. 

Poby is positioned in the foreground, while Loopy and Pororo are slightly behind him, also facing the audience. All characters maintain a cheerful posture, with their bodies leaning slightly forward as they engage in the clapping action.

While this is happening, Poby says, ""wow eddy cool,"" maintaining eye contact with the audience and gesturing with his hands.","eddy's entrance impressed the audience, as indicated by poby, loopy, and pororo clapping and expressing excitement.","eddy's entrance impressed the audience, as evidenced by poby's enthusiastic reaction and the clapping from loopy and pororo.","eddy's entrance impressed the audience, as evidenced by poby's enthusiastic reaction and the clapping from loopy and pororo.",1.0,True,1.0,1.0
