row_num,qid,video_name,gif_num,question,correct_answer,visual_description,predicted_answer,evaluator_scores,accuracy
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,"Pororo, what are you doing? Eddy asks Pororo about his urgent action. Eddy, Poby, and Loopy stand outside on the ice, looking curious. Crong passes by them after Eddy's question.","eddy asks pororo, ""what are you doing?"" regarding his urgent action.","1.0,1.0,1.0",1.0
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","Toy Crong Eddy's friends, Pororo and Crong, show interest in his new toy car. Scene Description Pororo and Crong are excitedly looking at the car, indicating their interest.","eddy's friends, pororo and crong, were excited and showed interest in seeing his new toy car.","1.0,1.0,1.0",1.0
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","What should I make today? Eddy smiles widely while holding the book, looking excited and curious. Eddy, an orange fox, stands in front of a colorful bookshelf, contemplating his next creation.","eddy said, ""what should i make today?"" while smiling widely and holding the book.","1.0,1.0,1.0",1.0
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,"### Pororo Pororo looks to the ground while lowering his head, appearing thoughtful or shy. ### Scene Description Loopy stands with hands on her sides, while Pororo's right hand is on his head.","pororo looked to the ground while lowering his head, appearing thoughtful or shy.","0.75,0.75,0.75",0.75
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,"A bomb box that Crong hid exploded. Pororo, wearing goggles, looks surprised while Crong appears angry, sitting at a table indoors.","a bomb box that crong hid exploded in pororo's face, surprising him while crong looked angry.","1.0,1.0,1.0",1.0
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"Why are you so jumpy? Poby asks Eddy this question, indicating concern. Poby stands on a snowy surface, looking slightly surprised, with his feet moving.","poby asks eddy, ""why are you so jumpy?"" indicating his concern.","1.0,1.0,1.0",1.0
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,"Eddy confesses, ""To be honest with you, I placed the box there."" He appears slightly embarrassed, with lowered ears.","eddy confesses, ""to be honest with you, i placed the box there,"" appearing slightly embarrassed with lowered ears.","1.0,1.0,1.0",1.0
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"Crong, I apologize, I made a mistake. Pororo lowers his head, then looks up at Crong, who closes his eyes, showing a serious expression.","""crong, i apologize, i made a mistake.""","1.0,1.0,1.0",1.0
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away","Eddy turns his head to his left and stands up. He appears happy and engaged, suggesting he may stay longer after agreeing to sing.","eddy appears happy and engaged, suggesting he may stay longer after agreeing to sing.","0.0,0.0,0.0",0.0
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","### Wow Eddy Cool Eddy's entrance impressed the audience. Poby is smiling and raising his hands, while Loopy and Pororo are clapping.","eddy's entrance impressed the audience, as evidenced by poby's smile and the enthusiastic clapping from loopy and pororo.","1.0,1.0,1.0",1.0
11,711,Pororo_ENGLISH1_1_ep2,16,did crong score after he shot the ball at the hoop?,no he did not score,"Crong Crong misses his shot with the basketball, so Crong gets disappointed. Crong is in Poby's house. Crong did not score after he shot the ball at the hoop. The basketball is visible in the air, not in the net.","crong did not score after he shot the ball at the hoop, as he missed his shot and felt disappointed.","1.0,1.0,1.0",1.0
12,716,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"Yes, Pororo apologizes for knocking Poby's things down. Pororo, wearing a brown hat, looks up at Poby with a concerned expression in Poby's house.","yes, pororo apologizes to poby for knocking his things down and offers to clean it up.","1.0,1.0,1.0",1.0
