row_num,qid,video_name,gif_num,question,correct_answer,pure_language_answer,language_critic_answer,model_confidence,changed,evaluator_scores,accuracy,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE1,ROUGE2,ROUGEL,METEOR,BERTScore_Precision,BERTScore_Recall,BERTScore_F1,BLEURT
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,"eddy asks pororo, ""what are you doing?""","eddy asks pororo, ""what are you doing?""",1.0,False,"1.0,1.0,1.0",1.0,0.428571428571429,0.267261241912424,0.112624788044361,0.0773055175693945,0.857142857142857,0.833333333333333,0.857142857142857,0.365079365079365,0.704041957855225,0.809909880161285,0.753274321556091,0.746554255485535
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","yes, eddy's friends were interested in seeing his new toy.","yes, eddy's friends were interested in seeing his new toy.",0.75,False,"1.0,1.0,1.0",1.0,0.3,0.182574185835055,0.0746900791092861,0.0493938273711537,0.31578947368421,0.117647058823529,0.31578947368421,0.311653116531165,0.613046705722809,0.692846119403839,0.650508224964142,0.593697249889374
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","eddy said, ""what should i make today?""","eddy said, ""what should i make today?""",1.0,False,"1.0,1.0,1.0",1.0,0.495358799857247,0.378336532751385,0.291685492050312,0.152286219824357,0.857142857142857,0.666666666666667,0.857142857142857,0.474683544303797,0.881924152374268,0.915598690509796,0.898446023464203,0.886768996715546
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,"pororo looked to the ground as he lowered his head, possibly feeling shy or contemplative.","pororo looked to the ground as he lowered his head, possibly feeling shy or contemplative.",0.75,False,"0.75,0.75,0.75",0.75,0.0666666666666667,0.0218217890235992,0.0154150800490952,0.0132179476263773,0.105263157894737,0.0,0.105263157894737,0.0980392156862745,0.284640669822693,0.415930241346359,0.33798336982727,0.234027743339539
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,a bomb box that crong hid exploded in pororo's face.,a bomb box that crong hid exploded in pororo's face.,0.75,False,"1.0,1.0,1.0",1.0,0.5,0.333333333333333,0.240374928384568,0.11868405219521,0.777777777777778,0.5,0.777777777777778,0.696875,0.715019285678864,0.858324646949768,0.780145585536957,0.627758502960205
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"poby asks eddy, ""why are you so jumpy?""","poby asks eddy, ""why are you so jumpy?""",1.0,False,"1.0,1.0,1.0",1.0,0.375,0.231455024943138,0.096292839277709,0.0650059326034369,0.75,0.571428571428571,0.75,0.319444444444444,0.731288611888886,0.855659782886505,0.788600623607636,0.74321174621582
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,eddy confesses that he placed the box there.,eddy confesses that he placed the box there.,1.0,False,"0.75,0.75,0.75",0.75,0.661872676938447,0.577729836665425,0.461332279243628,0.36282414346311,0.666666666666667,0.5,0.666666666666667,0.66167290886392,0.801823198795319,0.694353580474854,0.744228661060333,0.603356838226318
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"""crong, i apologize, i made a mistake.""","""crong, i apologize, i made a mistake.""",1.0,False,"1.0,1.0,1.0",1.0,0.186125445008873,0.14215565675175,0.0640930138290255,0.0455052464587058,0.588235294117647,0.266666666666667,0.470588235294118,0.193298969072165,0.56002414226532,0.575033962726593,0.567429780960083,0.538654625415802
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away","eddy did not stay longer after agreeing to sing, as he stated he was going to leave.","eddy did not stay longer after agreeing to sing, as he stated he was going to leave.",1.0,False,"1.0,1.0,1.0",1.0,0.0588235294117647,0.0191741247211843,0.013482795444686,0.0115027836199,0.0909090909090909,0.0,0.0909090909090909,0.0806451612903226,0.36626273393631,0.424541831016541,0.393254816532135,0.373369157314301
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","eddy's entrance impressed the audience, as indicated by poby, loopy, and pororo clapping and expressing excitement.","eddy's entrance impressed the audience, as indicated by poby, loopy, and pororo clapping and expressing excitement.",1.0,False,"1.0,1.0,1.0",1.0,0.0625,0.0204124145231931,0.0143842395666197,0.0123006862884638,0.166666666666667,0.0,0.166666666666667,0.126582278481013,0.378300070762634,0.462810188531876,0.416309595108032,0.417663753032684
11,711,Pororo_ENGLISH1_1_ep2,16,did crong score after he shot the ball at the hoop?,no he did not score,crong did not score after he shot the ball at the hoop.,crong did not score after he shot the ball at the hoop.,1.0,False,"1.0,1.0,1.0",1.0,0.333333333333333,0.246182981958665,0.18232183586429,0.0905875234158776,0.470588235294118,0.266666666666667,0.352941176470588,0.657894736842105,0.434121310710907,0.577447593212128,0.49563068151474,0.372891306877136
12,716,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"yes, pororo apologizes to poby for knocking his things down.","yes, pororo apologizes to poby for knocking his things down.",1.0,False,"1.0,1.0,1.0",1.0,0.0818730753077982,0.0272910251025994,0.0196802346137363,0.0172795914295004,0.181818181818182,0.0,0.181818181818182,0.0423728813559322,0.476735889911652,0.52977466583252,0.501857817173004,0.421041607856751
13,730,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"eddy tells poby, ""poby, we are going to leave now.""","eddy tells poby, ""poby, we are going to leave now.""",1.0,False,"1.0,1.0,1.0",1.0,0.6,0.516397779494322,0.464158883361278,0.41113361690052,0.777777777777778,0.625,0.777777777777778,0.843703334992533,0.595227718353272,0.818082571029663,0.689084947109222,0.712602436542511
14,738,Pororo_ENGLISH1_1_ep2,30,what does pororo almost forget to leave with poby,the broken camera piece,pororo almost forgets to leave with the camera.,pororo almost forgets to leave with the camera.,1.0,False,"0.5,0.5,0.5",0.5,0.125,0.0422577127364258,0.0309899047120547,0.0277761903401179,0.333333333333333,0.0,0.333333333333333,0.113636363636364,0.405608087778091,0.566990375518799,0.472910225391388,0.169978812336922
