row_num_df1,video_name_df1,gif_num_df1,qid,question_df1,correct_answer_df1,predicted_answer_df1,accuracy_df1,row_num_df2,video_name_df2,gif_num_df2,question_df2,correct_answer_df2,predicted_answer_df2,accuracy_df2,improved,degraded,unchanged,performance_diff,question_type,correct_clean,single_clean,multi_clean,single_similarity,multi_similarity,similarity_diff,correct_length,single_length,multi_length,length_diff_single,length_diff_multi,agents_consistent,question_complexity,correct_single_similarity,correct_multi_similarity
7,Pororo_ENGLISH1_1_ep12,43,1226.0,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,"loopy's house serves as a backdrop for themes of friendship and forgiveness, highlighted by the characters' expressive designs and vibrant colors that enhance the emotional dynamics of the scene",0.0,7,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,"in loopy's house, eddy confesses that he placed the box there for fun, not expecting the explosion to happen",0.75,True,False,False,0.75,Action,eddy confesses placed box pororos house,loopys house serves backdrop themes friendship forgiveness highlighted characters expressive designs vibrant colors enhance emotional dynamics scene,loopys house eddy confesses placed box fun expecting explosion happen,0.07377049180327869,0.5443037974683544,0.4705333056650758,9,29,19,20,10,False,simple,0.10233188865129184,0.6169264891193503
13,Pororo_ENGLISH1_1_ep2,26,730.0,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"eddy tells poby that they are going to leave, indicating a shift in their plans after the camera incident",1.0,13,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,eddy tells poby that they are going to leave now,1.0,False,False,True,0.0,Dialog,eddy says going leave,eddy tells poby going leave indicating shift plans camera incident,eddy tells poby going leave,0.4142857142857143,0.7469879518072289,0.33270223752151457,8,19,10,11,2,False,simple,0.31275660406648204,0.6446165047969146
24,Pororo_ENGLISH1_2_ep5,19,1572.0,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,eddy is interrupted by loopy as he was saying hello,0.0,24,Pororo_ENGLISH1_2_ep5,19,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,1.0,True,False,False,1.0,Dialog,pororo interrupts eddy saying hello loopy,eddy interrupted loopy saying hello,pororo interrupts eddy saying hello loopy,0.6857142857142857,1.0,0.3142857142857143,10,10,10,0,0,False,medium,0.6408544366622325,1.0
2,Pororo_ENGLISH1_1_ep10,12,1100.0,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","yes, eddy's friends were interested in seeing his new toy, as they expressed excitement and curiosity about it",1.0,2,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","yes, eddy's friends were interested in seeing his new toy",1.0,False,False,True,0.0,Other,yes ran happily towards new toy,yes eddys friends interested seeing new toy expressed excitement curiosity,yes eddys friends interested seeing new toy,0.3026315789473684,0.46464646464646464,0.16201488569909622,8,18,10,10,2,False,simple,0.322483553708384,0.35313355798755086
33,Pororo_ENGLISH1_3_ep13,18,2623.0,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,"everyone felt surprised and amused to see crong cleaning the house, as it was a sudden change from his usual behavior, especially with christmas approaching",1.0,33,Pororo_ENGLISH1_3_ep13,18,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,"everyone felt surprised and amused to see crong cleaning the house, as it was unexpected behavior for him",1.0,False,False,True,0.0,Action,everybody felt surprised see crong cleaning house,everyone felt surprised amused see crong cleaning house sudden change usual behavior especially christmas approaching,everyone felt surprised amused see crong cleaning house unexpected behavior,0.5,0.6583850931677019,0.15838509316770188,9,25,18,16,9,False,medium,0.4385599603090946,0.5553305612403296
3,Pororo_ENGLISH1_1_ep10,4,1090.0,what did eddy say after getting the book?,"eddy told, "" what should i make today""",eddy expressed excitement and curiosity about what he should create next after finding the book,1.0,3,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","eddy exclaimed, ""ah, i found it",0.0,False,True,False,-1.0,Dialog,eddy told make today,eddy expressed excitement curiosity create next finding book,eddy exclaimed ah found,0.39097744360902253,0.5217391304347826,0.13076168682576006,8,15,6,7,-2,False,simple,0.2197671064430988,0.042826346766971016
22,Pororo_ENGLISH1_2_ep2,17,1435.0,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"to say ""i could not sleep"" to loopy, poby simply states, ""i could not sleep",1.0,22,Pororo_ENGLISH1_2_ep2,17,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"to say to loopy ""i could not sleep,"" poby would simply express, ""i could not sleep",1.0,False,False,True,0.0,Dialog,poby said loopy could sleep,say could sleep loopy poby simply states could sleep,say loopy could sleep poby would simply express could sleep,0.37606837606837606,0.4838709677419355,0.10780259167355943,9,15,16,6,7,False,simple,0.6820042776813046,0.6628787971452679
29,Pororo_ENGLISH1_3_ep1,15,2079.0,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,pororo thinks eddy is hiding the map because he suspects it is a treasure map,0.75,29,Pororo_ENGLISH1_3_ep1,15,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,pororo thinks eddy is hiding the map because he suspects it is some kind of treasure,0.75,False,False,True,0.0,Action,pororo thinks eddy hiding kind treasure,pororo thinks eddy hiding map suspects treasure map,pororo thinks eddy hiding map suspects kind treasure,0.65625,0.7407407407407407,0.0844907407407407,9,15,16,6,7,True,simple,0.4696594277502897,0.7818961624247875
8,Pororo_ENGLISH1_1_ep12,49,1232.0,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"pororo expresses frustration towards crong, accusing him of being a troublemaker and insisting that he played a trick on him again",0.25,8,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"pororo says to crong, ""did i go too far",0.25,False,False,True,0.0,Dialog,pororo apologizes crong says made mistake,pororo expresses frustration towards crong accusing troublemaker insisting played trick,pororo says crong go far,0.40437158469945356,0.4782608695652174,0.07388928486576385,10,21,9,11,-1,False,simple,0.1039328018999691,0.23843863806472437
1,Pororo_ENGLISH1_1_ep1,14,383.0,whtat does eddy ask pororo,he asks pororo what are you doing,eddy asks pororo about the reason for his urgent action,0.25,1,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,eddy asks pororo the reason for his urgent action,0.25,False,False,True,0.0,Dialog,asks pororo,eddy asks pororo reason urgent action,eddy asks pororo reason urgent action,0.4772727272727273,0.5121951219512195,0.03492239467849223,7,10,9,3,2,True,simple,0.14656144097339874,0.15327206708915303
4,Pororo_ENGLISH1_1_ep11,51,1181.0,why did pororo look to ground?,because he was sorry.,"pororo looked to the ground likely due to a moment of contemplation or concern, reflecting his character's playful yet cautious nature in the scene",0.75,4,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,pororo looked to the ground likely due to a moment of contemplation or concern during the conversation with loopy,0.75,False,False,True,0.0,Action,sorry,pororo looked ground likely due moment contemplation concern reflecting characters playful yet cautious nature scene,pororo looked ground likely due moment contemplation concern conversation loopy,0.13095238095238096,0.16417910447761194,0.03322672352523098,4,24,19,20,15,False,complex,0.0,0.0
