row_num,qid,video_name,gif_num,question,correct_answer,blip2_visual_description
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,eddy asks pororo
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.",eddy's friends were interested in seeing his new toy
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""",eddy said
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,he was looking at the ground
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,a exploding teddy bear
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,N/A
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,a fox in a house
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,N/A
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away",eddie stayed longer after agreeing to sing
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped",eddie
11,711,Pororo_ENGLISH1_1_ep2,16,did crong score after he shot the ball at the hoop?,no he did not score,yes
12,716,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,i do not know
13,730,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,eddy tells poby they are going to do
14,738,Pororo_ENGLISH1_1_ep2,30,what does pororo almost forget to leave with poby,the broken camera piece,a polar bear - psp - wikihow
15,912,Pororo_ENGLISH1_1_ep5,41,how did pororo feel after seeing that the flower has wilted,he was very upset,i felt sad
16,925,Pororo_ENGLISH1_1_ep6,2,when and who will go to picnic,loopy is going to picnic tomorrow for fun,a bear and a pig will go to picnic
17,946,Pororo_ENGLISH1_1_ep6,23,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him",a crocodal croco
18,928,Pororo_ENGLISH1_1_ep6,4,what seasoning does loopy add to her mixing bowl,loopy adds some salt,a spoon
19,965,Pororo_ENGLISH1_1_ep6,43,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby",eddy thinks the ghost is dead
20,1052,Pororo_ENGLISH1_1_ep9,16,what do loopy's friends do when they're inside?,they share a snack at the table,a frog
21,1857,Pororo_ENGLISH1_2_ep10,14,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""",squishy -
22,1435,Pororo_ENGLISH1_2_ep2,17,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,i could not sleep
23,1441,Pororo_ENGLISH1_2_ep2,23,what did poby's friend decide,poby's friend decided to help poby to get some sleep,a fox hat to decide
24,1572,Pororo_ENGLISH1_2_ep5,19,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,eddy
25,1579,Pororo_ENGLISH1_2_ep5,26,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,a proposal to the group after telling them about the flower
26,1762,Pororo_ENGLISH1_2_ep8,43,what did pororo think next?,pororo thought next: wjat should i do?,he thought he was a pig
27,1767,Pororo_ENGLISH1_2_ep8,48,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","eddy, ernie and loopy"
28,1768,Pororo_ENGLISH1_2_ep8,49,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,he told them to be a little bit more
29,2079,Pororo_ENGLISH1_3_ep1,15,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,eddy
30,2513,Pororo_ENGLISH1_3_ep11,1,what did pororo see moving?,pororo saw the magnet moving.,a penguin
31,2575,Pororo_ENGLISH1_3_ep12,16,who does loopy give a sandwich to?,loopy gives a sandwich to eddy,frog
32,2582,Pororo_ENGLISH1_3_ep12,24,what does loopy ask eddy?,"loopy asks eddy ""what happened?""",eeyo
33,2623,Pororo_ENGLISH1_3_ep13,18,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,i felt like a croon
34,2173,Pororo_ENGLISH1_3_ep2,49,what was crong playing with as pororo entered the house,crong was playing with a snowboard,ice castle
35,2206,Pororo_ENGLISH1_3_ep3,31,what did pororo answer to loopy and crong,"pororo said ""uh well""",poopy and croony - poopy and croony
36,2291,Pororo_ENGLISH1_3_ep4,45,whom did eddy say sorry to,eddy said sorry to pororo,emily
37,2298,Pororo_ENGLISH1_3_ep5,1,what was the friends are doing when pororo came with crong?,the friends were talking about something secretly.,a sandbox
38,2333,Pororo_ENGLISH1_3_ep5,25,does the friends find pororo behind the snow man?,the friends find pororo behind the snow man.,N/A
39,2425,Pororo_ENGLISH1_3_ep7,25,"what does crong do when pororo says ""come here""",crong runs away from pororo,"crows when pororo says "" come here"
40,2446,Pororo_ENGLISH1_3_ep7,47,what does poby say when invited to play,"he says ""of course""",polar bear
41,Average,,,,"Total Videos: 22, Total Questions: 40",
