row_num,qid,video_name,gif_num,question,correct_answer,pure_language_answer,predicted_answer,evaluator_scores,accuracy,model_confidence,visual_description_sufficiency,explanation,visual_evidence,changed
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,"eddy asks pororo, ""what are you doing?""","eddy asks pororo, ""what are you doing?""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description does not provide specific dialogue or context needed to answer the question about what eddy asks pororo. the pure language answer directly states the dialogue, which aligns with the provided subtitles.","none, as the visual description did not contribute relevant information.",False
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.",eddy's friends were clearly interested in seeing his new toy as they ran toward the car.,eddy's friends were clearly interested in seeing his new toy as they ran toward the car.,"0.75,0.75,0.75",0.75,1.0,INSUFFICIENT,"the visual description does not provide enough specific information to determine the interest of eddy's friends in his new toy. however, the scene description indicates that pororo and crong are looking at the car and running toward it, which suggests interest.","the scene description ""pororo and crong look at the car and run toward the car."" supports the idea of interest.",False
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","eddy said, ""what should i make today?""","eddy said, ""what should i make today?""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description indicates that eddy is looking at the book and questioning himself, which aligns with the provided subtitle ""what should i make today?"" this confirms the dialogue.","the scene shows eddy with the book, supporting the context of his question.",False
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,"pororo looked to the ground as he lowered his head, possibly feeling shy or contemplative in the moment.","pororo looked to the ground as he lowered his head, possibly feeling shy or contemplative in the moment.","0.75,0.75,0.75",0.75,0.75,INSUFFICIENT,"the visual description does not provide enough specific information to determine why pororo looked to the ground. however, the scene description indicates that pororo lowered his head, which supports the idea of him feeling shy or contemplative.","the scene description mentions pororo lowering his head, which aligns with the action of looking to the ground.",False
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,a bomb box that crong hid exploded in pororo's face.,a bomb box that crong hid exploded in pororo's face.,"1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description does not provide specific details about what exploded in pororo's face, making it insufficient for answering the question. the pure language answer directly states that ""a bomb box that crong hid exploded in pororo's face,"" which aligns with the subtitles provided.","the image shows pororo and crong, but does not clarify the explosion context.",False
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"poby asks eddy, ""why are you so jumpy?""","poby asks eddy, ""why are you so jumpy?""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description indicates that the scene is from ""pororo,"" and the subtitles provide the exact dialogue, ""why are you so jumpy,"" which directly answers the question.",the scene description and subtitles confirm the dialogue content.,False
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,eddy confesses to loopy and pororo that he placed the box there.,eddy confesses to loopy and pororo that he placed the box there.,"0.75,0.75,0.75",0.75,1.0,INSUFFICIENT,"the visual description does not provide specific details needed to answer the question about what eddy confesses. however, the pure language answer is clear and directly addresses the question.","none, as the visual description was insufficient.",False
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"""crong, i apologize, i made a mistake.""","""crong, i apologize, i made a mistake.""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description and scene context support the dialogue provided in the subtitles, confirming that pororo apologizes to crong.","the scene description indicates pororo's actions and expressions, which align with the dialogue ""crong, i apologize, i made a mistake.""",False
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away","eddy did not stay longer after agreeing to sing, as he stated, ""i am going to go now.""","eddy did not stay longer after agreeing to sing, as he stated, ""i am going to go now.""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description does not provide specific details needed to answer the question about eddy's actions after agreeing to sing. the pure language answer directly states that eddy did not stay longer, supported by his dialogue.",n/a,False
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","eddy's entrance impressed the audience, as indicated by poby, loopy, and pororo clapping and expressing excitement with ""wow eddy cool.""","eddy's entrance impressed the audience, as indicated by poby, loopy, and pororo clapping and expressing excitement with ""wow eddy cool.""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description does not provide specific details about eddy's entrance or the audience's reaction, making it insufficient to answer the question. however, the scene description and subtitles clearly indicate that poby, loopy, and pororo are clapping and expressing excitement, supporting the conclusion that eddy's entrance impressed the audience.","the scene description mentions characters clapping and expressing excitement, which aligns with the pure language answer.",False
11,711,Pororo_ENGLISH1_1_ep2,16,did crong score after he shot the ball at the hoop?,no he did not score,crong did not score after he shot the ball at the hoop.,crong did not score after he shot the ball at the hoop.,"1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the scene description clearly states that ""crong misses his shot with the basketball,"" confirming that he did not score. this aligns with the pure language answer.","the visual shows a basketball near the hoop, but the context provided indicates that it did not go in.",False
12,716,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"yes, pororo apologizes to poby for knocking his things down.","yes, pororo apologizes to poby for knocking his things down.","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description, along with the scene description and subtitles, clearly indicates that pororo is apologizing to poby for knocking his things down.","the scene description states ""pororo is apologizing to poby,"" and the subtitles confirm this with ""oh sorry poby i will clean it up.""",False
13,730,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"eddy tells poby, ""poby, we are going to leave now.""","eddy tells poby, ""poby, we are going to leave now.""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the scene description and subtitles clearly indicate that eddy tells poby they are going to leave, matching the pure language answer. the visual description supports this context.","the scene description states that ""eddy and loopy are telling poby that they are going to leave,"" which aligns with the dialogue provided in the subtitles.",False
14,738,Pororo_ENGLISH1_1_ep2,30,what does pororo almost forget to leave with poby,the broken camera piece,pororo almost forgets to leave with the camera.,pororo almost forgets to leave with the camera.,"0.5,0.5,0.5",0.5,1.0,INSUFFICIENT,"the scene description clearly indicates that pororo placed the camera on the floor and left, which directly answers the question about what he almost forgot.","the visual context supports the scene description, showing pororo and poby in poby's place, reinforcing the action of pororo leaving the camera behind.",False
15,912,Pororo_ENGLISH1_1_ep5,41,how did pororo feel after seeing that the flower has wilted,he was very upset,pororo felt sad and concerned after seeing that the flower had wilted.,pororo felt sad and concerned after seeing that the flower had wilted.,"1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description does not provide enough context to determine pororo's feelings about the wilted flower. the pure language answer clearly states that pororo felt sad and concerned, which aligns with the emotional context of a wilted flower.","the image shows a wilted flower, but it does not convey pororo's emotional response.",False
16,925,Pororo_ENGLISH1_1_ep6,2,when and who will go to picnic,loopy is going to picnic tomorrow for fun,loopy is preparing food today for a picnic tomorrow.,loopy is preparing food today for a picnic tomorrow.,"0.75,0.75,0.75",0.75,1.0,INSUFFICIENT,"the visual description provides clear context about loopy preparing food for a picnic tomorrow, supported by the scene description and subtitles.","the scene description states that loopy is cooking to prepare for tomorrow's picnic, and the subtitles explicitly mention ""we are going on a picnic tomorrow.""",False
17,946,Pororo_ENGLISH1_1_ep6,23,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him","crong is scared of pororo because he is surprised and shaken, holding a lamp that has gone out in a dark environment.","crong is scared of pororo because he is surprised and shaken, holding a lamp that has gone out in a dark environment.","0.5,0.5,0.5",0.5,0.75,INSUFFICIENT,"the visual description does not provide enough specific details to directly answer why crong is scared of pororo. however, the scene description indicates that crong is surprised and shaken, which supports the pure language answer.","the image shows crong holding a lamp and appearing surprised, which aligns with the scene description but does not clarify the reason for his fear of pororo.",False
18,928,Pororo_ENGLISH1_1_ep6,4,what seasoning does loopy add to her mixing bowl,loopy adds some salt,loopy adds a little salt to her mixing bowl.,loopy adds a little salt to her mixing bowl.,"1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description and scene details confirm that loopy is adding salt to her mixing bowl, supported by the subtitles stating ""okay now a little salt.""","the scene description explicitly mentions loopy holding a salt bottle and trying to add salt to her food, which aligns with the visual context.",False
19,965,Pororo_ENGLISH1_1_ep6,43,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","eddy thinks the ghost must have run away after seeing him, poby, and loopy in the windy scene.","eddy thinks the ghost must have run away after seeing him, poby, and loopy in the windy scene.","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description does not provide specific details about eddy's thoughts regarding the ghost, making it insufficient for answering the question. the pure language answer aligns with the scene description and subtitles, which clearly state eddy's belief about the ghost running away.","not applicable, as the visual description was insufficient.",False
20,1052,Pororo_ENGLISH1_1_ep9,16,what do loopy's friends do when they're inside?,they share a snack at the table,"loopy's friends, pororo, crong, poby, and eddy, sit around the table drinking juice.","loopy's friends, pororo, crong, poby, and eddy, sit around the table drinking juice.","0.75,0.75,0.75",0.75,1.0,INSUFFICIENT,"the visual description provides clear context that the characters are from the cartoon ""pororo,"" and the scene description confirms that they are sitting around a table drinking juice, which directly answers the question.","the image shows pororo, crong, poby, and eddy gathered around a table, which supports the scene description.",False
21,1857,Pororo_ENGLISH1_2_ep10,14,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""","pororo asked loopy, ""what was it that you did a minute ago?""","pororo asked loopy, ""what was it that you did a minute ago?""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description does not provide specific dialogue content needed to answer the question, so the pure language answer is favored.","not applicable, as the visual description was insufficient.",False
22,1435,Pororo_ENGLISH1_2_ep2,17,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"loopy would say, ""i couldn't sleep!""","loopy would say, ""i couldn't sleep!""","0.5,0.5,0.5",0.5,1.0,INSUFFICIENT,"the visual description does not provide specific details necessary to answer the dialogue question about how loopy would express ""i could not sleep."" therefore, the pure language answer is favored.",the scene description and subtitles indicate the dialogue content directly.,False
23,1441,Pororo_ENGLISH1_2_ep2,23,what did poby's friend decide,poby's friend decided to help poby to get some sleep,eddy decided that they need to help poby get some sleep.,eddy decided that they need to help poby get some sleep.,"1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description does not provide enough specific information to answer the question about what poby's friend decided. however, the pure language answer clearly states that eddy decided to help poby get some sleep, which aligns with the context provided in the subtitles.",n/a,False
24,1572,Pororo_ENGLISH1_2_ep5,19,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,crong interrupts eddy as he was saying hello to loopy.,crong interrupts eddy as he was saying hello to loopy.,"0.0,0.0,0.0",0.0,1.0,INSUFFICIENT,"the visual description does not provide specific information about who interrupts eddy, making it insufficient to answer the question. the pure language answer clearly states that ""crong interrupts eddy as he was saying hello to loopy,"" which aligns with the context of the question.",n/a,False
25,1579,Pororo_ENGLISH1_2_ep5,26,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,loopy proposed that the group ask him anything about the flower he was holding.,loopy proposed that the group ask him anything about the flower he was holding.,"0.75,0.75,0.75",0.75,1.0,INSUFFICIENT,the visual description does not provide specific information about loopy's proposal to the group regarding the flower. the pure language answer directly addresses the question.,"the scene description and subtitles indicate loopy's invitation to ask questions, but do not clarify the proposal itself.",False
26,1762,Pororo_ENGLISH1_2_ep8,43,what did pororo think next?,pororo thought next: wjat should i do?,pororo thought he needed to come up with a plan to cheer up crong.,pororo thought he needed to come up with a plan to cheer up crong.,"0.5,0.5,0.5",0.5,1.0,INSUFFICIENT,"the visual description does not provide enough specific information to determine what pororo thought next. the scene description and subtitles suggest a context of concern, but do not explicitly indicate pororo's thoughts. therefore, the pure language answer is favored.","not applicable, as the visual description was insufficient.",False
27,1767,Pororo_ENGLISH1_2_ep8,48,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""","poby, eddy, and loopy told pororo and crong, ""we are here to save you.""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description, along with the scene description and subtitles, clearly indicates that poby, eddy, and loopy are communicating with pororo and crong, stating, ""we are here to save you."" this aligns with the pure language answer.","the scene description ""loopy, poby, and eddy look down from the hole"" supports the context of their dialogue, confirming their intent to help.",False
28,1768,Pororo_ENGLISH1_2_ep8,49,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,"loopy told pororo and crong, ""did you think you could play a trick on me?""","loopy told pororo and crong, ""did you think you could play a trick on me?""","0.75,0.75,0.75",0.75,1.0,INSUFFICIENT,"the visual description provides sufficient context, including loopy's actions and the dialogue from the subtitles, which directly answers the question.",the scene description and subtitles confirm that loopy is speaking and the exact words she uses.,False
29,2079,Pororo_ENGLISH1_3_ep1,15,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,pororo thinks eddy is hiding the map because he suspects it is some kind of treasure.,pororo thinks eddy is hiding the map because he suspects it is some kind of treasure.,"0.75,0.75,0.75",0.75,1.0,INSUFFICIENT,the visual description does not provide specific details needed to answer the question about what pororo thinks eddy is hiding. the scene description and subtitles clearly indicate that pororo suspects eddy is hiding the map as if it is some kind of treasure.,"none used, as the visual description was insufficient.",False
30,2513,Pororo_ENGLISH1_3_ep11,1,what did pororo see moving?,pororo saw the magnet moving.,pororo saw a wind-up toy moving on the floor.,pororo saw a wind-up toy moving on the floor.,"0.25,0.25,0.25",0.25,1.0,INSUFFICIENT,"the visual description provides sufficient context about pororo's actions and surroundings, confirming that he sees a wind-up toy moving on the floor. the scene description and subtitles support this conclusion.","the scene description states that ""pororo sees a wind up toy moving on the floor,"" which aligns with the visual context.",False
31,2575,Pororo_ENGLISH1_3_ep12,16,who does loopy give a sandwich to?,loopy gives a sandwich to eddy,loopy gives a sandwich to eddy.,loopy gives a sandwich to eddy.,"1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description, along with the scene description and subtitles, clearly indicates that loopy hands a sandwich to eddy. this provides definitive evidence to support the pure language answer.","the scene description states ""loopy hands a sandwich over to eddy,"" which directly confirms the action depicted in the image.",False
