row_num,qid,video_name,gif_num,question,correct_answer,pure_language_answer,visual_language_answer,predicted_answer,evaluator_scores,accuracy,model_confidence,visual_description_quality,explanation,visual_evidence,changed
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,eddy asks crong why pororo is acting urgently.,,eddy asks crong why pororo is acting urgently.,"0.25,0.25,0.25",0.25,1.0,POOR,"the visual description provided is not detailed enough to support the context of the dialogue. however, the pure language answer aligns with the scene description and subtitles, which indicate that eddy is indeed asking about pororo's urgent actions.","none, as the visual description did not provide relevant context.",False
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","yes, eddy's friends were interested in seeing his new toy, as they expressed excitement and planned to ride it together.",,"yes, eddy's friends were interested in seeing his new toy, as they expressed excitement and planned to ride it together.","1.0,1.0,1.0",1.0,1.0,POOR,"the visual description does not provide sufficient detail to assess the characters' interest in eddy's new toy. however, the pure language answer is supported by the dialogue and scene description, which indicate that eddy's friends expressed excitement about the toy and planned to ride it together.","none, as the visual description was deemed poor.",False
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","eddy excitedly exclaimed, ""what should i make today?"" after finding the book.",,"eddy excitedly exclaimed, ""what should i make today?"" after finding the book.","1.0,1.0,1.0",1.0,1.0,POOR,"the visual description and subtitles provide clear context that eddy expresses excitement about the book he found, specifically stating, ""what should i make today?"" which aligns with the pure language answer.","the image shows eddy holding a book with a joyful expression, supporting the dialogue about his excitement.",False
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,"pororo looked to the ground because he was feeling uncertain and focused on the situation at hand, especially regarding loopy's fear.",,"pororo looked to the ground because he was feeling uncertain and focused on the situation at hand, especially regarding loopy's fear.","0.75,0.75,0.75",0.75,0.75,POOR,"the visual description provided is too vague and does not offer specific details relevant to the question about pororo's actions. however, the pure language answer aligns well with the context of loopy's fear and pororo's uncertainty.",the image does not provide clear context to support the reasoning behind pororo looking at the ground.,False
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,"a bomb box that crong hid exploded in pororo's face, causing his unusual appearance.",,"a bomb box that crong hid exploded in pororo's face, causing his unusual appearance.","1.0,1.0,1.0",1.0,1.0,POOR,"the visual description and subtitles clearly indicate that a bomb box hidden by crong exploded in pororo's face, leading to his unusual appearance. this aligns with the pure language answer.",the scene description and dialogue confirm the context of the explosion and its cause.,False
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"poby asks eddy, ""what is that box?"" when he sees him.",,"poby asks eddy, ""what is that box?"" when he sees him.","0.0,0.0,0.0",0.0,1.0,POOR,"the visual description is clear and relevant, and the dialogue from the subtitles confirms that poby asks eddy, ""what is that box?"" when he sees him.","the scene description and subtitles provide context for the dialogue, confirming the interaction between poby and eddy.",False
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,"eddy confesses to placing the box that caused the explosion, apologizing for the trouble it caused pororo and crong.",,"eddy confesses to placing the box that caused the explosion, apologizing for the trouble it caused pororo and crong.","0.75,0.75,0.75",0.75,1.0,POOR,"the visual description and subtitles provide clear context about eddy's confession regarding the box that caused the explosion, aligning with the pure language answer.","the scene description and subtitles confirm eddy's actions and dialogue, specifically his admission of placing the box and apologizing for the trouble caused.",False
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"pororo says to crong, ""i thought you played a trick on me again, but it was eddy who caused the trouble!""",,"pororo says to crong, ""i thought you played a trick on me again, but it was eddy who caused the trouble!""","1.0,0.75,1.0",1.0,1.0,POOR,"the visual description and subtitles provide clear context about the interaction between pororo and crong, confirming that pororo thought crong was responsible for the trouble, which aligns with the pure language answer.","the scene description and subtitles indicate pororo's misunderstanding and subsequent realization, supporting the dialogue provided in the pure language answer.",False
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away","eddy did not stay longer after agreeing to sing, as he mentioned he had to do something at home and left.",,"eddy did not stay longer after agreeing to sing, as he mentioned he had to do something at home and left.","1.0,1.0,1.0",1.0,1.0,POOR,"the pure language answer clearly states that eddy did not stay longer after agreeing to sing, as he had to leave for something at home. this is supported by the dialogue in the subtitles.","the scene description and subtitles indicate eddy's intention to leave, confirming the pure language answer.",False
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","eddy's entrance impressed the audience, as they expressed excitement and admiration for his performance, despite his initial hesitation about singing.",,"eddy's entrance impressed the audience, as they expressed excitement and admiration for his performance, despite his initial hesitation about singing.","1.0,1.0,1.0",1.0,1.0,POOR,"the visual description provided is ambiguous and does not contribute relevant information to assess eddy's entrance. the pure language answer clearly states that eddy's entrance impressed the audience, which aligns with the context of the dialogue and scene description.","none, as the visual description did not provide useful context.",False
11,711,Pororo_ENGLISH1_1_ep2,16,did crong score after he shot the ball at the hoop?,no he did not score,"crong did not score after he shot the ball at the hoop, as he missed his shot and felt disappointed.",,"crong did not score after he shot the ball at the hoop, as he missed his shot and felt disappointed.","1.0,1.0,1.0",1.0,1.0,POOR,"the visual description clearly indicates that crong misses his shot and feels disappointed, which aligns with the pure language answer. the scene description and subtitles support this conclusion.","the scene description states ""crong misses his shot with the basketball,"" confirming that he did not score.",False
12,716,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"yes, pororo apologizes to poby for knocking his things down.",,"yes, pororo apologizes to poby for knocking his things down.","1.0,1.0,1.0",1.0,1.0,POOR,"the scene description and subtitles clearly indicate that pororo apologizes to poby for knocking his things down, confirming the action described in the pure language answer.","the scene description states ""pororo is apologizing to poby,"" which directly supports the claim.",False
13,730,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,eddy tells poby that they are going to leave now.,,eddy tells poby that they are going to leave now.,"1.0,1.0,1.0",1.0,1.0,POOR,"the visual description and scene context clearly indicate that eddy and loopy are telling poby they are going to leave, which aligns with the pure language answer. the subtitles also confirm this dialogue.","the scene description states that ""eddy and loopy are telling poby that they are going to leave,"" which directly supports the pure language answer.",False
14,738,Pororo_ENGLISH1_1_ep2,30,what does pororo almost forget to leave with poby,the broken camera piece,pororo almost forgets to leave with poby's precious camera.,,pororo almost forgets to leave with poby's precious camera.,"0.5,0.5,0.5",0.5,1.0,POOR,"the visual description and scene context clearly indicate that pororo almost forgets to leave with poby's precious camera, aligning with the pure language answer. the dialogue and actions described support this conclusion without contradiction.","the scene description states that pororo placed the camera on the floor and left, which directly relates to the question about what he almost forgot.",False
15,912,Pororo_ENGLISH1_1_ep5,41,how did pororo feel after seeing that the flower has wilted,he was very upset,"pororo felt sad and surprised after seeing that the flower had wilted, wondering how it happened.",,"pororo felt sad and surprised after seeing that the flower had wilted, wondering how it happened.","1.0,1.0,1.0",1.0,1.0,POOR,"the visual description provided is too vague and does not offer specific details relevant to pororo's feelings about the wilted flower. however, the pure language answer accurately reflects pororo's emotional response based on the context provided in the subtitles.","none, as the visual description did not contribute effectively to the evaluation.",False
