row_num,question_id,question,answer_type,correct_answer,initial_predicted_answer,predicted_answer,evaluator_scores,accuracy,similarity,hallucination
1,77311,what is on the shelf?,other,book,books,shelf,"0.25, 0.25, 0.25",0.25,0.0125,True
2,12809,how many people are in the picture?,number,1,1,1,"1.0, 1.0, 1.0",1.0,1.0,False
3,1214,are the people sitting or standing?,other,standing,standing,standing,"1.0, 1.0, 1.0",1.0,1.0,False
4,88112,what is the group of people doing?,other,standing,traveling,waiting,"0.75, 0.75, 0.75",0.75,0.05,True
5,36705,what are the buildings made of?,other,brick,brick,various,"0.25, 0.25, 0.25",0.25,0.020000000000000004,True
6,33098,is there a toy in the picture?,yes/no,yes,yes,yes,"1.0, 1.0, 1.0",1.0,1.0,False
7,30161,is there a man on a chair?,yes/no,yes,no,yes,"1.0, 1.0, 1.0",1.0,0.0,True
8,15712,how many people are there?,number,2,2,2,"1.0, 1.0, 1.0",1.0,1.0,False
9,87724,what is the girl doing?,other,standing,watching,observing,"0.5, 0.5, 0.5",0.5,0.02142857142857143,True
10,12264,how many people are in the image?,number,1,1,1,"1.0, 1.0, 1.0",1.0,1.0,False
11,81928,what is the character doing?,other,standing,hiding,hiding,"0.25, 0.25, 0.25",0.25,1.0,False
12,88069,what is the group of people doing?,other,sitting,watching,watching,"0.5, 0.5, 0.5",0.5,1.0,False
13,66444,what color suit is the man on the left wearing?,other,blue,blue,blue,"1.0, 1.0, 1.0",1.0,1.0,False
14,11251,how many people are at the table?,number,2,2,2,"1.0, 1.0, 1.0",1.0,1.0,False
15,71663,what is in the background?,other,sky,sky,sky,"1.0, 1.0, 1.0",1.0,1.0,False
16,52604,what color is the man's hat?,other,blue,blue,blue,"1.0, 1.0, 1.0",1.0,1.0,False
17,1641,are the people standing or sitting?,other,standing,standing,standing,"1.0, 1.0, 1.0",1.0,1.0,False
18,1572,are the people standing or sitting?,other,standing,standing,standing,"1.0, 1.0, 1.0",1.0,1.0,False
19,11822,how many people are in the image?,number,2,2,2,"1.0, 1.0, 1.0",1.0,1.0,False
20,29597,is there a human in the picture?,yes/no,yes,yes,yes,"1.0, 1.0, 1.0",1.0,1.0,False
21,31735,is there a pool table?,yes/no,yes,yes,yes,"1.0, 1.0, 1.0",1.0,1.0,False
22,61532,what color is the table?,other,blue,green,unspecified,"0.0, 0.0, 0.0",0.0,0.018181818181818184,True
23,72617,what is in the background?,other,building,buildings,storefronts,"0.75, 0.75, 0.75",0.75,0.015384615384615385,True
24,1386,are the people standing in a line?,yes/no,yes,yes,no,"0.0, 0.0, 0.0",0.0,0.0,True
25,68247,what is behind the men?,other,fence,cage,cage,"0.25, 0.25, 0.25",0.25,1.0,False
26,26965,is there a bridge in the photo?,yes/no,yes,yes,yes,"1.0, 1.0, 1.0",1.0,1.0,False
27,85910,what is the color of the sky?,other,blue,blue,blue,"1.0, 1.0, 1.0",1.0,1.0,False
28,78721,what is on the table?,other,suitcase,suitcase,suitcase,"1.0, 1.0, 1.0",1.0,1.0,False
29,84446,what is the color of the man's shirt on the left?,other,blue,gray,teal,"0.75, 0.75, 0.75",0.75,0.014285714285714285,True
30,66434,what color suit is the character wearing?,other,blue,blue,dark,"0.5, 0.5, 0.5",0.5,0.0,True
31,52356,what color is the man's hair?,other,blue,unknown,blue,"1.0, 1.0, 1.0",1.0,0.0125,True
32,29887,is there a light hanging?,yes/no,yes,yes,yes,"1.0, 1.0, 1.0",1.0,1.0,False
33,55433,what color is the man's shirt?,other,white,white,white,"1.0, 1.0, 1.0",1.0,1.0,False
34,71583,what is in the background?,other,table,monopoly,monopoly,"0.0, 0.0, 0.0",0.0,1.0,False
35,37083,what are the men doing?,other,standing,talking,talking,"0.25, 0.25, 0.25",0.25,1.0,False
36,96818,what is the person sitting on?,other,chair,chair,chair,"1.0, 1.0, 1.0",1.0,1.0,False
37,Average,Total Questions: 36,All,,,,,0.75,1.0,False
