row_num,qid,video_name,gif_num,question,correct_answer,pure_language_answer,language_critic_answer,evaluator_scores,accuracy,model_confidence,visual_description_sufficiency,explanation,visual_evidence,changed
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,eddy asks pororo what he is doing.,eddy asks pororo what he is doing.,0.75,0.75,0.75,INSUFFICIENT,"the visual description does not provide specific details relevant to the dialogue question about what eddy asks pororo. however, the scene description and subtitles support the pure language answer.",not applicable as the visual description was insufficient.,False
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","yes, eddy's friends were interested in seeing his new toy.","yes, eddy's friends were interested in seeing his new toy.",1.0,1.0,0.75,INSUFFICIENT,"the visual description indicates that pororo and crong are looking at a car, which suggests interest in the toy. however, it does not explicitly confirm that all of eddy's friends are interested.","the scene description shows pororo and crong running toward the car, indicating their engagement with the toy.",False
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","eddy said, ""what should i make today?""","eddy said, ""what should i make today?""",1.0,1.0,1.0,INSUFFICIENT,"the visual description aligns with the scene where eddy is looking at the book and questioning himself, which supports the dialogue provided in the pure language answer. the subtitle confirms eddy's inquiry, matching the context perfectly.","the visual shows eddy holding a book and appearing inquisitive, which corresponds to the dialogue about what he should make.",False
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,"pororo looked to the ground as he lowered his head, possibly feeling shy or contemplative.","pororo looked to the ground as he lowered his head, possibly feeling shy or contemplative.",0.75,0.75,0.75,INSUFFICIENT,"the visual description provides context about pororo's actions, which aligns with the pure_language_answer regarding his demeanor. however, the visual language answer is missing, which affects the overall confidence.","the scene description indicates pororo is lowering his head, which supports the interpretation of him feeling shy or contemplative.",False
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,a bomb box that crong hid exploded in pororo's face.,a bomb box that crong hid exploded in pororo's face.,1.0,1.0,1.0,INSUFFICIENT,"the visual description is relevant as it depicts pororo and crong, which aligns with the context of the explosion mentioned in the question. the scene description supports the interaction between the characters, confirming the context of the explosion.","the image shows pororo and crong, which relates to the explosion context.",False
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"poby asks eddy, ""why are you so jumpy?""","poby asks eddy, ""why are you so jumpy?""",1.0,1.0,1.0,INSUFFICIENT,"the visual description is relevant as it indicates the cartoon context, and the dialogue in the subtitles directly matches the pure language answer.","the cartoon image of poby aligns with the context of the dialogue, reinforcing the accuracy of the answer.",False
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,eddy confesses that he placed the box there.,eddy confesses that he placed the box there.,0.75,0.75,1.0,INSUFFICIENT,"the visual description does not provide relevant information to answer the question about eddy's confession. however, the pure language answer aligns with the dialogue in the subtitles, confirming the action.",not applicable as the visual description was insufficient.,False
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"""crong, i apologize, i made a mistake.""","""crong, i apologize, i made a mistake.""",1.0,1.0,1.0,INSUFFICIENT,"the visual description aligns well with the dialogue context, confirming pororo's apology to crong. the subtitles directly support the pure_language_answer.","the scene shows pororo lowering his head and looking up, indicating a moment of apology, which matches the dialogue.",False
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away","eddy did not stay longer after agreeing to sing, as he stated he was going to leave.","eddy did not stay longer after agreeing to sing, as he stated he was going to leave.",1.0,1.0,1.0,INSUFFICIENT,"the visual description does not provide relevant information to determine whether eddy stayed longer after agreeing to sing. however, the pure language answer clearly states that eddy did not stay longer, which is supported by the subtitles indicating he is going to leave.","none, as the visual description was insufficient for this evaluation.",False
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","eddy's entrance impressed the audience, as indicated by poby, loopy, and pororo clapping and expressing excitement.","eddy's entrance impressed the audience, as indicated by poby, loopy, and pororo clapping and expressing excitement.",1.0,1.0,1.0,INSUFFICIENT,"the visual description aligns with the scene where poby, loopy, and pororo are clapping, indicating that eddy's entrance impressed them. the actions described in the scene support the pure language answer.","the scene description confirms that poby, loopy, and pororo are clapping, which directly relates to the audience's reaction to eddy's entrance.",False
11,711,Pororo_ENGLISH1_1_ep2,16,did crong score after he shot the ball at the hoop?,no he did not score,crong did not score after he shot the ball at the hoop.,crong did not score after he shot the ball at the hoop.,1.0,1.0,1.0,INSUFFICIENT,"the visual description clearly indicates that crong misses his shot, which directly supports the pure language answer stating he did not score.","the scene description confirms crong's action of missing the shot, aligning with the visual context.",False
12,716,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"yes, pororo apologizes to poby for knocking his things down.","yes, pororo apologizes to poby for knocking his things down.",1.0,1.0,1.0,INSUFFICIENT,"the visual description confirms that pororo is in poby's house and is apologizing, which aligns with the pure language answer. the subtitles also support this action.","the scene shows pororo interacting with poby, reinforcing the action of apologizing.",False
13,730,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"eddy tells poby, ""poby, we are going to leave now.""","eddy tells poby, ""poby, we are going to leave now.""",1.0,1.0,1.0,INSUFFICIENT,"the visual description aligns with the scene where eddy tells poby they are leaving, supported by the subtitles.","the scene depicts eddy and poby, confirming the dialogue context.",False
14,738,Pororo_ENGLISH1_1_ep2,30,what does pororo almost forget to leave with poby,the broken camera piece,pororo almost forgets to leave with the camera.,pororo almost forgets to leave with the camera.,0.5,0.5,1.0,INSUFFICIENT,"the visual description clearly indicates that pororo placed the camera on the floor and left, which directly supports the pure language answer that he almost forgot to leave with the camera.","the scene shows pororo and poby in poby's place, with the camera mentioned in the context of pororo's actions.",False
15,912,Pororo_ENGLISH1_1_ep5,41,how did pororo feel after seeing that the flower has wilted,he was very upset,pororo felt sad after seeing that the flower had wilted.,pororo felt sad after seeing that the flower had wilted.,1.0,1.0,1.0,INSUFFICIENT,"the visual description directly relates to the scene where pororo sees the wilted flower, confirming the emotional response of sadness.","the image shows a wilted flower, which aligns with the scene description and supports the emotional context.",False
16,925,Pororo_ENGLISH1_1_ep6,2,when and who will go to picnic,loopy is going to picnic tomorrow for fun,loopy will go on a picnic tomorrow.,loopy will go on a picnic tomorrow.,1.0,1.0,1.0,INSUFFICIENT,"the visual description clearly indicates that loopy is preparing for a picnic tomorrow, which aligns with the pure language answer.","the scene description mentions loopy cooking for tomorrow's picnic, supporting the timing and action.",False
17,946,Pororo_ENGLISH1_1_ep6,23,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him",crong is scared of pororo because he is surprised and holding a lamp that has gone out in a dark environment.,crong is scared of pororo because he is surprised and holding a lamp that has gone out in a dark environment.,0.75,0.75,1.0,INSUFFICIENT,"the visual description accurately depicts crong's surprise and his action of holding a lamp, which aligns with the pure_language_answer.",the description of crong being surprised and holding a lamp that has gone out directly supports the answer.,False
18,928,Pororo_ENGLISH1_1_ep6,4,what seasoning does loopy add to her mixing bowl,loopy adds some salt,loopy adds a little salt to her mixing bowl.,loopy adds a little salt to her mixing bowl.,1.0,1.0,1.0,INSUFFICIENT,"the visual description clearly indicates that loopy is adding salt to her mixing bowl, which aligns with the pure language answer.",the scene description and subtitles confirm that loopy is holding a salt bottle and is in the process of adding salt to her food.,False
19,965,Pororo_ENGLISH1_1_ep6,43,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","eddy thinks the ghost must have run away after seeing him, poby, and loopy.","eddy thinks the ghost must have run away after seeing him, poby, and loopy.",1.0,1.0,1.0,INSUFFICIENT,"the visual description does not provide relevant information to assess the actions or thoughts of eddy regarding the ghost. however, the scene_description and subtitles clearly indicate that eddy thinks the ghost ran away after seeing them.","none, as the visual description was insufficient.",False
20,1052,Pororo_ENGLISH1_1_ep9,16,what do loopy's friends do when they're inside?,they share a snack at the table,"loopy's friends, pororo, crong, poby, and eddy, sit around the table drinking juice.","loopy's friends, pororo, crong, poby, and eddy, sit around the table drinking juice.",0.75,0.75,1.0,INSUFFICIENT,"the visual description accurately depicts the scene where loopy's friends are sitting around a table drinking juice, which aligns with the question.","the scene shows pororo, crong, poby, and eddy at a table with drinks, confirming the action described.",False
21,1857,Pororo_ENGLISH1_2_ep10,14,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""","pororo asked loopy, ""what was it that you did a minute ago?""","pororo asked loopy, ""what was it that you did a minute ago?""",1.0,1.0,1.0,INSUFFICIENT,"the visual description accurately depicts the scene where pororo asks loopy about her recent actions, aligning with the pure language answer.",the description of pororo asking loopy and loopy's reaction supports the dialogue context.,False
22,1435,Pororo_ENGLISH1_2_ep2,17,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"loopy, i could not sleep.","loopy, i could not sleep.",0.75,0.75,1.0,INSUFFICIENT,"the visual description provides context relevant to the dialogue, indicating a character interaction that aligns with the statement ""i could not sleep."" the scene description supports this by depicting poby's action, which can imply a state of confusion or concern, fitting the context of the dialogue.","the visual shows poby scratching his head, which suggests he might be puzzled or tired, reinforcing the dialogue about not being able to sleep.",False
23,1441,Pororo_ENGLISH1_2_ep2,23,what did poby's friend decide,poby's friend decided to help poby to get some sleep,eddy decided that they need to help poby get some sleep.,eddy decided that they need to help poby get some sleep.,1.0,1.0,0.75,INSUFFICIENT,"the visual description indicates that eddy is actively talking and gesturing, which aligns with the action of deciding to help poby get some sleep as stated in the subtitles. the agreement between the pure language answer and the subtitles supports this conclusion.","the scene description of eddy talking and swinging his arms suggests he is engaged in a discussion about helping poby, reinforcing the action described.",False
24,1572,Pororo_ENGLISH1_2_ep5,19,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,crong interrupts eddy as he was saying hello to loopy.,crong interrupts eddy as he was saying hello to loopy.,0.0,0.0,1.0,INSUFFICIENT,"the visual description provides relevant context about the characters and their actions, confirming that crong interrupts eddy.","the scene description indicates crong is sliding down behind pororo, which supports the claim of interruption.",False
25,1579,Pororo_ENGLISH1_2_ep5,26,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,loopy proposed that the group ask him anything about the flower he was holding.,loopy proposed that the group ask him anything about the flower he was holding.,0.75,0.75,1.0,INSUFFICIENT,"the visual description aligns well with the context of the dialogue, confirming loopy's action of holding a flower and inviting questions. the subtitle directly supports the proposed action.","the image shows loopy holding a flower, which corresponds with the dialogue and scene description.",False
26,1762,Pororo_ENGLISH1_2_ep8,43,what did pororo think next?,pororo thought next: wjat should i do?,pororo thought he needed to find a way to cheer up crong and make them smile again.,pororo thought he needed to find a way to cheer up crong and make them smile again.,0.5,0.5,0.75,INSUFFICIENT,"the visual description indicates a scene with pororo and crong, who are both sad, aligning with the context of pororo needing to cheer up crong. the pure language answer reflects this intention, but the visual language answer is empty, leading to a slight uncertainty.",the visual description of pororo and crong having sad faces supports the context of the question about pororo's thoughts on cheering up crong.,False
