row_num,qid,video_name,gif_num,question,correct_answer,visual_description,predicted_answer,evaluator_scores,accuracy
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,"The image shows Eddy, a small orange fox with large ears, and Poby, a white bear, both outdoors on a snowy landscape. Eddy is smiling and appears to be engaged in conversation, while Poby stands beside him, looking towards the viewer. The background features a bright blue sky and snow-covered terrain, indicating a cold environment. There are no key objects directly relevant to the question visible in the image.",eddy asks crong why pororo is acting urgently.,"0.25,0.25,0.25",0.25
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","In the image, three characters are present: Eddy, a fox with a large, pointed tail, Pororo, a blue penguin wearing a red scarf, and Crong, a green dinosaur. They are indoors, likely in a cozy room with wooden walls and a bookshelf in the background. Eddy is facing Pororo and Crong, gesturing as if explaining something, while Pororo and Crong appear to be looking at him attentively. The scene suggests a moment of discussion about a new toy.","yes, eddy's friends pororo and crong were interested in seeing his new toy, as they looked at it attentively and expressed excitement.","1.0,1.0,1.0",1.0
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","Eddy, a small orange fox character, is holding a book with both hands and smiling. He is positioned in front of a bookshelf filled with colorful books. The scene appears to be indoors, likely in a cozy room or library setting. Eddy's posture suggests he is engaged and excited about the book he is looking at.","eddy exclaimed, ""what should i make today?"" after finding the book.","1.0,1.0,1.0",1.0
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,"In the image, Pororo, a blue penguin wearing a yellow helmet and orange glasses, stands on the right side. He has his right hand on his head and is looking down. Loopy, a pink character, is on the left, with her hands on her sides, facing Pororo. The scene is set in a snowy outdoor environment with trees in the background.","pororo looked to the ground, possibly feeling concerned or reflective about the situation involving loopy and the snowman.","0.75,0.75,0.75",0.75
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,"Pororo, a small blue penguin with a yellow helmet and round glasses, is sitting at a table. He has a surprised expression on his face, indicating something unusual has happened. Crong, a green dinosaur, is positioned in the foreground with an angry look, facing Pororo. The scene is set indoors, with wooden furniture visible in the background.","a bomb box that crong hid exploded in pororo's face, causing his surprised expression.","1.0,1.0,1.0",1.0
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"The image features Poby, a small, gray bear character with a round body and a distinct black nose. He is positioned on a snowy surface, surrounded by icy blue formations in the background. Poby appears to be in a standing posture, with his feet slightly apart, suggesting he is about to move or react to something. The scene is set in a cold, outdoor environment typical of the Pororo series.","poby asks eddy, ""what are you arguing about?"" when he sees him.","0.0,0.25,0.25",0.25
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,"The image features Loopy, a small orange character with large ears and a smiling expression. She is positioned in a cozy indoor setting, likely her house, with wooden walls and some kitchen utensils visible in the background. Loopy appears to be engaged in conversation, standing upright with a friendly demeanor. The overall atmosphere suggests a lighthearted interaction among friends.","in loopy's house, characters confess to their mistakes and apologize, leading to reconciliations and lighthearted interactions among friends.","0.25,0.25,0.25",0.25
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"In the image, Pororo, a small blue penguin wearing a brown aviator hat and large glasses, is positioned on the left, looking up with a surprised expression. Crong, a green frog, is on the right, facing Pororo with closed eyes and a neutral expression. Loopy, a pink beaver, is in the background, slightly to the right, observing the interaction. The setting appears to be indoors, with wooden walls and shelves visible in the background.","pororo says to crong, ""i thought you played a trick on me again, but it was eddy who caused the trouble!""","0.75,0.75,0.75",0.75
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away","The image features Eddy, a small orange character with large ears and a cheerful expression, sitting at a table. He is leaning slightly forward, suggesting engagement or excitement. The background includes soft furnishings and framed pictures, indicating an indoor setting. Eddy's posture and facial expression imply he is involved in a conversation or activity related to singing.","eddy did not stay longer after agreeing to sing, as he left to do something at home.","1.0,1.0,1.0",1.0
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","The image shows Poby, a white bear, with his arms raised and hands open, appearing to engage with the audience. In the background, Loopy, a pink beaver, is smiling and standing near a door. The setting appears to be indoors, likely in a cozy, wooden environment. Poby's posture suggests he is excited or welcoming.","eddy's entrance did impress the audience, as indicated by their enthusiastic reactions and excitement for his performance.","1.0,1.0,1.0",1.0
11,711,Pororo_ENGLISH1_1_ep2,16,did crong score after he shot the ball at the hoop?,no he did not score,"The image shows a basketball hoop mounted on a wall inside a house, with a basketball hovering near the rim. The hoop is made of metal and has a net, while the basketball is orange. A window is visible in the background, along with a framed picture on the wall. There are no characters present in the image.","crong did not score after he shot the ball at the hoop, as he missed his shot.","1.0,1.0,1.0",1.0
12,716,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"In the image, Pororo, a small penguin with a yellow helmet and orange goggles, is facing Poby, a white bear. Pororo has a slightly lowered head and a gentle expression, indicating he is apologizing. The scene is set indoors, in Poby's house, with a window and a picture on the wall visible in the background. Poby is positioned to the right, and Pororo is looking up at him.","yes, pororo apologizes to poby for knocking his things down.","1.0,1.0,1.0",1.0
13,730,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"In the image, Poby, a white bear, stands upright with a neutral expression, while Pororo, a small blue penguin wearing a helmet, is crouched beside a suitcase. The background shows a room with a wooden floor and a few scattered items, including a broken camera. The scene is indoors, likely in Poby's home, with windows allowing light to enter.",eddy tells poby that they are going to leave now.,"1.0,1.0,1.0",1.0
14,738,Pororo_ENGLISH1_1_ep2,30,what does pororo almost forget to leave with poby,the broken camera piece,"In the image, Pororo, a small blue penguin wearing a yellow helmet, is seen walking away from Poby, a white bear. Poby stands still, facing Pororo, in a cozy indoor setting with a stone floor and wooden furniture. A camera is placed on the floor near Pororo, indicating it is an important object in the scene. The background features a wall with a window and some shelves.",pororo almost forgets to leave with poby's precious camera.,"0.5,0.5,0.5",0.5
15,912,Pororo_ENGLISH1_1_ep5,41,how did pororo feel after seeing that the flower has wilted,he was very upset,"The image shows a wilted dandelion in a white pot, positioned in front of a window. The flower has a brownish, drooping head and a green stem with some leaves. The background features a blue sky and a snowy landscape outside the window. The overall scene is indoors, with wooden elements visible in the setting.","pororo felt sad and concerned after seeing that the flower had wilted, wondering how it happened.","1.0,1.0,1.0",1.0
16,925,Pororo_ENGLISH1_1_ep6,2,when and who will go to picnic,loopy is going to picnic tomorrow for fun,"Loopy, a pink character wearing a chef hat, is smiling and stirring a bowl in a kitchen setting. The character is positioned centrally, with a wooden cabinet and various kitchen items visible in the background. Loopy is engaged in cooking, preparing for a picnic the next day.",loopy will go on a picnic tomorrow with friends after finishing cooking tonight.,"1.0,1.0,1.0",1.0
17,946,Pororo_ENGLISH1_1_ep6,23,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him","Crong, a green frog character, is depicted with a surprised expression, mouth open wide. He is holding a lamp in his left hand, which is not lit. The scene is set outdoors at night, with a dark sky and some trees in the background. Crong's body posture suggests he is startled, as he shakes his head.",crong is scared of pororo because he mistakenly thought pororo was a ghost in the dark.,"0.75,0.75,0.75",0.75
18,928,Pororo_ENGLISH1_1_ep6,4,what seasoning does loopy add to her mixing bowl,loopy adds some salt,"Loopy, a cartoon character with a round body and a light blue outfit, is seen in a kitchen setting. She is holding a salt bottle above a mixing bowl, preparing to sprinkle salt into it. The bowl is positioned on a wooden table, and Loopy's arm is extended as she aims to add the seasoning. The background features a simple indoor environment with a wooden door and wall.",loopy adds salt to her mixing bowl while preparing food.,"1.0,1.0,1.0",1.0
19,965,Pororo_ENGLISH1_1_ep6,43,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","The image features Eddy, a small, orange fox character with large ears and a cheerful expression. He is standing outdoors at night, surrounded by a dark, starry sky and snow-covered ground. Eddy appears to be smiling and is likely engaged in conversation or expressing excitement. The background includes silhouettes of trees and a stone archway, contributing to the nighttime setting.","eddy thinks the ghost must have run away after it saw him, poby, and loopy.","1.0,1.0,1.0",1.0
20,1052,Pororo_ENGLISH1_1_ep9,16,what do loopy's friends do when they're inside?,they share a snack at the table,"In the image, Loopy, a yellow corgi-like character, is sitting at a table with a glass of juice. Crong, a green dinosaur, stands next to her, while Poby, a white bear, and Eddy, an orange character, are in the background. The setting is indoors, with a cozy atmosphere, and there are some snacks on the table. The characters appear to be engaged in conversation.","loopy and her friends drink juice, engage in conversation, and dance together while having a good time indoors.","0.5,0.5,0.5",0.5
21,1857,Pororo_ENGLISH1_2_ep10,14,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""","Pororo, a blue penguin wearing a yellow helmet, stands facing Loopy, a pink beaver, in a snowy outdoor setting with blue skies and pine trees in the background. Loopy appears to be gesturing with her hand on her face, indicating a moment of surprise or curiosity. The two characters are positioned close to each other, with Pororo looking inquisitively at Loopy.",pororo asked loopy what she did a minute ago.,"1.0,1.0,1.0",1.0
