row_num,question_id,image_path,question,answer_type,correct_answer,pure_language_answer,language_critic_answer,model_confidence,changed,evaluator_scores,accuracy,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE1,ROUGE2,ROUGEL,METEOR,BERTScore_Precision,BERTScore_Recall,BERTScore_F1,BLEURT
1,77311,S27E11-05901.jpg,what is on the shelf?,other,book,books,books,1.0,False,"1.0, 1.0, 1.0",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.87256383895874,0.87256383895874,0.87256383895874,0.42950314283371
2,12809,S24E12-26951.jpg,how many people are in the picture?,number,1,1,1,1.0,False,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.449558734893799
3,1214,S26E11-03301.jpg,are the people sitting or standing?,other,standing,standing,standing,1.0,False,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.00000011920929,1.00000011920929,1.00000011920929,0.703314602375031
4,88112,S27E20-04751.jpg,what is the group of people doing?,other,standing,traveling,traveling,1.0,False,"0.25, 0.25, 0.25",0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.830033779144287,0.830033779144287,0.830033779144287,0.0519374832510948
5,36705,S27E21-07251.jpg,what are the buildings made of?,other,brick,brick,brick,1.0,False,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.697356343269348
6,33098,S25E20-05851.jpg,is there a toy in the picture?,yes/no,yes,yes,yes,1.0,False,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.566435396671295
7,30161,S28E21-16651.jpg,is there a man on a chair?,yes/no,yes,yes,yes,1.0,False,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.566435396671295
8,15712,S26E04-20751.jpg,how many people are there?,number,2,2,2,1.0,False,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.510495722293854
9,87724,S26E11-10751.jpg,what is the girl doing?,other,standing,watching,watching,1.0,False,"0.25, 0.5, 0.25",0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.689987361431122,0.689987361431122,0.689987361431122,0.0510664731264114
10,12264,S30E19-18201.jpg,how many people are in the image?,number,1,1,1,1.0,False,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.449558734893799
