row_num,qid,video_name,gif_num,question,correct_answer,visual_description,pure_language_answer,visual_language_answer,visual_language_critic_answer,model_confidence,changed,evaluator_scores,accuracy,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE1,ROUGE2,ROUGEL,METEOR,BERTScore_Precision,BERTScore_Recall,BERTScore_F1,BLEURT
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,"First, Eddy stands outside on the ice with Poby and Loopy, looking toward Pororo. Then, Eddy raises his hand and asks, ""Pororo what are you doing."" Finally, Crong passes by Eddy, Poby, and Loopy, moving in the direction of Pororo.","eddy asks pororo, ""what are you doing?""","eddy asks pororo, ""what are you doing?""","eddy asks pororo, ""what are you doing?""",1.0,False,"1.0,1.0,1.0",1.0,0.428571428571429,0.267261241912424,0.112624788044361,0.0773055175693945,0.857142857142857,0.833333333333333,0.857142857142857,0.365079365079365,0.704041957855225,0.809909880161285,0.753274321556091,0.746554255485535
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","First, Pororo stands in the center of the room, facing Eddy, who is slightly to his right. Crong is positioned to the left of Pororo, looking at him. Then, Eddy turns his body slightly towards Pororo and raises his arms, indicating excitement. Finally, while saying ""toy crong,"" Pororo looks down at Crong, who is smiling and looking up at him.","yes, eddy's friends were interested in seeing his new toy.","yes, eddy's friends were interested in seeing his new toy as they ran toward it excitedly.","yes, eddy's friends were interested in seeing his new toy as they ran toward it excitedly.",1.0,True,"1.0,1.0,1.0",1.0,0.25,0.129099444873581,0.0491934073403099,0.0309345882943137,0.48,0.173913043478261,0.32,0.422727272727273,0.643516957759857,0.812963724136353,0.718383610248566,0.665484845638275
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","First, Eddy stands with a book held in both hands close to his chest. Then, he looks down at the book with a smile on his face. Finally, he raises the book slightly while saying, ""what should I make today.""","eddy said, ""what should i make today?""","eddy said, ""what should i make today?""","eddy said, ""what should i make today?""",1.0,False,"1.0,1.0,1.0",1.0,0.495358799857247,0.378336532751385,0.291685492050312,0.152286219824357,0.857142857142857,0.666666666666667,0.857142857142857,0.474683544303797,0.881924152374268,0.915598690509796,0.898446023464203,0.886768996715546
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,"First, Loopy stands with her hands on her sides, facing Pororo. Then, Pororo raises his right hand and places it on his head while lowering his head. Finally, Pororo looks down at the ground.","pororo looked to the ground as he lowered his head, possibly feeling shy or contemplative.",pororo looked to the ground after placing his hand on his head and lowering his head.,pororo looked to the ground after placing his hand on his head and lowering his head.,1.0,True,"0.75,0.75,0.75",0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.293537259101868,0.406007140874863,0.340730965137482,0.239350408315659
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,"First, Pororo is sitting at a table, looking directly at Crong with a neutral expression. Then, Crong, who is standing close to Pororo, has an angry expression and looks directly at Pororo. Suddenly, a bomb box appears in front of Crong, and it explodes, causing a burst of smoke and debris to fly towards Pororo's face. Finally, Pororo's eyes widen in surprise as the explosion occurs.",a bomb box that crong hid exploded in pororo's face.,"a bomb box that crong hid exploded in pororo's face, causing surprise and chaos.",a bomb box that crong hid exploded in pororo's face.,1.0,False,"1.0,1.0,1.0",1.0,0.5,0.333333333333333,0.240374928384568,0.11868405219521,0.777777777777778,0.5,0.777777777777778,0.696875,0.715019285678864,0.858324646949768,0.780145585536957,0.627758502960205
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"First, Poby moves his feet while standing on the ice. Then, he stops moving and looks around. Finally, he says ""why are you so jumpy"" while maintaining his position.","poby asks eddy, ""why are you so jumpy?""","poby asks eddy, ""why are you so jumpy?""","poby asks eddy, ""why are you so jumpy?""",1.0,False,"1.0,1.0,1.0",1.0,0.375,0.231455024943138,0.096292839277709,0.0650059326034369,0.75,0.571428571428571,0.75,0.319444444444444,0.731288611888886,0.855659782886505,0.788600623607636,0.74321174621582
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,"First, Eddy stands in Loopy's house with a slight smile, lowering his ears a little. Then, he looks toward Loopy and Pororo, who are both facing him. Pororo is covered in dirt and looks at Eddy while Loopy also gazes in the same direction. Finally, Eddy says, ""to be honest with you I placed the box there"" while maintaining his smile and posture.",eddy confesses that he placed the box there.,"eddy confesses in loopy's house that he placed the box there, while smiling and addressing loopy and pororo.","eddy confesses in loopy's house that he placed the box there, while smiling and addressing loopy and pororo.",1.0,True,"0.75,0.75,0.75",0.75,0.444444444444444,0.323380833381777,0.235566134210264,0.171815296713272,0.689655172413793,0.37037037037037,0.482758620689655,0.757575757575758,0.649866461753845,0.861428558826447,0.740839540958405,0.524200618267059
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"First, Pororo lowers his head and looks at the ground. Then, he raises his head and looks directly at Crong. Finally, Pororo says ""Crong, I apologize, I made a mistake"" while maintaining eye contact with Crong. Crong looks at Pororo and closes his eyes during this exchange.","""crong, i apologize, i made a mistake.""","""crong, i apologize, i made a mistake.""","""crong, i apologize, i made a mistake.""",1.0,False,"1.0,1.0,1.0",1.0,0.186125445008873,0.14215565675175,0.0640930138290255,0.0455052464587058,0.588235294117647,0.266666666666667,0.470588235294118,0.193298969072165,0.56002414226532,0.575033962726593,0.567429780960083,0.538654625415802
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away","First, Eddy sits at a table with a wide smile on his face. Then, he leans forward slightly, raising his hands in a gesture of excitement. Finally, he continues to smile while looking directly at the camera.","eddy did not stay longer after agreeing to sing, as he stated he was going to leave.","eddy did not stay longer after agreeing to sing, as he indicated he was going to leave.","eddy did not stay longer after agreeing to sing, as he stated he was going to leave.",1.0,False,"1.0,1.0,1.0",1.0,0.0588235294117647,0.0191741247211843,0.013482795444686,0.0115027836199,0.0909090909090909,0.0,0.0909090909090909,0.0806451612903226,0.36626273393631,0.424541831016541,0.393254816532135,0.373369157314301
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","First, Poby stands in the foreground with his hands raised, showing excitement. Then, Loopy and Pororo are positioned beside him, both clapping their hands. Poby's mouth is open as he talks, and he appears to be looking at Eddy. Finally, the characters continue to clap their hands while the dialogue ""wow eddy cool"" is displayed, indicating their reaction to Eddy's entrance.","eddy's entrance impressed the audience, as indicated by poby, loopy, and pororo clapping and expressing excitement.","eddy's entrance impressed the audience, as indicated by poby, loopy, and pororo clapping and exclaiming, ""wow eddy cool.""","eddy's entrance impressed the audience, as indicated by poby, loopy, and pororo clapping and exclaiming, ""wow eddy cool.""",1.0,False,"1.0,1.0,1.0",1.0,0.0555555555555555,0.0180775381515547,0.0126877962834825,0.0108023148909081,0.153846153846154,0.0,0.153846153846154,0.123456790123457,0.351803660392761,0.439894556999207,0.390948235988617,0.416423857212067
