row_num,qid,video_name,gif_num,question,correct_answer,visual_description,pure_language_answer,visual_language_answer,visual_language_critic_answer,evaluator_scores,accuracy,model_confidence,visual_description_sufficiency,explanation,visual_evidence,changed
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,"First, Eddy stands outside on the ice with Poby and Loopy, looking toward Pororo. Then, Eddy raises his hand and asks, ""Pororo what are you doing."" Finally, Crong passes by Eddy, Poby, and Loopy, moving in the direction of Pororo.","eddy asks pororo, ""what are you doing?""","eddy asks pororo, ""what are you doing?""","eddy asks pororo, ""what are you doing?""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description clearly outlines eddy's action of asking pororo what he is doing, which aligns with both the pure language and visual language answers.","the description details eddy raising his hand and asking pororo, confirming the dialogue presented in the answers.",False
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","First, Pororo stands in the center of the room, facing Eddy, who is slightly to his right. Crong is positioned to the left of Pororo, looking at him. Then, Eddy turns his body slightly towards Pororo and raises his arms, indicating excitement. Finally, while saying ""toy crong,"" Pororo looks down at Crong, who is smiling and looking up at him.","yes, eddy's friends were interested in seeing his new toy.","yes, eddy's friends were interested in seeing his new toy as they ran toward it excitedly.","yes, eddy's friends were interested in seeing his new toy as they ran toward it excitedly.","1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description clearly depicts the characters' excitement and interaction regarding the toy, aligning with the question about eddy's friends' interest.",the description of pororo and crong running toward the car and expressing excitement supports the claim of their interest in eddy's new toy.,True
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","First, Eddy stands with a book held in both hands close to his chest. Then, he looks down at the book with a smile on his face. Finally, he raises the book slightly while saying, ""what should I make today.""","eddy said, ""what should i make today?""","eddy said, ""what should i make today?""","eddy said, ""what should i make today?""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description accurately depicts eddy's actions and dialogue, confirming the content of both the pure language and visual language answers.","the description of eddy holding the book and saying, ""what should i make today?"" aligns perfectly with the visual representation.",False
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,"First, Loopy stands with her hands on her sides, facing Pororo. Then, Pororo raises his right hand and places it on his head while lowering his head. Finally, Pororo looks down at the ground.","pororo looked to the ground as he lowered his head, possibly feeling shy or contemplative.",pororo looked to the ground after placing his hand on his head and lowering his head.,pororo looked to the ground after placing his hand on his head and lowering his head.,"0.75,0.75,0.75",0.75,1.0,SUFFICIENT,"the visual description accurately details pororo's actions of placing his hand on his head and lowering his head, which aligns with the question about why he looked to the ground.",the description of pororo raising his hand and lowering his head directly supports the understanding of his action.,True
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,"First, Pororo is sitting at a table, looking directly at Crong with a neutral expression. Then, Crong, who is standing close to Pororo, has an angry expression and looks directly at Pororo. Suddenly, a bomb box appears in front of Crong, and it explodes, causing a burst of smoke and debris to fly towards Pororo's face. Finally, Pororo's eyes widen in surprise as the explosion occurs.",a bomb box that crong hid exploded in pororo's face.,"a bomb box that crong hid exploded in pororo's face, causing surprise and chaos.",a bomb box that crong hid exploded in pororo's face.,"1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description clearly outlines the sequence of events leading to the explosion, confirming the context of the question.","the description details pororo's reaction and the explosion caused by the bomb box, which directly answers the question.",False
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"First, Poby moves his feet while standing on the ice. Then, he stops moving and looks around. Finally, he says ""why are you so jumpy"" while maintaining his position.","poby asks eddy, ""why are you so jumpy?""","poby asks eddy, ""why are you so jumpy?""","poby asks eddy, ""why are you so jumpy?""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,the visual description accurately depicts poby's actions and confirms the dialogue he uses when addressing eddy.,"the description states that poby asks eddy, ""why are you so jumpy?"" while moving and stopping, which aligns with the dialogue provided.",False
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,"First, Eddy stands in Loopy's house with a slight smile, lowering his ears a little. Then, he looks toward Loopy and Pororo, who are both facing him. Pororo is covered in dirt and looks at Eddy while Loopy also gazes in the same direction. Finally, Eddy says, ""to be honest with you I placed the box there"" while maintaining his smile and posture.",eddy confesses that he placed the box there.,"eddy confesses in loopy's house that he placed the box there, while smiling and addressing loopy and pororo.","eddy confesses in loopy's house that he placed the box there, while smiling and addressing loopy and pororo.","0.75,0.75,0.75",0.75,1.0,SUFFICIENT,"the visual description provides a clear and relevant depiction of eddy's confession, aligning well with the question. it details his actions, expressions, and the context of the scene, confirming the accuracy of the answers.",the description of eddy smiling and addressing loopy and pororo while confessing directly supports the action described in the question.,True
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"First, Pororo lowers his head and looks at the ground. Then, he raises his head and looks directly at Crong. Finally, Pororo says ""Crong, I apologize, I made a mistake"" while maintaining eye contact with Crong. Crong looks at Pororo and closes his eyes during this exchange.","""crong, i apologize, i made a mistake.""","""crong, i apologize, i made a mistake.""","""crong, i apologize, i made a mistake.""","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description accurately depicts pororo's actions and dialogue, confirming the context of the interaction with crong.","the description of pororo lowering his head, looking up, and maintaining eye contact while apologizing aligns with the dialogue provided.",False
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away","First, Eddy sits at a table with a wide smile on his face. Then, he leans forward slightly, raising his hands in a gesture of excitement. Finally, he continues to smile while looking directly at the camera.","eddy did not stay longer after agreeing to sing, as he stated he was going to leave.","eddy did not stay longer after agreeing to sing, as he indicated he was going to leave.","eddy did not stay longer after agreeing to sing, as he stated he was going to leave.","1.0,1.0,1.0",1.0,1.0,INSUFFICIENT,"the visual description does not provide sufficient evidence to determine whether eddy stayed longer after agreeing to sing, as it does not address his actions after the agreement. the subtitles clearly indicate that he is going to leave, which directly contradicts the idea of him staying longer.",no visual evidence was used due to insufficient description.,False
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","First, Poby stands in the foreground with his hands raised, showing excitement. Then, Loopy and Pororo are positioned beside him, both clapping their hands. Poby's mouth is open as he talks, and he appears to be looking at Eddy. Finally, the characters continue to clap their hands while the dialogue ""wow eddy cool"" is displayed, indicating their reaction to Eddy's entrance.","eddy's entrance impressed the audience, as indicated by poby, loopy, and pororo clapping and expressing excitement.","eddy's entrance impressed the audience, as indicated by poby, loopy, and pororo clapping and exclaiming, ""wow eddy cool.""","eddy's entrance impressed the audience, as indicated by poby, loopy, and pororo clapping and exclaiming, ""wow eddy cool.""","1.0,1.0,1.0",1.0,1.0,SUFFICIENT,"the visual description provides clear evidence of the characters' actions and reactions, confirming that eddy's entrance impressed the audience.","the description details poby, loopy, and pororo clapping and expressing excitement, which aligns with the question.",False
