row_num,qid,video_name,gif_num,question,correct_answer,visual_description,initial_answer,predicted_answer,evaluator_scores,accuracy
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,"The image shows Eddy, an orange fox with large ears, and Poby, a white bear, both outdoors on a snowy landscape. Eddy is smiling and appears to be engaged in conversation, while Poby stands beside him, looking towards the viewer. The background features a bright blue sky and snow-covered terrain, indicating a cold environment. There are no key objects present in the immediate scene.",eddy asks crong why pororo is acting urgently.,eddy asks crong why pororo is acting urgently.,"0.25,0.25,0.25",0.25
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","In the image, three characters are present: Eddy, a fox with a large, pointed tail, Pororo, a small blue penguin, and Crong, a green dinosaur. They are indoors, likely in a cozy room with wooden walls and a bookshelf in the background. Pororo and Crong appear to be looking at Eddy, who is facing them, suggesting they are engaged in conversation about a new toy. The characters are positioned close together, indicating a shared interest in the topic at hand.","yes, eddy's friends pororo and crong showed interest in seeing his new toy, as they engaged in conversation and expressed excitement about it.","yes, eddy's friends pororo and crong showed interest in seeing his new toy, as they engaged in conversation and expressed excitement about it.","1.0,1.0,1.0",1.0
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","Eddy, a small orange fox character, is holding a book with both hands and smiling. He is positioned in front of a bookshelf filled with colorful books. The scene appears to be indoors, likely in a cozy room. Eddy's posture suggests he is excited or pleased about the book he has found.","eddy excitedly exclaimed, ""what should i make today?"" after finding the book.","eddy excitedly exclaimed, ""what should i make today?"" after finding the book.","1.0,1.0,1.0",1.0
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,"In the image, Pororo, a blue penguin wearing a yellow helmet and orange glasses, is standing on the right side. He has his right hand on his head and is looking down. Loopy, a pink character, is on the left, with her hands on her sides, facing Pororo. The scene is set in a snowy outdoor environment with trees in the background.","pororo looked to the ground, possibly feeling concerned or reflective about the situation involving loopy and the snowman.","pororo looked to the ground, possibly feeling concerned or reflective about the situation involving loopy and the snowman.","0.75,0.75,0.75",0.75
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,"Pororo, a small blue penguin with a yellow helmet and glasses, is sitting at a table. He has a surprised expression, and his face appears messy, suggesting something has happened to it. Crong, a green dinosaur, is positioned to the right, looking angry with narrowed eyes. The scene is set indoors, with wooden furniture visible in the background.","a bomb box that crong hid exploded in pororo's face, making him look messy and surprised.","a bomb box that crong hid exploded in pororo's face, making him look messy and surprised.","1.0,1.0,1.0",1.0
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"The image features Poby, a small, cartoonish polar bear with a round body and a prominent black nose. He is positioned on a snowy surface, surrounded by icy blue formations in the background. Poby appears to be in a standing posture, with his feet slightly apart, suggesting he is about to move or react to something. The overall scene is set in a wintery environment, emphasizing the cold, icy theme.","poby asks eddy, ""what are you arguing about?"" when he sees him.","poby asks eddy, ""what are you arguing about?"" when he sees him.","0.25,0.25,0.25",0.25
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,"The image features Loopy, a cartoon character with orange fur and large ears, smiling with closed eyes. She is positioned in a cozy indoor setting, likely her house, with wooden walls and kitchen items visible in the background. Loopy's body posture is upright, suggesting a friendly demeanor. The overall scene conveys a warm and inviting atmosphere.","eddy confesses in loopy's house that he placed the box there for fun, not expecting the explosion to happen.","eddy confesses in loopy's house that he placed the box there for fun, not expecting the explosion to happen.","0.75,0.75,0.75",0.75
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"In the image, Pororo, a small blue penguin with large round glasses and a brown aviator hat, is positioned on the left, looking up with a concerned expression. Crong, a green frog, is on the right, facing Pororo with closed eyes, suggesting a calm demeanor. Loopy, a pink beaver, is in the background, slightly to the left, observing the interaction. The setting appears to be indoors, with wooden elements visible in the environment.","pororo says to crong, ""i thought you played a trick on me again, but it was eddy who caused the trouble.""","pororo says to crong, ""i thought you played a trick on me again, but it was eddy who caused the trouble.""","0.75,0.75,0.75",0.75
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away","The image features Eddy, a small orange character with large ears and a cheerful expression, sitting at a table. He is leaning slightly forward, suggesting engagement or excitement. The background includes soft furnishings and framed pictures, indicating an indoor setting. Eddy's posture and facial expression imply he is involved in a conversation or activity related to singing.","eddy did not stay longer after agreeing to sing, as he mentioned needing to do something at home and left.","eddy did not stay longer after agreeing to sing, as he mentioned needing to do something at home and left.","1.0,1.0,1.0",1.0
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","In the image, a polar bear, Poby, is prominently featured with its paws raised in a welcoming gesture. Behind Poby, a smaller character, Loopy, is smiling and appears to be standing near a doorway. The setting is indoors, with wooden walls and a cozy atmosphere. The characters are brightly colored, contributing to a cheerful environment.","eddy's entrance impressed the audience, as indicated by their enthusiastic reactions and compliments towards him.","eddy's entrance impressed the audience, as indicated by their enthusiastic reactions and compliments towards him.","1.0,1.0,1.0",1.0
