row_num_df1,video_name_df1,gif_num_df1,qid,question_df1,correct_answer_df1,predicted_answer_df1,accuracy_df1,row_num_df2,video_name_df2,gif_num_df2,question_df2,correct_answer_df2,predicted_answer_df2,accuracy_df2,improved,degraded,unchanged,performance_diff,question_type,correct_length,single_length,multi_length,length_diff_single,length_diff_multi,agents_consistent,question_complexity,correct_single_similarity,correct_multi_similarity
1,Pororo_ENGLISH1_1_ep1,14,383.0,whtat does eddy ask pororo,he asks pororo what are you doing,eddy asks pororo about the reason for his urgent action,0.25,1,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,eddy asks pororo the reason for his urgent action,0.25,False,False,True,0.0,Dialog,7,10,9,3,2,False,simple,0.14656144097339874,0.15327206708915303
2,Pororo_ENGLISH1_1_ep10,12,1100.0,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","yes, eddy's friends were interested in seeing his new toy, as they expressed excitement and curiosity about it",1.0,2,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","yes, eddy's friends were interested in seeing his new toy",1.0,False,False,True,0.0,Other,8,18,10,10,2,False,simple,0.322483553708384,0.35313355798755086
3,Pororo_ENGLISH1_1_ep10,4,1090.0,what did eddy say after getting the book?,"eddy told, "" what should i make today""",eddy expressed excitement and curiosity about what he should create next after finding the book,1.0,3,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","eddy exclaimed, ""ah, i found it",0.0,False,True,False,-1.0,Dialog,8,15,6,7,-2,False,simple,0.2197671064430988,0.042826346766971016
4,Pororo_ENGLISH1_1_ep11,51,1181.0,why did pororo look to ground?,because he was sorry.,"pororo looked to the ground likely due to a moment of contemplation or concern, reflecting his character's playful yet cautious nature in the scene",0.75,4,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,pororo looked to the ground likely due to a moment of contemplation or concern during the conversation with loopy,0.75,False,False,True,0.0,Action,4,24,19,20,15,False,complex,0.0,0.0
5,Pororo_ENGLISH1_1_ep12,29,1215.0,what exploded in pororo's face,a bomb box exploded pororo's face,a bomb box that crong hid exploded in pororo's face,1.0,5,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,a bomb box that crong hid exploded in pororo's face,1.0,False,False,True,0.0,Other,6,10,10,4,4,True,simple,0.7925495317704795,0.7925495317704795
6,Pororo_ENGLISH1_1_ep12,36,1222.0,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"poby asks eddy, ""what is that box",0.0,6,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"poby asks eddy, ""what are you arguing about",0.25,True,False,False,0.25,Dialog,8,7,8,-1,0,False,medium,0.3695646042312076,0.20530883178763354
7,Pororo_ENGLISH1_1_ep12,43,1226.0,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,"loopy's house serves as a backdrop for themes of friendship and forgiveness, highlighted by the characters' expressive designs and vibrant colors that enhance the emotional dynamics of the scene",0.0,7,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,"in loopy's house, eddy confesses that he placed the box there for fun, not expecting the explosion to happen",0.75,True,False,False,0.75,Action,9,29,19,20,10,False,simple,0.10233188865129184,0.6169264891193503
8,Pororo_ENGLISH1_1_ep12,49,1232.0,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"pororo expresses frustration towards crong, accusing him of being a troublemaker and insisting that he played a trick on him again",0.25,8,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"pororo says to crong, ""did i go too far",0.25,False,False,True,0.0,Dialog,10,21,9,11,-1,False,simple,0.1039328018999691,0.23843863806472437
9,Pororo_ENGLISH1_1_ep13,12,1258.0,did eddy stay longer after agreeing to sing,"no, he left right away","eddy did not stay longer after agreeing to sing, as he quickly mentioned he had to do something at home and left",1.0,9,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away","eddy did not stay longer after agreeing to sing, as he mentioned he had to do something at home",1.0,False,False,True,0.0,Action,5,22,19,17,14,False,simple,0.1873221430133068,0.07309392996549516
10,Pororo_ENGLISH1_1_ep13,41,1283.0,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","eddy's entrance did not impress the audience, as he expressed doubt about his singing ability and ultimately avoided performing",0.0,10,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","eddy's entrance did not impress the audience, as he expressed doubt about his singing ability and left before performing",0.0,False,False,True,0.0,Action,7,19,19,12,12,False,simple,0.030861634094267267,0.031217379786061424
