row_num,video_name,gif_num,qid,question,correct_answer,predicted_answer,evaluator_scores,accuracy,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE1,ROUGE2,ROUGEL,METEOR
1,Pororo_ENGLISH1_1_ep1,14,383.0,whtat does eddy ask pororo,he asks pororo what are you doing,eddy asks crong why pororo is acting urgently,"0.25,0.25,0.25",0.25,0.25,0.059761430466719695,0.03904483328095401,0.03303164318013808,0.26666666666666666,0.0,0.26666666666666666,0.2112676056338028
2,Pororo_ENGLISH1_1_ep10,12,1100.0,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","yes, eddy's friends were interested in seeing his new toy, as they expressed excitement and planned to ride it together","1.0,1.0,1.0",1.0,0.15,0.02809757434745082,0.016368983753902038,0.012673718536830811,0.27586206896551724,0.07407407407407408,0.20689655172413796,0.16304347826086957
3,Pororo_ENGLISH1_1_ep10,4,1090.0,what did eddy say after getting the book?,"eddy told, "" what should i make today""",eddy expressed excitement about making a new toy after finding the book,"0.5,0.5,0.5",0.5,0.08333333333333333,0.027524094128159027,0.019640024396816252,0.017033186037639283,0.2105263157894737,0.0,0.2105263157894737,0.11904761904761905
4,Pororo_ENGLISH1_1_ep11,51,1181.0,why did pororo look to ground?,because he was sorry.,pororo looked to the ground likely due to feeling guilty or concerned after loopy expressed fear and needed reassurance during their snowman-making adventure,"1.0,1.0,1.0",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Pororo_ENGLISH1_1_ep12,29,1215.0,what exploded in pororo's face,a bomb box exploded pororo's face,"a bomb box that crong hid exploded in pororo's face, causing his unusual appearance","1.0,1.0,1.0",1.0,0.3571428571428572,0.23440361546924776,0.16605391603694544,0.08032276872815308,0.6363636363636364,0.4,0.6363636363636364,0.6558823529411765
6,Pororo_ENGLISH1_1_ep12,36,1222.0,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"poby asks eddy, ""what are you arguing about","0.25,0.25,0.25",0.25,0.25,0.18898223650461357,0.08411954328699874,0.05873949094699214,0.375,0.2857142857142857,0.375,0.234375
7,Pororo_ENGLISH1_1_ep12,43,1226.0,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,"eddy confesses to placing the box that caused the explosion, apologizing for the unintended trouble it caused","0.75,0.75,0.75",0.75,0.23529411764705885,0.17149858514250885,0.058095604449270616,0.03440134693333791,0.37037037037037035,0.24000000000000005,0.37037037037037035,0.3795918367346939
8,Pororo_ENGLISH1_1_ep12,49,1232.0,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"pororo tells crong, ""you are such a troublemaker; it won't be funny the next time,"" after realizing it was eddy who caused the trouble","0.5,0.5,0.5",0.5,0.08333333333333333,0.019034674690672018,0.011809261666821065,0.009410489957951634,0.17142857142857143,0.0,0.17142857142857143,0.13157894736842105
9,Pororo_ENGLISH1_1_ep13,12,1258.0,did eddy stay longer after agreeing to sing,"no, he left right away","eddy did not stay longer after agreeing to sing, as he mentioned needing to do something at home","1.0,1.0,1.0",1.0,0.05555555555555554,0.018077538151554672,0.012687796283482497,0.010802314890908065,0.08695652173913045,0.0,0.08695652173913045,0.07936507936507937
10,Pororo_ENGLISH1_1_ep13,41,1283.0,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","eddy's entrance did impress the audience, as indicated by their enthusiastic reactions and applause","1.0,1.0,1.0",1.0,0.07142857142857141,0.023440361546924773,0.016605391603694546,0.01428363257865929,0.09090909090909091,0.0,0.09090909090909091,0.06493506493506494
11,Pororo_ENGLISH1_1_ep2,16,711.0,did crong score after he shot the ball at the hoop?,no he did not score,crong misses his shot at the hoop and feels disappointed,"1.0,1.0,1.0",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Pororo_ENGLISH1_1_ep2,19,716.0,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"yes, pororo apologizes to poby for knocking his things down","1.0,1.0,1.0",1.0,0.08187307530779821,0.027291025102599408,0.019680234613736344,0.01727959142950042,0.1818181818181818,0.0,0.1818181818181818,0.0423728813559322
13,Pororo_ENGLISH1_1_ep2,26,730.0,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"eddy tells poby that they are going to leave, indicating a shift in their plans after the camera incident","1.0,1.0,1.0",1.0,0.21052631578947367,0.15294382258037448,0.11122565872945905,0.05415315253510895,0.37037037037037035,0.24,0.37037037037037035,0.5318681318681319
14,Pororo_ENGLISH1_1_ep2,30,738.0,what does pororo almost forget to leave with poby,the broken camera piece,pororo almost forgets to leave poby's precious camera behind,"0.5,0.5,0.5",0.5,0.11111111111111109,0.03726779962499649,0.027072175360490353,0.023980296761827107,0.14285714285714288,0.0,0.14285714285714288,0.11111111111111112
15,Pororo_ENGLISH1_1_ep5,41,912.0,how did pororo feel after seeing that the flower has wilted,he was very upset,pororo felt sad and concerned after seeing that the dandelion had wilted,"1.0,1.0,1.0",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Pororo_ENGLISH1_1_ep6,2,925.0,when and who will go to picnic,loopy is going to picnic tomorrow for fun,loopy is preparing for a picnic tomorrow by cooking and is going to get salt from poby tonight,"0.75,0.75,0.75",0.75,0.3888888888888889,0.30249507099101003,0.1788293813225678,0.07857897161640154,0.5384615384615385,0.3333333333333333,0.30769230769230765,0.7052154195011338
17,Pororo_ENGLISH1_1_ep6,23,946.0,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him",crong is scared of pororo because he mistakenly thinks pororo is a ghost in the dark,"0.75,0.75,0.75",0.75,0.34072534259373966,0.1880982592952514,0.12532064812966554,0.058598666217636125,0.4324324324324324,0.1142857142857143,0.3243243243243243,0.17857142857142858
18,Pororo_ENGLISH1_1_ep6,4,928.0,what seasoning does loopy add to her mixing bowl,loopy adds some salt,loopy adds salt to her mixing bowl while cooking,"1.0,1.0,1.0",1.0,0.3333333333333333,0.20412414523193154,0.08411954328699874,0.056122223243057295,0.46153846153846156,0.18181818181818182,0.46153846153846156,0.5679012345679012
19,Pororo_ENGLISH1_1_ep6,43,965.0,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","eddy thinks the ghost must have run away after seeing him, poby, and loopy","1.0,1.0,1.0",1.0,0.5985403583811576,0.4140897895345154,0.2369530234231917,0.10301329076961051,0.7586206896551724,0.4444444444444445,0.6206896551724138,0.6496644295302012
20,Pororo_ENGLISH1_1_ep9,16,1052.0,what do loopy's friends do when they're inside?,they share a snack at the table,"loopy's friends drink juice, dance together, and encourage her about body image while having a good time indoors","0.25,0.25,0.25",0.25,0.05555555555555554,0.018077538151554672,0.012687796283482497,0.010802314890908065,0.07692307692307693,0.0,0.07692307692307693,0.0617283950617284
