gif_num,video_name,qid,question,correct_answer,predicted_answer,accuracy
36,Pororo_ENGLISH1_1_ep12,1222,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"Poby asks Eddy, ""What is that box?"" when he sees him.",0.0
49,Pororo_ENGLISH1_1_ep12,1232,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"After Pororo realizes it was Eddy and not Crong who played the trick, he says to Crong, ""I know that you did it,"" indicating his initial belief that Crong was responsible. However, after Eddy admits to placing the box and apologizes, Pororo also apologizes to Crong, leading to them making up and becoming good friends again.",0.75
12,Pororo_ENGLISH1_1_ep13,1258,did eddy stay longer after agreeing to sing,"no, he left right away","No, Eddy did not stay longer after agreeing to sing. He mentioned he had to do something at home and left, saying goodbye to Pororo and Crong before the singing began.",1.0
41,Pororo_ENGLISH1_1_ep13,1283,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","Yes, Eddy's entrance did impress the audience. When he performed with a ""tada"" and was described as ""cool"" by his friends, it indicates that they were impressed by his presentation. The audience's reactions, including ""wow eddy cool"" and ""wow eddy really cool,"" further suggest that they found his entrance impressive.",0.75
16,Pororo_ENGLISH1_1_ep2,711,did crong score after he shot the ball at the hoop?,no he did not score,"The provided context does not mention Crong shooting the ball at the hoop or whether he scored afterward. Therefore, it is unclear if Crong scored after shooting the ball.",0.25
26,Pororo_ENGLISH1_1_ep2,730,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"After the camera is broken, Eddy tells Poby that they are going to leave.",0.5
30,Pororo_ENGLISH1_1_ep2,739,did pororo return the camera before he left?,yes he did return it,"The context does not provide any information about Pororo returning the camera before he left. It only mentions that Pororo and his friends spent a happy day together after fixing Poby's camera. Therefore, it is unclear whether Pororo returned the camera before leaving.",0.0
41,Pororo_ENGLISH1_1_ep5,912,how did pororo feel after seeing that the flower has wilted,he was very upset,"Pororo felt sad after seeing that the dandelion he received from Loopy had wilted. He expressed concern by saying, ""oh no, the dandelion is wilting"" and was surprised, asking, ""oh how did this happen?"" However, after learning from Crong that the flower doesn't actually die but instead produces seeds that can grow into new flowers, Pororo's mood improved. He became excited and wished for many dandelions to blossom again as he watched the seeds fly away.",0.75
23,Pororo_ENGLISH1_1_ep6,946,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him","Crong is scared of Pororo because, in the darkness of the night, he mistook Pororo for a ghost. The dark environment and the strange noises contributed to their fear, leading them to believe that Loopy was a ghost as well. This misunderstanding caused Crong to be frightened when he thought he saw a ghost approaching.",0.5
4,Pororo_ENGLISH1_1_ep6,928,what seasoning does loopy add to her mixing bowl,loopy adds some salt,"Loopy adds salt to her mixing bowl, but she realizes that the salt has run out.",0.25
43,Pororo_ENGLISH1_1_ep6,965,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","Eddy thinks that the ghost must have run away after it saw them. The misunderstanding occurred because Pororo and Crong mistook Loopy for a ghost in the dark, and Loopy thought they were ghosts as well. This confusion led to the conclusion that the ghost story ended with both parties mistaking each other for ghosts.",0.5
16,Pororo_ENGLISH1_1_ep9,1052,what do loopy's friends do when they're inside?,they share a snack at the table,"When Loopy and her friends are inside, they dance together and have a good time.",0.25
17,Pororo_ENGLISH1_2_ep2,1435,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"To say to Loopy ""I could not sleep,"" Poby simply states, ""I could not sleep"" when he meets her.",0.75
48,Pororo_ENGLISH1_2_ep8,1767,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","Poby, Eddy, and Loopy told Pororo and Crong that they are superheroes, specifically ""super Pororo,"" and that their first mission is to save Loopy from danger. However, they later realize that Loopy is not in danger, and Pororo ends up making a trap on the road, which complicates the situation.",0.25
15,Pororo_ENGLISH1_3_ep1,2080,what did pororo ask eddy?,pororo asked if eddy is hiding some kind of treasure.,"Pororo asked Eddy why he was hiding something as if it was a treasure, and Eddy explained that it was a treasure map.",0.5
1,Pororo_ENGLISH1_3_ep11,2513,what did pororo see moving?,pororo saw the magnet moving.,Pororo saw a wind-up toy moving on the floor.,0.25
49,Pororo_ENGLISH1_3_ep2,2173,what was crong playing with as pororo entered the house,crong was playing with a snowboard,"Crong was playing with something that made a lot of noise, as indicated by the repeated sounds of ""crong"" throughout the scene. However, the specific object he was playing with is not mentioned in the context provided.",0.25
1,Pororo_ENGLISH1_3_ep5,2296,what were the friends talking about?,the friends were talking about something secretly.,"The friends, Eddy, Loopy, and Poby, were secretly talking about something that they didn't want Pororo to know. They were discussing a surprise for Pororo's birthday, as indicated by their secretive behavior and the eventual birthday wishes they gave him.",1.0
25,Pororo_ENGLISH1_3_ep5,2334,what did pororo's friends said?,friends said : bye pororo.,"Pororo's friends, Eddy, Loopy, and Poby, were secretly talking about something and initially tried to hide it from him. When Pororo asked what they were doing, they denied it and said ""no nothing."" Later, they revealed that it was Pororo's birthday and sang ""happy birthday dear pororo happy birthday to you.""",0.25
25,Pororo_ENGLISH1_3_ep7,2425,"what does crong do when pororo says ""come here""",crong runs away from pororo,"When Pororo says ""come here,"" Crong initially responds by making a series of ""crong"" sounds and then disappears, leading to Loopy's picture being ruined.",0.25
Average,Total Videos: 13,,Total Questions: 20,,,0.45
