row_num,video_name,gif_num,qid,question,correct_answer,predicted_answer,accuracy
1,Pororo_ENGLISH1_1_ep1,14,383,whtat does eddy ask pororo,he asks pororo what are you doing,"eddy asks pororo about the reason for his urgent action while crong passes by in the snowy, icy environment",0.0
2,Pororo_ENGLISH1_1_ep10,12,1100,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","pororo and crong eagerly look at and approach the car, indicating their strong interest in eddy's new toy",0.0
3,Pororo_ENGLISH1_1_ep10,4,1090,what did eddy say after getting the book?,"eddy told, "" what should i make today""","the predicted answer is not supported by the scene description or dialogue transcript, and the image does not provide context for eddy's specific words; the actual dialogue shows eddy saying multiple phrases like ""where is it"" and ""i saw it somewhere around here"", but not specifically in the context of getting a book",0.0
4,Pororo_ENGLISH1_1_ep11,51,1181,why did pororo look to ground?,because he was sorry.,pororo looks down due to feeling guilty or contemplative after a potentially dangerous situation involving loopy crossing a challenging path,1.0
5,Pororo_ENGLISH1_1_ep12,29,1215,what exploded in pororo's face,a bomb box exploded pororo's face,"a bomb box hidden by eddy exploded in pororo's face, causing a comical and unexpected transformation",0.0
6,Pororo_ENGLISH1_1_ep12,36,1222,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"poby does not ask anything in this image, as he is simply sitting alone in a snowy landscape",0.0
7,Pororo_ENGLISH1_1_ep12,43,1226,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,eddy confesses to placing the trick box that exploded and made pororo dirty in loopy's house,0.0
8,Pororo_ENGLISH1_1_ep12,49,1232,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"pororo tells crong that he now knows eddy was responsible for the trick, not crong, and apologizes for initially blaming him",0.0
9,Pororo_ENGLISH1_1_ep13,12,1258,did eddy stay longer after agreeing to sing,"no, he left right away","eddy did not stay longer after agreeing to sing, quickly finding an excuse to leave and avoid performing",1.0
10,Pororo_ENGLISH1_1_ep13,41,1283,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","the audience appears impressed by eddy's entrance, as evidenced by the enthusiastic clapping and positive reactions from poby, loopy, and pororo",0.0
11,Pororo_ENGLISH1_1_ep2,16,711,did crong score after he shot the ball at the hoop?,no he did not score,"crong missed the basketball shot, as the ball is mid-trajectory towards the hoop without successfully scoring",1.0
12,Pororo_ENGLISH1_1_ep2,19,716,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"yes, pororo apologizes to poby for accidentally knocking down his things, expressing genuine remorse and seeking to make amends",0.0
13,Pororo_ENGLISH1_1_ep2,26,730,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"eddy is not present in this scene; instead, the characters are pororo (blue penguin) and poby (white bear), and the dialogue suggests pororo and his friends are leaving after accidentally breaking poby's camera",0.0
14,Pororo_ENGLISH1_1_ep2,30,738,what does pororo almost forget to leave with poby,the broken camera piece,"pororo almost forgets to leave the camera with poby, which is a significant item in their shared scene",0.5
15,Pororo_ENGLISH1_1_ep5,41,912,how did pororo feel after seeing that the flower has wilted,he was very upset,"pororo felt sad and disappointed upon discovering the wilted flower, realizing the delicate nature of life and the importance of nurturing living things",1.0
16,Pororo_ENGLISH1_1_ep6,2,925,when and who will go to picnic,loopy is going to picnic tomorrow for fun,loopy will go on a picnic tomorrow and is currently preparing food by cooking in the kitchen while wearing a chef's hat,0.0
17,Pororo_ENGLISH1_1_ep6,23,946,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him","crong is scared because he and pororo mistakenly believed each other to be a ghost in the dark, spooky nighttime environment",0.0
18,Pororo_ENGLISH1_1_ep6,4,928,what seasoning does loopy add to her mixing bowl,loopy adds some salt,loopy adds salt from a salt bottle to her mixing bowl while preparing food for a picnic,1.0
19,Pororo_ENGLISH1_1_ep6,43,965,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","eddy believes the ghost ran away after seeing him, poby, and loopy in the dark, windy nighttime scene",0.0
20,Pororo_ENGLISH1_1_ep9,16,1052,what do loopy's friends do when they're inside?,they share a snack at the table,"pororo, crong, poby, and eddy sit together inside a cozy wooden cabin, enjoying drinks and socializing while a snowy landscape is visible through the window",0.25
21,Pororo_ENGLISH1_2_ep10,14,1857,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""","pororo asked loopy about a secret she was hiding, specifically her knitting a muffler for him and their friends",0.0
22,Pororo_ENGLISH1_2_ep2,17,1435,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"to tell loopy ""i could not sleep,"" poby would simply say, ""loopy, i could not sleep",0.0
23,Pororo_ENGLISH1_2_ep2,23,1441,what did poby's friend decide,poby's friend decided to help poby to get some sleep,poby's friend pororo decided to help him sleep by playing games and keeping him company throughout the night,0.0
24,Pororo_ENGLISH1_2_ep5,19,1572,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,"pororo interrupts eddy as he was saying hello to loopy, standing up and raising his left arm while crong slides down behind him",0.0
25,Pororo_ENGLISH1_2_ep5,26,1579,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,loopy proposed using a magic flower to predict whether poby would catch a big fish during their fishing trip,0.0
26,Pororo_ENGLISH1_2_ep8,43,1762,what did pororo think next?,pororo thought next: wjat should i do?,pororo contemplated his failed superhero mission and wondered how he could rescue loopy without creating another problematic trap,0.0
27,Pororo_ENGLISH1_2_ep8,48,1767,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","poby, eddy, and loopy looked down from a hole, observing pororo and crong's superhero misadventures and potential rescue scenario",0.0
28,Pororo_ENGLISH1_2_ep8,49,1768,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,"based on the detailed dialogue transcript, loopy did not tell pororo and crong anything specific; instead, the scene involves pororo and crong attempting to be ""super heroes"" and save loopy, but ultimately creating a trap that backfires on themselves",0.0
29,Pororo_ENGLISH1_3_ep1,15,2079,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,"pororo suspects eddy is hiding a treasure map, believing the mysterious symbol indicates a hidden treasure location",0.0
30,Pororo_ENGLISH1_3_ep11,1,2513,what did pororo see moving?,pororo saw the magnet moving.,pororo saw a wind-up toy moving on the floor while sitting on the green sofa with a book,0.0
31,Pororo_ENGLISH1_3_ep12,16,2575,who does loopy give a sandwich to?,loopy gives a sandwich to eddy,"loopy gives a sandwich to eddy, who receives it with his robot arm in a cheerful animated scene",1.0
32,Pororo_ENGLISH1_3_ep12,24,2582,what does loopy ask eddy?,"loopy asks eddy ""what happened?""","the image does not show eddy or a robot, so the predicted answer cannot be verified from this scene, which appears to be a standard group shot of pororo and friends in a snowy landscape",0.0
33,Pororo_ENGLISH1_3_ep13,18,2623,how did everybody feel when seeing crong clean out the house,everybody felt surprised to see crong cleaning the house,crong felt motivated to clean the house in hopes of receiving a christmas present from santa claus by being a good boy,0.0
34,Pororo_ENGLISH1_3_ep2,49,2173,what was crong playing with as pororo entered the house,crong was playing with a snowboard,crong's specific activity before pororo's entrance is unclear from the provided subtitles and winter landscape image,0.0
35,Pororo_ENGLISH1_3_ep3,31,2206,what did pororo answer to loopy and crong,"pororo said ""uh well""","pororo likely expressed curiosity about a strange object on the beach, which turned out to be a gorilla toy that loopy found interesting",0.0
36,Pororo_ENGLISH1_3_ep4,45,2291,whom did eddy say sorry to,eddy said sorry to pororo,eddy apologized to pororo for doubting him after a misunderstanding about their snowmen,0.0
37,Pororo_ENGLISH1_3_ep5,1,2298,what was the friends are doing when pororo came with crong?,the friends were talking about something secretly.,"pororo and crong are near an ice structure in a snowy landscape, and the image does not show eddy, loopy, and poby secretly discussing anything",0.0
38,Pororo_ENGLISH1_3_ep5,25,2333,does the friends find pororo behind the snow man?,the friends find pororo behind the snow man.,"no, the friends do not find pororo behind a snowman, as there is no snowman present in this winter scene with cartoon animal characters",0.0
39,Pororo_ENGLISH1_3_ep7,25,2425,"what does crong do when pororo says ""come here""",crong runs away from pororo,"crong playfully tries to escape and avoid coming to pororo when called, demonstrating his mischievous and rebellious character typical of their cartoon interactions",0.0
40,Pororo_ENGLISH1_3_ep7,47,2446,what does poby say when invited to play,"he says ""of course""","when invited to play, poby enthusiastically responds with ""of course",1.0
41,Total Videos: 22,Average,,Total Questions: 40,,,0.19375
