row_num,question_id,question,answer_type,correct_answer,visual_desc,initial_predicted_answer,predicted_answer,evaluator_scores,accuracy,similarity,hallucination
1,77311,what is on the shelf?,other,book,"The image shows two characters in an indoor setting. On the left, a man in a suit stands with his back to the viewer, while on the right, a boy with spiky yellow hair is looking at him with a concerned expression. In the background, there is a shelf containing books and a small decorative object, along with a plaque that reads ""INTERIM PRINCIPAL OF THE YEAR SEYMOUR SKINNER."" A coat is hanging on the wall beside the man.",books,books,"0.75, 0.75, 0.75",0.75,1.0,False
2,12809,how many people are in the picture?,number,1,"The image features one character, a cartoon figure with yellow skin and large eyes. They are wearing a black hat and a formal outfit, which includes a white shirt and a black vest. The character appears to be standing in a neutral indoor setting with a plain brown background. Their body posture suggests a sense of concern or anxiety.",1,1,"1.0, 1.0, 1.0",1.0,1.0,False
3,1214,are the people sitting or standing?,other,standing,"The scene is set indoors, likely at a gathering or event, with colorful balloons in the background. Four characters are visible: a woman in a purple sweater holding a drink, a man with a cake on a tray, a man in a suit with a mustache, and a man in a white shirt with a pink tie. All characters are standing, engaged in conversation, with varying postures and expressions.",standing,standing,"1.0, 1.0, 1.0",1.0,1.0,False
4,88112,what is the group of people doing?,other,standing,"The scene depicts a group of cartoon characters in an airport terminal. Homer, Marge, Bart, and Lisa are standing together, with Marge wearing a tall blue hairstyle and a green dress. Bart is holding a backpack and looking up, while Lisa stands beside him. In the background, other passengers are seated and waiting, with signs indicating gate numbers E32 and E33 visible.",waiting,waiting,"0.75, 0.75, 0.75",0.75,1.0,False
5,36705,what are the buildings made of?,other,brick,"The scene is set in an outdoor alleyway with a brick wall in the background. Two characters are present: one is bending over a blue bucket labeled ""OFFICIAL THROW-UP BUCKET,"" while the other stands nearby with a concerned expression. The ground is littered with trash, and there are various items, including bottles and a box, positioned around the characters. The buildings appear to be made of red brick, with visible pipes and a door in the background.",brick,brick,"1.0, 1.0, 1.0",1.0,1.0,False
6,33098,is there a toy in the picture?,yes/no,yes,"The image features a large, cartoonish character with a yellow head and spiky hair, wearing a red shirt. The character is positioned in the foreground, looking at a pile of colorful building blocks scattered around. In the background, there is a school building labeled ""Springfield Elementary School."" The scene appears to be outdoors on a green surface made of interlocking pieces, resembling a play area.",yes,yes,"1.0, 1.0, 1.0",1.0,1.0,False
7,30161,is there a man on a chair?,yes/no,yes,"The image shows a scene indoors, likely in a restaurant or lounge. A man with yellow skin and gray hair is leaning forward with one leg raised, appearing to engage with a woman in a purple dress. The woman has blue hair and is standing with her arms crossed, facing the man. In the background, a musician is playing a double bass, and another man is seated at a piano. There is no man sitting on a chair in the image.",no,yes,"1.0, 1.0, 1.0",1.0,0.0,True
8,15712,how many people are there?,number,2,"The image features two cartoon characters: Homer Simpson and Bart Simpson. Homer, wearing a white shirt, is standing with an angry expression and gesturing with both hands. Bart, in a red shirt and blue shorts, is positioned slightly to the right, appearing to jump or lean forward with a playful demeanor. The scene is set indoors, likely in a living room, with a lamp and a framed picture on the wall in the background. There are two visible characters in the image.",2,2,"1.0, 1.0, 1.0",1.0,1.0,False
9,87724,what is the girl doing?,other,standing,"The image features three characters from a cartoon: a woman with blue hair and a green dress, a girl with spiky hair and a yellow dress, and a boy with spiky hair wearing a red shirt. They are all standing close together, facing forward with wide eyes and open mouths, suggesting they are observing something intently. The setting appears to be indoors, with a simple background that includes a wall and a door. The characters are positioned in a way that emphasizes their expressions of surprise or curiosity.",observing,observing,"0.5, 0.5, 0.5",0.5,1.0,False
10,12264,how many people are in the image?,number,1,"The image features one character, a woman with blue hair styled in a large, curly shape, sitting in the driver's seat of a car. She is gripping the steering wheel with a serious expression, and her body is slightly turned towards the front of the vehicle. The interior of the car is visible, showcasing a purple dashboard and red upholstery. The scene appears to be set indoors, likely in a parking area.",1,1,"1.0, 1.0, 1.0",1.0,1.0,False
11,81928,what is the character doing?,other,standing,"The character Bart Simpson is peeking around the corner of a building. He is positioned on the left side of the image, with his body partially hidden behind a wall. The scene is set outdoors on a city street, featuring buildings and windows in the background. Bart is wearing a red shirt and blue shorts, and his expression suggests curiosity.",peeking,peeking,"0.25, 0.25, 0.25",0.25,1.0,False
12,88069,what is the group of people doing?,other,sitting,"The image shows a group of cartoon characters seated in a theater. The characters include a man with dark hair and a green shirt, a man with a pink sweater and a gray jacket, and another with a blue shirt. They appear to be watching something on stage, with their bodies leaning slightly forward and hands resting on their knees, indicating engagement with the performance. The background features other audience members, suggesting an indoor setting.",watching,watching,"0.5, 0.5, 0.5",0.5,1.0,False
13,66444,what color suit is the man on the left wearing?,other,blue,"The man on the left is wearing a dark blue suit with a light blue shirt and a red tie. He has a yellow complexion and is standing upright, facing slightly towards the right. The background features a classroom setting with a bulletin board and some chairs visible. The other man, on the right, is wearing a dark sweater over a collared shirt and is gesturing with his hand.",blue,blue,"1.0, 1.0, 1.0",1.0,1.0,False
14,11251,how many people are at the table?,number,2,"The image shows two characters seated at a table in a brightly colored indoor setting. Homer Simpson, wearing a white shirt, is laughing with his hands clasped in front of him, while Bart Simpson, in a red shirt, is smiling and leaning forward with his hands raised. There are plates of food and glasses of water on the table. In total, there are two people at the table.",2,2,"1.0, 1.0, 1.0",1.0,1.0,False
