gif_num,video_name,qid,question,correct_answer,predicted_answer,accuracy
36,Pororo_ENGLISH1_1_ep12,1222,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"Based on the scene description, there is no specific mention of Poby asking anything when he sees Eddy. The dialogue suggests Eddy admits to placing a box that caused an explosion, and Pororo and Crong are arguing about it, but Poby does not appear to ask a specific question in this scene.",0.25
49,Pororo_ENGLISH1_1_ep12,1232,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"Based on the provided subtitles and scene description, Pororo initially blames Crong for playing a trick on him, saying things like ""you are such a troublemaker"" and ""it will not be funny the next time."" However, it is later revealed that Eddy was actually responsible for placing the box that caused the incident. When Eddy admits to his prank, Pororo learns that Crong was not at fault this time. The subtit",0.25
12,Pororo_ENGLISH1_1_ep13,1258,did eddy stay longer after agreeing to sing,"no, he left right away","Based on the dialogue and scene description, Eddy did not stay longer after agreeing to sing. In fact, he quickly tried to avoid singing by saying he had to do something at home and then later claiming he forgot he had something to do, effectively leaving without singing.",1.0
41,Pororo_ENGLISH1_1_ep13,1283,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","Based on the scene description and dialogue, Eddy did not impress the audience when he tried to sing. In fact, he was so embarrassed by his poor singing that he tried to avoid performing and quickly changed the subject. When encouraged to sing ""Twinkle Twinkle Little Star"", he was unable to do so and admitted he cannot sing well. The audience (Pororo and Crong) seemed disappointed by his performance.",0.0
16,Pororo_ENGLISH1_1_ep2,711,did crong score after he shot the ball at the hoop?,no he did not score,"Based on the provided information, there is no clear indication whether Crong successfully scored after shooting the ball at the hoop. The text and scene description do not specifically mention Crong scoring a basketball shot. The subtitles describe interactions between Poby, Pororo, and Crong, but do not provide details about a basketball shot or its outcome.",0.75
26,Pororo_ENGLISH1_1_ep2,730,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"Based on the provided scene description and subtitles, there is no specific mention of Eddy telling Poby what they are going to do after the camera is broken. The text describes Pororo accidentally breaking Poby's camera and his friends trying to cheer him up by fixing it, but does not reference an Eddy character or his plans.",0.0
30,Pororo_ENGLISH1_1_ep2,739,did pororo return the camera before he left?,yes he did return it,"Based on the provided scene description, subtitles, and dialogue, there is no explicit mention of Pororo returning a camera before leaving. The scene shows Pororo accidentally touching Poby's camera, apologizing, and then his friends helping to fix it, but the specific detail about returning the camera is not addressed in the given information.",0.25
41,Pororo_ENGLISH1_1_ep5,912,how did pororo feel after seeing that the flower has wilted,he was very upset,"Based on the dialogue and scene description, Pororo felt sad and disappointed when he saw that the dandelion Loopy gave him had wilted. He was initially very excited about the flower, but became upset when it started to die. However, Crong explained to him that the flower's lifecycle is natural - its seeds will fall to the earth and new dandelions will blossom again. This explanation helped Pororo understand and feel better, and he even wished for",0.75
23,Pororo_ENGLISH1_1_ep6,946,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him","Based on the scene description, Crong was scared of Pororo because it was very dark at night, and both Crong and Pororo mistook each other for a ghost due to the darkness, strange noises, and windy conditions. Their mutual misunderstanding and the spooky atmosphere led to Crong being frightened, thinking Pororo was a ghost.",0.25
4,Pororo_ENGLISH1_1_ep6,928,what seasoning does loopy add to her mixing bowl,loopy adds some salt,"Based on the subtitles, Loopy was adding salt to her mixing bowl while preparing food for a picnic the next day. When she ran out of salt, she went to Poby's place to get some more.",0.75
43,Pororo_ENGLISH1_1_ep6,965,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","Based on the scene description, Eddy is not mentioned in this narrative. The story involves Pororo, Crong, and Loopy, who mistakenly thought each other were ghosts due to the dark night and strange noises. There is no information about what Eddy thinks happened to the ghost.",0.0
16,Pororo_ENGLISH1_1_ep9,1052,what do loopy's friends do when they're inside?,they share a snack at the table,"Based on the subtitles, Loopy and her friends are dancing together inside the house as a form of exercise and to have fun. They discuss body image, with her friend encouraging her to exercise, and they end up dancing together to get skinnier and enjoy themselves.",0.0
17,Pororo_ENGLISH1_2_ep2,1435,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"Based on the subtitles, to say ""I could not sleep"" to Loopy, you would say:

""I could not sleep""

This is directly quoted from the dialogue where Poby says this exact phrase to Loopy, who then responds ""okay come on in"".",0.75
48,Pororo_ENGLISH1_2_ep8,1767,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","I apologize, but based on the provided text and image, there is no clear information about what Poby, Eddy, and Loopy told Pororo and Crong. The text appears to be a narrative about Pororo and Crong's superhero adventures, but it does not mention a specific conversation between those characters as described in the question.",0.0
15,Pororo_ENGLISH1_3_ep1,2080,what did pororo ask eddy?,pororo asked if eddy is hiding some kind of treasure.,"Based on the scene description and subtitles, Pororo asked Eddy, ""What is this?"" when Eddy was hiding something that appeared to be a treasure map. Pororo was curious about what Eddy was concealing and wanted to know the details of the object.",0.5
1,Pororo_ENGLISH1_3_ep11,2513,what did pororo see moving?,pororo saw the magnet moving.,"Based on the scene description and subtitles, Pororo saw a wind-up toy moving on the floor.",0.25
49,Pororo_ENGLISH1_3_ep2,2173,what was crong playing with as pororo entered the house,crong was playing with a snowboard,"Based on the provided scene description, subtitles, and visual description, there is no clear indication of what Crong was playing with when Pororo entered the house. The subtitles show Crong making various ""crong"" sounds and some interaction with Pororo while he's reading a book about snowboarding, but they do not specify any specific object Crong was playing with.",0.25
1,Pororo_ENGLISH1_3_ep5,2296,what were the friends talking about?,the friends were talking about something secretly.,"Based on the scene description and subtitles, the friends appear to be talking about a secret plan, possibly related to Pororo's birthday surprise. The subtitles suggest they are discussing something they don't want Pororo to know about, with lines like ""it is a secret"" and ""what could the friend be hiding from pororo"". Eddy seems to be explaining something to Loopy and Poby, which Loopy finds exciting (clapping), an",1.0
25,Pororo_ENGLISH1_3_ep5,2334,what did pororo's friends said?,friends said : bye pororo.,"Based on the available information, the exact words of Pororo's friends are not clearly specified. The scene description and subtitles suggest they were having a secret conversation and were planning something, which turned out to be a surprise birthday celebration for Pororo. They ultimately revealed their secret by singing ""Happy Birthday"" to Pororo and giving him a gift.",0.25
25,Pororo_ENGLISH1_3_ep7,2425,"what does crong do when pororo says ""come here""",crong runs away from pororo,"Based on the subtitles, when Pororo says ""come here"" to Crong, Crong does not comply and instead seems to playfully resist, eventually disappearing. The text suggests Crong is being mischievous and does not immediately follow Pororo's instruction.",0.75
Average,Total Videos: 13,,Total Questions: 20,,,0.4
