row_num,video_name,gif_num,qid,question,correct_answer,predicted_answer,evaluator_scores,accuracy,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE1,ROUGE2,ROUGEL,METEOR,BERTScore_Precision,BERTScore_Recall,BERTScore_F1,BLEURT
1,Pororo_ENGLISH1_1_ep1,14,383,whtat does eddy ask pororo,he asks pororo what are you doing,eddy asks pororo about the reason for his urgent action,"0.25,0.25,0.25",0.25,0.2,0.14907119849998599,0.06524779401948107,0.0446323613785333,0.23529411764705882,0.13333333333333333,0.23529411764705882,0.2568493150684931,0.5601104497909546,0.5957773923873901,0.577393651008606,0.5001874566078186
2,Pororo_ENGLISH1_1_ep10,12,1100,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","yes, eddy's friends are interested in seeing his new toy, as indicated by their engagement and curiosity","1.0,1.0,1.0",1.0,0.11764705882352941,0.027116307227332027,0.01698725779218655,0.013679192123121896,0.23076923076923078,0.08333333333333333,0.23076923076923078,0.11235955056179776,0.5155426859855652,0.6467427015304565,0.5737377405166626,0.5172214508056641
3,Pororo_ENGLISH1_1_ep10,4,1090,what did eddy say after getting the book?,"eddy told, "" what should i make today""","eddy joyfully exclaimed, ""ah, i found it","0.25,0.0,0.25",0.25,0.24767939992862334,0.05982025827726344,0.03958781190632599,0.034052233956373766,0.2857142857142857,0.0,0.2857142857142857,0.12658227848101264,0.5393524169921875,0.5346601605415344,0.536996066570282,0.2679826617240906
4,Pororo_ENGLISH1_1_ep11,51,1181,why did pororo look to ground?,because he was sorry.,"pororo looks to the ground, possibly reflecting on loopy's words or contemplating the situation they are in","0.75,0.75,0.75",0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2644352912902832,0.3307342827320099,0.2938920855522156,0.15757738053798676
5,Pororo_ENGLISH1_1_ep12,29,1215,what exploded in pororo's face,a bomb box exploded pororo's face,"a bomb box that crong hid exploded in pororo's face, causing his surprised expression","1.0,1.0,1.0",1.0,0.3571428571428572,0.23440361546924776,0.16605391603694544,0.08032276872815308,0.6363636363636364,0.4,0.6363636363636364,0.6558823529411765,0.640592098236084,0.8415130376815796,0.7274336814880371,0.5629063248634338
6,Pororo_ENGLISH1_1_ep12,36,1222,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"poby likely asks eddy about their surroundings or an adventure, reflecting curiosity or anticipation","0.25,0.25,0.25",0.25,0.21428571428571425,0.12838814775327384,0.05159681256509298,0.03342866121562732,0.2727272727272727,0.1,0.2727272727272727,0.2971576227390181,0.48386478424072266,0.5671365261077881,0.5222018361091614,0.39439040422439575
7,Pororo_ENGLISH1_1_ep12,43,1226,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,"in loopy's house, eddy confesses to placing the box that caused the explosion, apologizing for the unintended consequences of his actions","1.0,1.0,1.0",1.0,0.23809523809523808,0.15430334996209194,0.050041736246423905,0.028885583899290166,0.5000000000000001,0.26666666666666666,0.3125,0.41802832244008714,0.5191900730133057,0.7323868274688721,0.6076302528381348,0.46985286474227905
8,Pororo_ENGLISH1_1_ep12,49,1232,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"pororo expresses his realization to crong by saying, ""i know that you did it,"" indicating his belief that crong played a trick on him again","0.25,0.25,0.25",0.25,0.15999999999999998,0.08164965809277261,0.030718049434994853,0.019051955393615476,0.28571428571428575,0.06060606060606061,0.28571428571428575,0.17391304347826086,0.5341926217079163,0.6883075833320618,0.6015357971191406,0.4721840023994446
9,Pororo_ENGLISH1_1_ep13,12,1258,did eddy stay longer after agreeing to sing,"no, he left right away","eddy did not stay longer after agreeing to sing, as he mentioned needing to do something at home","1.0,1.0,1.0",1.0,0.05555555555555554,0.018077538151554672,0.012687796283482497,0.010802314890908065,0.08695652173913045,0.0,0.08695652173913045,0.07936507936507937,0.3464958667755127,0.4019662141799927,0.37217551469802856,0.29913514852523804
10,Pororo_ENGLISH1_1_ep13,41,1283,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","eddy's entrance likely impressed the audience, as indicated by the enthusiastic reactions and clapping from poby and loopy","1.0,1.0,1.0",1.0,0.05555555555555554,0.018077538151554672,0.012687796283482497,0.010802314890908065,0.15384615384615385,0.08333333333333333,0.15384615384615385,0.1234567901234568,0.3683680295944214,0.44810909032821655,0.4043445885181427,0.38217630982398987
11,Pororo_ENGLISH1_1_ep2,16,711,did crong score after he shot the ball at the hoop?,no he did not score,"crong did not score after shooting the ball at the hoop, as he missed his shot and felt disappointed","1.0,1.0,1.0",1.0,0.21052631578947367,0.15294382258037448,0.11122565872945905,0.05415315253510895,0.3333333333333333,0.1818181818181818,0.25,0.5859375,0.4076412618160248,0.5723282694816589,0.4761466979980469,0.36679959297180176
12,Pororo_ENGLISH1_1_ep2,19,716,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"yes, pororo apologizes to poby for knocking his things down","1.0,1.0,1.0",1.0,0.08187307530779821,0.027291025102599408,0.019680234613736344,0.01727959142950042,0.1818181818181818,0.0,0.1818181818181818,0.0423728813559322,0.477988064289093,0.5240521430969238,0.49996134638786316,0.40962451696395874
13,Pororo_ENGLISH1_1_ep2,26,730,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,eddy tells poby that they are going to leave now after the camera incident,"1.0,1.0,1.0",1.0,0.42857142857142855,0.36313651960128146,0.32064658641173077,0.27824623288353134,0.5454545454545454,0.4,0.5454545454545454,0.8044613194114856,0.6516560912132263,0.827705979347229,0.7292057871818542,0.5387516617774963
14,Pororo_ENGLISH1_1_ep2,30,738,what does pororo almost forget to leave with poby,the broken camera piece,pororo almost forgets to take poby's precious camera with him before leaving,"0.5,0.5,0.5",0.5,0.08333333333333333,0.027524094128159027,0.019640024396816252,0.017033186037639283,0.11764705882352941,0.0,0.11764705882352941,0.10416666666666667,0.34104523062705994,0.5146435499191284,0.4102349281311035,0.1668703407049179
15,Pororo_ENGLISH1_1_ep5,41,912,how did pororo feel after seeing that the flower has wilted,he was very upset,pororo felt upset and concerned after seeing that the flower had wilted,"1.0,1.0,1.0",1.0,0.08333333333333333,0.027524094128159027,0.019640024396816252,0.017033186037639283,0.125,0.0,0.125,0.10416666666666667,0.4426855742931366,0.5744263529777527,0.500024139881134,0.3917596936225891
16,Pororo_ENGLISH1_1_ep6,2,925,when and who will go to picnic,loopy is going to picnic tomorrow for fun,"loopy is preparing for a picnic tomorrow by cooking, while pobey and crong are involved in a ghost story adventure","0.75,0.75,0.75",0.75,0.25,0.16222142113076254,0.05268026683724813,0.030452555559828284,0.35714285714285715,0.15384615384615385,0.28571428571428575,0.48478260869565226,0.5286338925361633,0.6990777850151062,0.6020244359970093,0.38799041509628296
17,Pororo_ENGLISH1_1_ep6,23,946,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him","crong is scared of pororo because he mistakenly thinks pororo is a ghost in the dark, windy night","0.75,0.75,0.75",0.75,0.39770636302860873,0.20461823568473816,0.1327917972209697,0.06113527726391472,0.41025641025641024,0.1081081081081081,0.30769230769230765,0.20202020202020204,0.6183035373687744,0.5923264026641846,0.6050362586975098,0.4897715449333191
18,Pororo_ENGLISH1_1_ep6,4,928,what seasoning does loopy add to her mixing bowl,loopy adds some salt,loopy adds a little salt to her mixing bowl while cooking,"1.0,1.0,1.0",1.0,0.2727272727272727,0.1651445647689541,0.06716793862139857,0.04411629359322707,0.39999999999999997,0.15384615384615383,0.39999999999999997,0.5437352245862884,0.5676447153091431,0.75275057554245,0.6472226977348328,0.5515373945236206
19,Pororo_ENGLISH1_1_ep6,43,965,what does eddy think happened to the ghost,"eddy thinks the ghosts must have ran away after they saw eddy, loopy and poby","eddy thinks the ghost must have run away after seeing him, poby, and loopy in the windy night","1.0,1.0,1.0",1.0,0.5,0.3429971702850177,0.19445555936641015,0.08367437134595068,0.6666666666666666,0.3870967741935484,0.5454545454545454,0.5830065359477125,0.7695978879928589,0.85924232006073,0.8119533061981201,0.6507081389427185
20,Pororo_ENGLISH1_1_ep9,16,1052,what do loopy's friends do when they're inside?,they share a snack at the table,loopy's friends enjoy drinks and engage in conversation while discussing exercise and dancing to feel better about themselves,"0.25,0.25,0.25",0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3997514545917511,0.4773089587688446,0.4351010322570801,0.3058701753616333
21,Pororo_ENGLISH1_2_ep10,14,1857,what did pororo ask to loopy,"pororo asked ""what was it that you did a minute ago""","pororo asked loopy what she did a minute ago, prompting her to mention it was a secret until tomorrow","1.0,1.0,1.0",1.0,0.3684210526315789,0.24779731389167603,0.1534315794513102,0.06892964965915206,0.6,0.2857142857142857,0.4666666666666667,0.4064337599446558,0.5239566564559937,0.6448861360549927,0.5781656503677368,0.4897465705871582
22,Pororo_ENGLISH1_2_ep2,17,1435,"how say to loopy ""i could not sleep""",poby said to loopy that he could not sleep,"to convey ""i could not sleep"" to loopy, the pink creature can simply state, ""i could not sleep,"" while showing signs of tiredness","1.0,1.0,1.0",1.0,0.13043478260869565,0.07699905035090181,0.030449755823868992,0.019383418023456653,0.3125,0.19999999999999998,0.3125,0.24572649572649574,0.4891968071460724,0.6374884247779846,0.5535837411880493,0.47353595495224
23,Pororo_ENGLISH1_2_ep2,23,1441,what did poby's friend decide,poby's friend decided to help poby to get some sleep,poby's friend decided to help him get some sleep after staying up all night together,"1.0,1.0,1.0",1.0,0.5333333333333333,0.47809144373375745,0.4127745005207437,0.3290385879986622,0.6666666666666666,0.56,0.6666666666666666,0.7142857142857144,0.723556399345398,0.895049512386322,0.8002181053161621,0.7150208353996277
24,Pororo_ENGLISH1_2_ep5,19,1572,who interrupts eddy as he was saying hello to loopy,pororo interrupts eddy as he was saying hello to loopy,eddy is interrupted by loopy while he was saying hello,"0.25,0.25,0.25",0.25,0.6,0.4472135954999579,0.36840314986403866,0.2907153684841096,0.7,0.3333333333333333,0.5,0.6346938775510204,0.7877672910690308,0.74666428565979,0.7666652798652649,0.609686017036438
25,Pororo_ENGLISH1_2_ep5,26,1579,what did loopy propose to the group after telling them about the flower,loopy proposed that they should ask her anything,"loopy proposed that the group ask questions to the magic flower, claiming it would provide answers","0.75,0.75,0.75",0.75,0.25,0.1825741858350554,0.13353145150486628,0.06541868941754436,0.3333333333333333,0.18181818181818182,0.3333333333333333,0.42613636363636365,0.541831374168396,0.6621936559677124,0.5959964394569397,0.5103222727775574
26,Pororo_ENGLISH1_2_ep8,43,1762,what did pororo think next?,pororo thought next: wjat should i do?,"pororo is likely contemplating how to rescue loopy after realizing she is not in danger, reflecting on the challenges of being a superhero","0.25,0.25,0.25",0.25,0.043478260869565216,0.014058038927888336,0.00979963867059299,0.008282282660969604,0.06666666666666667,0.0,0.06666666666666667,0.05813953488372092,0.3578649163246155,0.39991745352745056,0.37772437930107117,0.3968348503112793
27,Pororo_ENGLISH1_2_ep8,48,1767,"what did poby, eddy and loopy tell pororo and crong?","poby, eddy and loopy told pororo and crong that they were there to save them.","poby, eddy, and loopy expressed curiosity about what was happening below them while peering into the hole","0.0,0.0,0.0",0.0,0.17647058823529413,0.10502100630210073,0.041894180276854855,0.026920508809559315,0.3125,0.19999999999999998,0.3125,0.0986842105263158,0.6005067229270935,0.6492219567298889,0.6239148378372192,0.4530210494995117
28,Pororo_ENGLISH1_2_ep8,49,1768,what did loopy tell pororo and crong?,loopy told pororo and crong that they couldn't play a trick on her.,loopy told pororo and crong that she is not in danger and expressed excitement about crossing the icy ground safely,"0.0,0.0,0.0",0.0,0.3,0.2809757434745081,0.25984142030594465,0.23588448106534202,0.3529411764705882,0.3125,0.3529411764705882,0.41058394160583944,0.6351162195205688,0.6895128488540649,0.6611976027488708,0.5391635894775391
29,Pororo_ENGLISH1_3_ep1,15,2079,what does pororo think eddy is hiding?,pororo thinks eddy is hiding some kind of treasure.,"pororo thinks eddy is hiding the map as if it is some kind of treasure, indicating his curiosity and suspicion","0.75,0.75,0.75",0.75,0.4,0.35540932665545544,0.30391236883880285,0.2397212592215149,0.6206896551724138,0.5185185185185185,0.6206896551724138,0.7425742574257426,0.6664901971817017,0.857304036617279,0.7499499917030334,0.5859971046447754
