row_num,qid,video_name,gif_num,question,correct_answer,initial_answer,predicted_answer,evaluator_scores,accuracy
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,eddy asks crong why pororo is acting urgently.,eddy asks crong why pororo is acting urgently.,"0.25,0.25,0.25",0.25
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","yes, eddy's friends were interested in seeing his new toy, as they expressed excitement and planned to ride it together.","yes, eddy's friends were interested in seeing his new toy, as they expressed excitement and planned to ride it together.","1.0,1.0,1.0",1.0
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","eddy excitedly exclaimed, ""what should i make today?"" after finding the book.","eddy excitedly exclaimed, ""what should i make today?"" after finding the book.","1.0,1.0,1.0",1.0
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,"pororo looked to the ground as he was focused on his thoughts and the situation around him, particularly regarding loopy's fear and the snowman.","pororo looked to the ground as he was focused on his thoughts and the situation around him, particularly regarding loopy's fear and the snowman.","0.5,0.5,0.5",0.5
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,"a bomb box that crong hid exploded in pororo's face, causing his unusual appearance.","a bomb box that crong hid exploded in pororo's face, causing his unusual appearance.","1.0,1.0,1.0",1.0
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"poby asks eddy, ""what are you arguing about?"" when he sees him.","poby asks eddy, ""what are you arguing about?"" when he sees him.","0.0,0.0,0.25",0.0
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,"eddy confesses to placing the box that caused the explosion, apologizing for the trouble it caused.","eddy confesses to placing the box that caused the explosion, apologizing for the trouble it caused.","0.75,0.75,0.75",0.75
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"pororo says to crong, ""i thought you played a trick on me again, but it was eddy who caused the trouble!""","pororo says to crong, ""i thought you played a trick on me again, but it was eddy who caused the trouble!""","0.75,0.75,0.75",0.75
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away","eddy did not stay longer after agreeing to sing, as he left to do something at home.","eddy did not stay longer after agreeing to sing, as he left to do something at home.","1.0,1.0,1.0",1.0
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","eddy's entrance impressed the audience, as they expressed excitement and admiration for his performance, despite his initial hesitation about singing.","eddy's entrance impressed the audience, as they expressed excitement and admiration for his performance, despite his initial hesitation about singing.","1.0,1.0,1.0",1.0
11,711,Pororo_ENGLISH1_1_ep2,16,did crong score after he shot the ball at the hoop?,no he did not score,"crong did not score after he shot the ball at the hoop, as he missed his shot.","crong did not score after he shot the ball at the hoop, as he missed his shot.","1.0,1.0,1.0",1.0
12,716,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"yes, pororo apologizes to poby for knocking his things down.","yes, pororo apologizes to poby for knocking his things down.","1.0,1.0,1.0",1.0
13,730,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,eddy tells poby that they are going to leave now.,eddy tells poby that they are going to leave now.,"1.0,1.0,1.0",1.0
14,738,Pororo_ENGLISH1_1_ep2,30,what does pororo almost forget to leave with poby,the broken camera piece,pororo almost forgets to leave with poby's precious camera.,pororo almost forgets to leave with poby's precious camera.,"0.5,0.5,0.5",0.5
15,912,Pororo_ENGLISH1_1_ep5,41,how did pororo feel after seeing that the flower has wilted,he was very upset,pororo felt sad and surprised after seeing that the flower had wilted.,pororo felt sad and surprised after seeing that the flower had wilted.,"1.0,1.0,1.0",1.0
16,925,Pororo_ENGLISH1_1_ep6,2,when and who will go to picnic,loopy is going to picnic tomorrow for fun,loopy will go on a picnic tomorrow after finishing cooking tonight.,loopy will go on a picnic tomorrow after finishing cooking tonight.,"1.0,1.0,1.0",1.0
17,946,Pororo_ENGLISH1_1_ep6,23,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him",crong is scared of pororo because he mistakenly thought pororo was a ghost in the dark.,crong is scared of pororo because he mistakenly thought pororo was a ghost in the dark.,"0.75,0.75,0.75",0.75
