gif_num,video_name,qid,question,correct_answer,predicted_answer,accuracy
36,Pororo_ENGLISH1_1_ep12,1222,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"Based on the context provided, when Poby sees Eddy, he asks: ""What happened to your face?""

This question is directly quoted in the scene description, where Poby asks Pororo about the state of his face after the bomb box incident.",0.25
49,Pororo_ENGLISH1_1_ep12,1232,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"Based on the context provided, Pororo initially thought Crong was responsible for the trick with the bomb box. However, it was actually Eddy who placed the box, which unexpectedly exploded and affected Pororo's face. When Eddy confessed to placing the box and apologized, Pororo did not say anything specific to Crong about realizing it was Eddy and not Crong. Instead, Crong and Pororo made up and became friends again after Eddy's apology.",0.25
12,Pororo_ENGLISH1_1_ep13,1258,did eddy stay longer after agreeing to sing,"no, he left right away","Based on the context provided, Eddy did not stay longer after agreeing to sing. In fact, he quickly tried to avoid singing by making excuses like having to do something at home and then later saying he forgot he had something to do. He did not actually sing a full song and left shortly after being asked to sing.",1.0
41,Pororo_ENGLISH1_1_ep13,1283,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","Based on the context provided, Eddy did not impress the audience. In fact, when asked to sing, Eddy struggled and admitted that he cannot sing well. He tried to sing ""Twinkle Twinkle Little Star"" but was stopped, and when encouraged to try again, he made excuses and tried to avoid singing. Later, when asked to play an instrument, he also found a way to avoid performing. The scene suggests that Eddy was not able to showcase any impressive musical talent during this interaction.",0.0
16,Pororo_ENGLISH1_1_ep2,711,did crong score after he shot the ball at the hoop?,no he did not score,"Based on the provided context, there is no information about Crong shooting a ball at a hoop or scoring. The text describes a scene with Poby, Pororo, and Crong in a snowy village, but does not mention any basketball or shooting activity. Therefore, I cannot determine whether Crong scored or not from this context.",1.0
26,Pororo_ENGLISH1_1_ep2,730,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"I apologize, but based on the provided context, there is no mention of Eddy or what Eddy tells Poby to do after the camera is broken. The text describes Pororo accidentally breaking Poby's camera and then his friends trying to cheer Poby up, but there is no specific reference to a character named Eddy or any instructions from such a character.",0.0
30,Pororo_ENGLISH1_1_ep2,739,did pororo return the camera before he left?,yes he did return it,"Based on the given context, there is no explicit mention of Pororo returning the camera before leaving. The scene describes Pororo accidentally touching Poby's camera, apologizing, and then his friends helping to fix it. However, the text does not specifically state whether Pororo returned the camera or not before departing.",0.25
41,Pororo_ENGLISH1_1_ep5,912,how did pororo feel after seeing that the flower has wilted,he was very upset,"Based on the context, when Pororo saw that the dandelion had wilted, he felt sad and worried. He was initially very happy about receiving the flower from Loopy, but when he discovered it was dying, he became concerned and asked ""oh how did this happen"". However, after Crong explained that the flower's lifecycle is natural and its seeds will help new flowers blossom, Pororo's mood shifted to curiosity and hope, as he watched the seeds fly away and wished for many dandelions to grow again.",0.5
23,Pororo_ENGLISH1_1_ep6,946,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him","Based on the context provided, Crong was scared of Pororo because in the dark night, both Crong and Pororo mistook each other for a ghost. When Loopy was walking in the dark to get salt from Poby, Crong and Pororo were already in the area. Due to the darkness, wind, and strange noises, they each thought the other was a ghost, which caused Crong to be frightened. It was a misunderstanding caused by the dark, spooky atmosphere and their inability to clearly see each other.",0.25
4,Pororo_ENGLISH1_1_ep6,928,what seasoning does loopy add to her mixing bowl,loopy adds some salt,"Based on the context provided, Loopy adds salt to her mixing bowl. In the subtitles, she specifically says ""okay now a little salt"" and then mentions that the salt ran out, which prompts her to go to Poby's place to get more salt for her picnic baking.",1.0
