row_num,question_id,question,answer_type,truth_answer,predicted_answer,accuracy,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE1,ROUGE2,ROUGEL,METEOR
1,77311,what is on the shelf?,other,book,books,0.75,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5
2,12809,how many people are in the picture?,number,1,1,1.0,1.0,0.316227766016838,0.21544346900318845,0.1778279410038923,1.0,0.0,1.0,0.5
3,1214,are the people sitting or standing?,other,standing,standing,1.0,1.0,0.316227766016838,0.21544346900318845,0.1778279410038923,1.0,0.0,1.0,0.5
4,88112,what is the group of people doing?,other,standing,standing,1.0,1.0,0.316227766016838,0.21544346900318845,0.1778279410038923,1.0,0.0,1.0,0.5
5,36705,what are the buildings made of?,other,brick,bricks,0.75,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5
6,33098,is there a toy in the picture?,yes/no,yes,yes,1.0,1.0,0.316227766016838,0.21544346900318845,0.1778279410038923,1.0,0.0,1.0,0.5
7,30161,is there a man on a chair?,yes/no,yes,yes,1.0,1.0,0.316227766016838,0.21544346900318845,0.1778279410038923,1.0,0.0,1.0,0.5
8,15712,how many people are there?,number,2,2,1.0,1.0,0.316227766016838,0.21544346900318845,0.1778279410038923,1.0,0.0,1.0,0.5
9,87724,what is the girl doing?,other,standing,posing,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,12264,how many people are in the image?,number,1,1,1.0,1.0,0.316227766016838,0.21544346900318845,0.1778279410038923,1.0,0.0,1.0,0.5
11,81928,what is the character doing?,other,standing,peeking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,88069,what is the group of people doing?,other,sitting,sitting,1.0,1.0,0.316227766016838,0.21544346900318845,0.1778279410038923,1.0,0.0,1.0,0.5
13,66444,what color suit is the man on the left wearing?,other,blue,blue,1.0,1.0,0.316227766016838,0.21544346900318845,0.1778279410038923,1.0,0.0,1.0,0.5
14,11251,how many people are at the table?,number,2,2,1.0,1.0,0.316227766016838,0.21544346900318845,0.1778279410038923,1.0,0.0,1.0,0.5
15,71663,what is in the background?,other,sky,clouds,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,52604,what color is the man's hat?,other,blue,blue,1.0,1.0,0.316227766016838,0.21544346900318845,0.1778279410038923,1.0,0.0,1.0,0.5
17,1641,are the people standing or sitting?,other,standing,standing,1.0,1.0,0.316227766016838,0.21544346900318845,0.1778279410038923,1.0,0.0,1.0,0.5
18,1572,are the people standing or sitting?,other,standing,standing,1.0,1.0,0.316227766016838,0.21544346900318845,0.1778279410038923,1.0,0.0,1.0,0.5
19,11822,how many people are in the image?,number,2,2,1.0,1.0,0.316227766016838,0.21544346900318845,0.1778279410038923,1.0,0.0,1.0,0.5
20,29597,is there a human in the picture?,yes/no,yes,yes,1.0,1.0,0.316227766016838,0.21544346900318845,0.1778279410038923,1.0,0.0,1.0,0.5
21,31735,is there a pool table?,yes/no,yes,yes,1.0,1.0,0.316227766016838,0.21544346900318845,0.1778279410038923,1.0,0.0,1.0,0.5
22,61532,what color is the table?,other,blue,blue,1.0,1.0,0.316227766016838,0.21544346900318845,0.1778279410038923,1.0,0.0,1.0,0.5
23,72617,what is in the background?,other,building,storefront,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1386,are the people standing in a line?,yes/no,yes,yes,1.0,1.0,0.316227766016838,0.21544346900318845,0.1778279410038923,1.0,0.0,1.0,0.5
25,68247,what is behind the men?,other,fence,stakes,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,26965,is there a bridge in the photo?,yes/no,yes,yes,1.0,1.0,0.316227766016838,0.21544346900318845,0.1778279410038923,1.0,0.0,1.0,0.5
27,85910,what is the color of the sky?,other,blue,blue,1.0,1.0,0.316227766016838,0.21544346900318845,0.1778279410038923,1.0,0.0,1.0,0.5
28,78721,what is on the table?,other,suitcase,suitcase,1.0,1.0,0.316227766016838,0.21544346900318845,0.1778279410038923,1.0,0.0,1.0,0.5
29,84446,what is the color of the man's shirt on the left?,other,blue,blue,1.0,1.0,0.316227766016838,0.21544346900318845,0.1778279410038923,1.0,0.0,1.0,0.5
30,66434,what color suit is the character wearing?,other,blue,blue,1.0,1.0,0.316227766016838,0.21544346900318845,0.1778279410038923,1.0,0.0,1.0,0.5
31,52356,what color is the man's hair?,other,blue,blue,1.0,1.0,0.316227766016838,0.21544346900318845,0.1778279410038923,1.0,0.0,1.0,0.5
32,29887,is there a light hanging?,yes/no,yes,yes,1.0,1.0,0.316227766016838,0.21544346900318845,0.1778279410038923,1.0,0.0,1.0,0.5
33,55433,what color is the man's shirt?,other,white,white,1.0,1.0,0.316227766016838,0.21544346900318845,0.1778279410038923,1.0,0.0,1.0,0.5
34,71583,what is in the background?,other,table,gameboard,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,37083,what are the men doing?,other,standing,standing,1.0,1.0,0.316227766016838,0.21544346900318845,0.1778279410038923,1.0,0.0,1.0,0.5
36,96818,what is the person sitting on?,other,chair,chair,1.0,1.0,0.316227766016838,0.21544346900318845,0.1778279410038923,1.0,0.0,1.0,0.5
37,Average,Total Questions: 36,All,,,0.9097222222222222,,,,,,,,
