row_num,video_name,gif_num,qid,question,correct_answer,predicted_answer,accuracy
1,Pororo_ENGLISH1_1_ep1,14,383,whtat does eddy ask pororo,he asks pororo what are you doing,"based on the visual context, eddy appears to be asking crong about the reason behind pororo's urgent action",0.25
2,Pororo_ENGLISH1_1_ep10,12,1100,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","yes, pororo and crong appear very interested and excited, eagerly running toward the car and engaging with eddy's new toy",1.0
3,Pororo_ENGLISH1_1_ep10,4,1090,what did eddy say after getting the book?,"eddy told, "" what should i make today""","based solely on the visual context and subtitles, eddy appears to say ""where is it"" after getting the book",0.0
4,Pororo_ENGLISH1_1_ep11,51,1181,why did pororo look to ground?,because he was sorry.,pororo looks to the ground likely out of guilt or shame after causing a dangerous situation for loopy during their snowman-making adventure,0.75
5,Pororo_ENGLISH1_1_ep12,29,1215,what exploded in pororo's face,a bomb box exploded pororo's face,a bomb box hidden by someone (initially suspected to be crong but later revealed to be eddy) exploded in pororo's face,0.75
6,Pororo_ENGLISH1_1_ep12,36,1222,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"poby does not ask anything when he sees eddy in this scene, as the dialogue suggests eddy is the one who voluntarily admits to placing the box that caused the incident with pororo",0.0
7,Pororo_ENGLISH1_1_ep12,43,1226,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,eddy confesses to placing the bomb box that exploded and dirtied pororo's face,0.75
8,Pororo_ENGLISH1_1_ep12,49,1232,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"pororo scolds crong, believing he played a trick on him, but later discovers it was actually eddy who set up the prank, leading to a moment of reconciliation",0.5
9,Pororo_ENGLISH1_1_ep13,12,1258,did eddy stay longer after agreeing to sing,"no, he left right away","based on the visual scene description showing eddy turning his head and standing up, he did not stay longer after initially agreeing to sing",0.5
10,Pororo_ENGLISH1_1_ep13,41,1283,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","based on the scene description showing poby, loopy, and pororo clapping, eddy's entrance did not impress the audience",0.0
11,Pororo_ENGLISH1_1_ep2,16,711,did crong score after he shot the ball at the hoop?,no he did not score,"no, crong did not score after shooting the ball at the hoop, as the scene description explicitly states that he missed his shot and became disappointed",1.0
12,Pororo_ENGLISH1_1_ep2,19,716,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"yes, pororo apologizes to poby for knocking down his things, as shown by his verbal apology ""oh poby sorry"" and ""i am really sorry"" in the scene",1.0
13,Pororo_ENGLISH1_1_ep2,26,730,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"based on the visual context and subtitles, eddy tells poby they are going to leave after the camera is broken",1.0
14,Pororo_ENGLISH1_1_ep2,30,738,what does pororo almost forget to leave with poby,the broken camera piece,pororo almost forgets to leave poby's camera with him before departing,0.75
15,Pororo_ENGLISH1_1_ep5,41,912,how did pororo feel after seeing that the flower has wilted,he was very upset,"pororo appears sad and disappointed upon realizing the flower he was entrusted to care for has wilted, reflecting a sense of regret and learning about the natural life cycle of plants",1.0
16,Pororo_ENGLISH1_1_ep6,2,925,when and who will go to picnic,loopy is going to picnic tomorrow for fun,"loopy and friends (pororo and crong) will go on a picnic tomorrow, with loopy currently preparing food and gathering supplies",0.75
17,Pororo_ENGLISH1_1_ep6,23,946,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him","crong is scared of pororo because they both mistakenly thought each other was a ghost in the dark, causing mutual fear and surprise",0.5
