row_num,qid,video_name,gif_num,question,correct_answer,visual_description,initial_answer,predicted_answer,evaluator_scores,accuracy
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,"Eddy, a small orange fox, is smiling and standing next to Poby, a white bear, in a snowy outdoor setting. Eddy appears to be asking Pororo about his urgent action, looking curious and engaged.",eddy asks pororo about the reason for his urgent action.,eddy asks crong why pororo is acting urgently.,"0.25,0.25,0.25",0.25
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","Eddy is excitedly showing his new toy to Pororo and Crong, who are both looking at it with interest. The setting is indoors, with bookshelves in the background, indicating a cozy environment.","yes, eddy's friends pororo and crong were interested in seeing his new toy, as they looked at it excitedly.","yes, eddy's friends were interested in seeing his new toy, as they expressed excitement and planned to ride it together.","1.0,1.0,1.0",1.0
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","Eddy, an orange fox, holds a book with a joyful expression. He appears excited and is likely contemplating what to create next.","eddy excitedly exclaimed, ""what should i make today?"" after finding the book.","eddy excitedly exclaimed, ""what should i make today?"" after finding the book.","1.0,1.0,1.0",1.0
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,"Pororo looks to the ground while lowering his head, possibly in response to Loopy's concern. The snowy outdoor setting features trees and a bright blue sky, emphasizing the winter atmosphere.","pororo looked to the ground while lowering his head, likely responding to loopy's concern about the situation they were in.",pororo looked to the ground as he was focused on making a cute baby snowman and ensuring loopy's safety.,"0.0,0.0,0.0",0.0
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,"Pororo, wearing a helmet, has a surprised expression, while Crong, looking angry, is in the foreground. The setting appears to be indoors, likely a cozy room with wooden features.","a bomb box that crong hid exploded in pororo's face, causing his surprised expression.","a bomb box that crong hid exploded in pororo's face, causing his unusual appearance.","1.0,1.0,1.0",1.0
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"Poby, a gray bear, appears curious and slightly concerned as he moves his feet and stops. He asks Eddy, ""What is that box?"" with a questioning expression.","poby asks eddy, ""what is that box?"" with a curious and slightly concerned expression.","poby asks eddy, ""what happened to your face?""","0.0,0.0,0.0",0.0
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,"Loopy, a small orange fox, is smiling with closed eyes, indicating a cheerful demeanor. The indoor setting features a cozy room with wooden elements and kitchen utensils visible in the background.","eddy confesses to placing the box that caused the explosion, apologizing for the trouble it caused pororo.","eddy confesses to placing the box that caused the explosion, apologizing for the trouble it caused.","0.75,0.75,0.75",0.75
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"Pororo looks surprised and slightly upset, lowering his head before looking up at Crong. Crong closes his eyes, appearing calm as Pororo expresses his frustration about the trick.","pororo, realizing it was eddy and not crong, expresses his frustration by saying, ""you bad boy, did i not say it wouldn't be funny this time?""","pororo says to crong, ""i know that you did it, but it was actually eddy who played the trick.""","0.75,0.75,0.75",0.75
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away","Eddy is smiling with a cheerful expression, sitting at a table in a cozy indoor setting. He appears engaged and excited, suggesting he may have stayed longer after agreeing to sing.","yes, eddy appeared engaged and excited, suggesting he may have stayed longer after agreeing to sing.","eddy did not stay longer after agreeing to sing, as he left to do something at home.","1.0,1.0,1.0",1.0
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","Eddy enters with a confident posture, while Poby and Loopy are clapping their hands, showing excitement. The setting is indoors, with a cozy, wooden environment that enhances the cheerful atmosphere.","eddy's entrance impressed the audience, as poby and loopy clapped excitedly, showcasing their enthusiasm for his performance.","eddy's entrance impressed the audience, as they expressed excitement and admiration for his performance, despite his initial reluctance to sing.","1.0,1.0,1.0",1.0
11,711,Pororo_ENGLISH1_1_ep2,16,did crong score after he shot the ball at the hoop?,no he did not score,"Crong is inside Poby's house, and the basketball is visible near the hoop. Crong missed the shot, indicating he did not score.","crong did not score after he shot the ball at the hoop, as he missed his shot.","crong did not score after he shot the ball at the hoop, as he missed his shot and felt disappointed.","1.0,1.0,1.0",1.0
12,716,Pororo_ENGLISH1_1_ep2,19,does pororo apologize for knocking poby's things down,yes he says he is sorry and offers to clean it up,"Pororo is looking up at Poby with a concerned expression, indicating he is apologizing. Poby appears calm and forgiving, suggesting he accepts the apology.","yes, pororo apologizes to poby for knocking his things down.","yes, pororo apologizes to poby for knocking his things down.","1.0,1.0,1.0",1.0
13,730,Pororo_ENGLISH1_1_ep2,26,after the camera is broken what does eddy tell poby they are going to do,eddy says we are going to leave now,"Eddy and Loopy are in Poby's room, with a bed visible behind them. Eddy tells Poby, ""we are going to leave now,"" while Poby appears calm.","eddy tells poby, ""we are going to leave now,"" while poby appears calm in his room.",eddy tells poby that they are going to leave now.,"1.0,1.0,1.0",1.0
14,738,Pororo_ENGLISH1_1_ep2,30,what does pororo almost forget to leave with poby,the broken camera piece,"Pororo almost forgets to leave Poby's precious camera, which is placed on the floor. Poby stands nearby, looking at Pororo.","pororo almost forgets to leave with poby's precious camera, which is placed on the floor as he prepares to leave.",pororo almost forgets to leave with poby's precious camera.,"0.5,0.5,0.5",0.5
15,912,Pororo_ENGLISH1_1_ep5,41,how did pororo feel after seeing that the flower has wilted,he was very upset,"Pororo appears sad and concerned, with a frown on his face as he looks at the wilted flower. The flower, placed in a pot by the window, has turned brown and droopy, indicating its poor condition.","pororo felt sad and concerned after seeing that the flower had wilted, as indicated by his frown and worried expression.","pororo felt sad and surprised after seeing that the flower had wilted, wondering how it happened.","1.0,1.0,1.0",1.0
16,925,Pororo_ENGLISH1_1_ep6,2,when and who will go to picnic,loopy is going to picnic tomorrow for fun,"Loopy, wearing a chef hat, is smiling while mixing ingredients in a bowl, preparing for a picnic tomorrow. The setting is indoors, with kitchen items visible in the background.","loopy will go on a picnic tomorrow, preparing food tonight while wearing a chef hat.",loopy will go to the picnic tomorrow after finishing cooking tonight.,"0.75,0.75,0.75",0.75
17,946,Pororo_ENGLISH1_1_ep6,23,why is crong scared of pororo?,"crong is scared because it is dark, he doesn't have a lantern and his mind is playing tricks on him","Crong has a surprised expression with his mouth open and is shaking his head while holding a lamp. The dark, nighttime setting adds to his fear, as he mistakes Pororo for a ghost.","crong is scared of pororo because he mistakes him for a ghost in the dark, leading to his surprised reaction.",crong is scared of pororo because he mistakenly thought pororo was a ghost in the dark.,"0.75,0.75,0.75",0.75
18,928,Pororo_ENGLISH1_1_ep6,4,what seasoning does loopy add to her mixing bowl,loopy adds some salt,Loopy is holding a salt bottle and is sprinkling salt into her mixing bowl. The setting appears to be a cozy indoor kitchen.,loopy adds salt to her mixing bowl while cooking.,loopy adds salt to her mixing bowl while cooking.,"1.0,1.0,1.0",1.0
