row_num,question_id,image_path,question,answer_type,correct_answer,visual_description,visual_language_answer,evaluator_scores,accuracy,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE1,ROUGE2,ROUGEL,METEOR,BERTScore_Precision,BERTScore_Recall,BERTScore_F1,BLEURT
1,77311,S27E11-05901.jpg,what is on the shelf?,other,book,"The shelf contains a few books, an orange vase, and a small plaque that reads ""INTERIM PRINCIPAL OF THE YEAR.""",books,"1.0, 1.0, 1.0",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.87256383895874,0.87256383895874,0.87256383895874,0.42950314283371
2,12809,S24E12-26951.jpg,how many people are in the picture?,number,1,"There is one person in the picture, depicted as a character with yellow skin, wearing a black hat and a formal outfit.",1,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.449558734893799
3,1214,S26E11-03301.jpg,are the people sitting or standing?,other,standing,All characters in the image are standing.,standing,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.00000011920929,1.00000011920929,1.00000011920929,0.703314602375031
4,88112,S27E20-04751.jpg,what is the group of people doing?,other,standing,"The group of people is standing in an airport terminal, with Homer looking surprised while Marge, Bart, and Lisa are waiting, and various travelers are seated or moving around.",waiting,"0.75, 0.75, 0.75",0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666831254959106,0.666831254959106,0.666831254959106,0.102812811732292
5,36705,S27E21-07251.jpg,what are the buildings made of?,other,brick,"The buildings are made of red brick, with a rough texture and visible mortar lines, typical of urban environments in The Simpsons.",brick,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.697356343269348
6,33098,S25E20-05851.jpg,is there a toy in the picture?,yes/no,yes,"Yes, there are toy bricks scattered around Bart in the foreground, indicating a playful scene.",yes,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.566435396671295
7,30161,S28E21-16651.jpg,is there a man on a chair?,yes/no,yes,"Yes, there is a man in a teal suit standing next to a woman in a purple dress, with his foot raised as if he is about to sit down on a chair that is partially visible behind him.",yes,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.566435396671295
8,15712,S26E04-20751.jpg,how many people are there?,number,2,"There are two characters visible in the scene: Homer, who is standing with an expressive gesture, and Bart, who is hovering and appears to be engaged in conversation.",2,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.510495722293854
9,87724,S26E11-10751.jpg,what is the girl doing?,other,standing,"The girl is standing in the foreground, looking up with a surprised expression, while her hair is styled in a spiky manner.",surprised,"0.25, 0.25, 0.25",0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.719765663146973,0.719765663146973,0.719765663146973,0.0320543497800827
10,12264,S30E19-18201.jpg,how many people are in the image?,number,1,"There is one person in the image, specifically Marge Simpson, who is sitting in the driver's seat of a car.",1,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.449558734893799
11,81928,S25E21-05701.jpg,what is the character doing?,other,standing,"Bart is peeking around the corner of a building, looking cautiously towards the street.",peeking,"0.25, 0.25, 0.25",0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.768630266189575,0.768630266189575,0.768630266189575,0.0120184421539307
12,88069,S26E05-16151.jpg,what is the group of people doing?,other,sitting,"The group of people is sitting in theater seats, intently watching a performance, with some displaying expressions of excitement or anticipation.",watching,"0.5, 0.5, 0.5",0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.678391098976135,0.678391098976135,0.678391098976135,0.0836096405982971
13,66444,S32E08-00801.jpg,what color suit is the man on the left wearing?,other,blue,The man on the left is wearing a dark blue suit.,blue,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.673380553722382
14,11251,S24E16-21001.jpg,how many people are at the table?,number,2,"There are two people at the table: Homer and Bart, both sitting and engaged in conversation.",2,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.510495722293854
15,71663,S26E14-05851.jpg,what is in the background?,other,sky,"The background features a clear blue sky with a few fluffy white clouds and a distant building structure, suggesting an outdoor setting.",sky,"1.0, 1.0, 1.0",1.0,1.0,0.316227766016838,0.215443469003188,0.177827941003892,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.645870089530945
