row_num,question_id,question,answer_type,correct_answer,visual_desc,initial_predicted_answer,predicted_answer,evaluator_scores,accuracy
1,77311,what is on the shelf?,other,book,"The image features two characters: Seymour Skinner, who is wearing a suit and has a serious expression, and Bart Simpson, who is in a red shirt and appears to be looking at Skinner with a mischievous demeanor. In the background, there is a shelf with several books and an orange object, possibly a vase. A plaque on the shelf reads ""INTERIM PRINCIPAL OF THE YEAR"" with Skinner's name. The setting appears to be an indoor office or classroom environment.",books,shelf,"0.25, 0.25, 0.25",0.25
2,12809,how many people are in the picture?,number,1,"The image features one character, a cartoon figure with yellow skin and large eyes. The character is wearing a black hat and a formal outfit, consisting of a white shirt and a black vest. They appear to be standing in a neutral background that is a solid brown color. The character's facial expression suggests concern or anxiety.",1,1,"1.0, 1.0, 1.0",1.0
3,1214,are the people sitting or standing?,other,standing,"The scene is set indoors, featuring five characters. Two characters are standing: one in a suit with a mustache and another in a green shirt holding a cake. The remaining three characters, including a woman in a purple sweater and a man in a blue shirt, are also standing, each holding drinks. There are balloons in the background, and a table with cake is visible.",standing,standing,"1.0, 1.0, 1.0",1.0
4,88112,what is the group of people doing?,other,standing,"The scene takes place in an airport terminal, characterized by a modern architectural design with a high ceiling and large windows. A family consisting of a man with a bald head, a woman with tall blue hair, and two children is standing together, looking around. The children are holding backpacks, and the man appears to be holding a device. In the background, other travelers are seated or moving about, with signs indicating boarding gates E32 and E33.",traveling,waiting,"0.75, 0.75, 0.75",0.75
5,36705,what are the buildings made of?,other,brick,"The scene is set in an outdoor alleyway, characterized by a brick wall in the background. Two cartoon characters are present: one is bending over a blue bucket labeled ""OFFICIAL THROW-UP BUCKET,"" while the other stands nearby with a concerned expression. The ground is littered with trash, and there are various items, including a green bottle and a box, visible in the scene. The buildings appear to be made of red brick, with some metal pipes running along the wall.",brick,brick,"1.0, 1.0, 1.0",1.0
6,33098,is there a toy in the picture?,yes/no,yes,"The image features a large, cartoonish character with a yellow head and spiky hair, wearing a red shirt. The character appears to be standing in a colorful outdoor environment resembling a schoolyard, with a school building in the background. Surrounding the character are various toy blocks scattered on the ground, indicating that they are interacting with these objects. The scene is bright and vibrant, emphasizing the playful nature of the setting.",yes,yes,"1.0, 1.0, 1.0",1.0
7,30161,is there a man on a chair?,yes/no,yes,"The image shows a scene indoors, likely in a restaurant or lounge. A man with yellow skin and gray hair is leaning forward with one leg raised, appearing to engage with a woman in a purple dress, who is standing nearby. In the background, a musician is playing a double bass, and another man is seated at a piano. There is no man sitting on a chair in the foreground.",no,no,"0.0, 0.0, 0.0",0.0
8,15712,how many people are there?,number,2,"The image features two cartoon characters from ""The Simpsons."" On the left, Homer Simpson is standing with an angry expression and raised hands, wearing a white shirt. On the right, Bart Simpson is depicted in a playful pose, slightly bent forward with one hand raised, wearing a red shirt and blue shorts. The scene appears to be set indoors, with a couch and a lamp visible in the foreground. There are two characters present in the image.",2,2,"1.0, 1.0, 1.0",1.0
9,87724,what is the girl doing?,other,standing,"The image features three characters from a cartoon: a woman with blue hair and a green dress, a girl with spiky yellow hair and a white necklace, and a boy with short yellow hair wearing a red shirt. They are all looking upward with wide eyes, suggesting they are observing something above them. The setting appears to be indoors, with a simple background that includes a wall and a doorway.",observing,observing,"0.5, 0.5, 0.5",0.5
10,12264,how many people are in the image?,number,1,"The image features one character, a woman with blue hair styled in a large shape, sitting in the driver's seat of a car. She is gripping the steering wheel with a serious expression, and her body is slightly turned towards the front of the vehicle. The interior of the car is visible, showcasing a purple dashboard and red upholstery. The scene appears to be set indoors, likely in a parking area.",1,1,"1.0, 1.0, 1.0",1.0
11,81928,what is the character doing?,other,standing,"The character Bart Simpson is peeking around the corner of a building. He is positioned on the left side of the image, with his body partially hidden behind the wall. The scene is set outdoors, featuring a sidewalk and buildings in the background. Bart has a surprised expression, and he is wearing a red shirt and blue shorts.",peeking,peeking,"0.25, 0.25, 0.25",0.25
12,88069,what is the group of people doing?,other,sitting,"The image shows a group of cartoon characters seated in a theater. The characters include a man with dark hair and a green shirt, another with a pink sweater and gray jacket, and a third with a blue shirt. They appear to be watching something on stage, with their bodies leaning slightly forward and hands resting on their knees, indicating engagement with the performance. The setting is indoors, likely a theater, with purple seats visible in the foreground.",watching,watching,"0.5, 0.5, 0.5",0.5
13,66444,what color suit is the man on the left wearing?,other,blue,"The man on the left is wearing a dark blue suit with a light blue shirt and a red tie. He has a round face and is smiling as he walks through a doorway. The scene appears to be indoors, likely in a school setting, with classroom furniture visible in the background. The other man, on the right, is wearing a dark sweater over a collared shirt and is gesturing with his hand.",blue,blue,"1.0, 1.0, 1.0",1.0
14,11251,how many people are at the table?,number,2,"The image shows two characters sitting at a table in a brightly colored indoor setting. Homer Simpson, wearing a white shirt, is leaning back with a smile, while Bart Simpson, in a red shirt, is laughing and gesturing with his hands. There are plates of food in front of them, along with glasses of water. The scene features a pink wall and a potted plant with red flowers in the background.",2,2,"1.0, 1.0, 1.0",1.0
15,71663,what is in the background?,other,sky,"The background features a clear blue sky with a few white clouds. There is a building visible behind the characters, which appears to be a simple structure with windows. The scene is set outdoors, likely in a parking area, as indicated by the red car in the foreground.",sky,background,"0.25, 0.25, 0.25",0.25
16,52604,what color is the man's hat?,other,blue,"The image features a man in a military-style outfit wearing a blue hat. He is standing next to a young girl with spiky yellow hair and a pearl necklace, and an older man with glasses and a light pink shirt. They are positioned outdoors, with a large airplane wheel visible in the background. The man in the blue hat appears to be gesturing as he speaks.",blue,blue,"1.0, 1.0, 1.0",1.0
17,1641,are the people standing or sitting?,other,standing,"The scene is set indoors, featuring a kitchen area with a large window showing palm trees outside. Three characters are present: a man with a bald head and a floral shirt, a woman with blue hair and a floral dress, and another man wearing glasses and holding a tray with drinks. The woman and the man with glasses are standing, while the man in the floral shirt is turned slightly to the side, also standing.",standing,standing,"1.0, 1.0, 1.0",1.0
18,1572,are the people standing or sitting?,other,standing,"The scene is set outdoors in a backyard, with a wooden fence in the foreground. Two children, one with curly brown hair and the other with pink hair, are standing on either side of the fence, leaning forward with their hands on the fence. In the background, an adult male character with yellow skin, wearing a white shirt and blue pants, is standing and facing the children.",standing,standing,"1.0, 1.0, 1.0",1.0
19,11822,how many people are in the image?,number,2,"The image features two cartoon characters inside a vehicle. On the left, a man with gray hair and a white shirt is seated, appearing to speak or react with a smile. On the right, a woman with blue hair and a yellow complexion is driving, holding the steering wheel with a serious expression. The scene is set indoors in a car, with a view of a suburban area visible through the windows. There are two people in the image.",2,2,"1.0, 1.0, 1.0",1.0
20,29597,is there a human in the picture?,yes/no,yes,"The image features a cartoon character with a yellow complexion, wearing a white shirt. He is holding a guitar and appears to be smiling while looking at it. The background includes various guitars hanging on the wall and an amplifier on the right. This indicates that the scene is set in a music-related environment.",yes,yes,"1.0, 1.0, 1.0",1.0
21,31735,is there a pool table?,yes/no,yes,"The scene is set indoors, likely in a bar or game room. Two characters, one with a yellow complexion wearing a white shirt and blue pants, and another in a dark suit, are interacting near a green pool table. The first character is holding a stack of bills, while the second is poised to take a shot with a cue stick, aiming at the colored balls on the table. The pool table is prominently featured in the center of the image.",yes,yes,"1.0, 1.0, 1.0",1.0
22,61532,what color is the table?,other,blue,"The scene is set in a school cafeteria with several characters seated at a long table. The table is a light gray color. Lisa, a character with spiky yellow hair, is standing and looking into a brown paper bag, while other characters are seated, some holding drinks. The background features a green wall and a door leading to another area.",gray,gray,"0.25, 0.25, 0.25",0.25
23,72617,what is in the background?,other,building,"The background features a street scene with several buildings, including a storefront labeled ""Neiman Mark-Up"" and another labeled ""SPIFF."" There are signs indicating ""FOR LEASE"" on the windows. The environment appears to be an outdoor shopping area with a cobblestone pathway. Green trees are visible in the distance, adding to the urban setting.",shopping,shopping,"0.25, 0.25, 0.25",0.25
24,1386,are the people standing in a line?,yes/no,yes,"The scene is set outdoors, featuring a gathering of characters in front of a decorated backdrop. A woman with blue hair, wearing a pink dress, is holding a bouquet and standing next to a man in a black robe, who appears to be officiating. Surrounding them are several other characters, mostly dressed in formal attire, facing the couple. The group is arranged in a semi-circle rather than a straight line.",no,no,"0.0, 0.0, 0.0",0.0
25,68247,what is behind the men?,other,fence,"In the image, two cartoon characters are engaged in conversation. The character on the left, wearing a red cape and holding a phone, appears animated and expressive, while the character on the right, dressed in a dark cloak, holds a skull with antlers. Behind them, there is a wooden structure resembling a cage, with a dark, cloudy sky and a landscape of rocks and grass visible in the background.",cage,cage,"0.25, 0.25, 0.25",0.25
26,26965,is there a bridge in the photo?,yes/no,yes,"The image features four cartoon characters posing together outdoors. They are smiling and standing in front of a large, metal bridge, which is visible in the background. The characters are dressed in casual clothing, with one wearing headphones and another in a sports jersey. The scene is bright, with a clear blue sky and a few clouds.",yes,yes,"1.0, 1.0, 1.0",1.0
27,85910,what is the color of the sky?,other,blue,"The scene is set outdoors on a ship, with a clear sky above. The sky is a light blue, transitioning to a deeper blue near the horizon. Two characters are present: Homer, who is wearing a dark blue shirt and white pants, is holding a stick and appears to be focused on his task. Bart, dressed in a similar dark blue outfit with a pirate hat, stands beside him, looking away.",blue,blue,"1.0, 1.0, 1.0",1.0
28,78721,what is on the table?,other,suitcase,"The scene is set indoors in a modern kitchen and dining area. A woman with light brown hair is leaning over a round table, interacting with a black suitcase. In the background, a man is standing at the kitchen counter, cooking. The table is empty aside from the suitcase, and there are chairs around it.",suitcase,suitcase,"1.0, 1.0, 1.0",1.0
29,84446,what is the color of the man's shirt on the left?,other,blue,"The image features two characters on a stage with a red curtain in the background. On the left, a man wearing glasses and a gray blazer holds a microphone and appears to be speaking. On the right, a man with a mustache is wearing a light blue shirt and orange pants, holding a reel of film in one hand and a tool in the other.",gray,blue,"1.0, 1.0, 1.0",1.0
30,66434,what color suit is the character wearing?,other,blue,"The character in the foreground is wearing a dark blue suit with a white shirt and a red tie. He has a concerned expression and is gesturing with his hand. In the background, another character wearing a helmet is partially visible, peering over the seat. The scene appears to be set inside a vehicle with a clear sky and mountains visible outside.",blue,blue,"1.0, 1.0, 1.0",1.0
31,52356,what color is the man's hair?,other,blue,The image features a cartoon character with bright blue hair styled in a curly manner. She is wearing a light blue robe over a pink top and is gesturing with her left hand. The background shows a clear sky with a few clouds and green foliage. The character appears to be engaged in conversation.,blue,blue,"1.0, 1.0, 1.0",1.0
32,29887,is there a light hanging?,yes/no,yes,"The image features a cartoon character with a yellow complexion, wearing a white shirt. He has a concerned expression and is seated on a green couch. The background consists of red brick walls, and there is a light hanging from the ceiling above him. The light is a pendant style, casting a soft glow in the scene.",yes,yes,"1.0, 1.0, 1.0",1.0
33,55433,what color is the man's shirt?,other,white,"The image features a cartoon character with a bald head and large eyes, wearing a white shirt. He has an open mouth, suggesting he is speaking or expressing excitement. The background includes green foliage and a hint of water, indicating an outdoor scene. The character is positioned towards the left side of the image.",white,white,"1.0, 1.0, 1.0",1.0
34,71583,what is in the background?,other,table,"The image shows two cartoon hands, one yellow and one a darker shade, holding a purple bill labeled ""LUCRETIA MOTT"" with a portrait of a woman. In the background, there is a game board featuring various colorful squares and images, including a bird and a character resembling a woman in a bonnet. The scene appears to be indoors, likely around a table where the game is being played.",board,board,"0.25, 0.25, 0.25",0.25
35,37083,what are the men doing?,other,standing,"Two cartoon men are standing in front of a red curtain in an indoor setting. The man on the left, wearing a light blue suit with a pink tie, has his left hand raised as if gesturing or expressing concern. The man on the right, dressed in a dark blue suit, stands with a neutral posture, looking towards the left. The background features a wall with some hanging objects, suggesting a stage or performance area.",gesturing,conversing,"0.5, 0.5, 0.5",0.5
36,96818,what is the person sitting on?,other,chair,"The scene is set indoors at a dining table, where three characters are present: Marge, with blue hair and a green dress, Bart, wearing a red shirt, and Homer, in a white shirt. Homer is animatedly gesturing with his hands while sitting on a wooden chair. The table is set with plates of food, and a glass of water is visible in front of him.",chair,chair,"1.0, 1.0, 1.0",1.0
37,Average,Total Questions: 36,All,,,,,,0.75
