row_num,qid,video_name,gif_num,question,correct_answer,visual_description,visual_language_answer,evaluator_scores,accuracy
1,383,Pororo_ENGLISH1_1_ep1,14,whtat does eddy ask pororo,he asks pororo what are you doing,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['orange fur', 'happy expression'], 'location': ['foreground', 'left']}, {'name': 'Poby', 'attributes': ['white fur', 'neutral expression'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Eddy', 'action': 'asks', 'object': 'Pororo'}], 'relationships': [{'subject': 'Eddy', 'relation': 'next to', 'object': 'Poby'}], 'uncertain': [{'description': ""Crong's position"", 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Eddy with an orange fur and a happy expression.', 'center': 'Unclear area, possibly where Crong is located.', 'right': 'Poby with white fur and a neutral expression.', 'foreground': 'Eddy and Poby are in the foreground.', 'background': 'Ice and snow landscape with unclear details.'}}",eddy asks pororo what he is doing.,"0.75,0.75,0.75",0.75
2,1100,Pororo_ENGLISH1_1_ep10,12,were eddy's friends interested seeing his new toy?,"yes, they ran happily towards the new toy.","{'Task 1': {'objects': [{'name': 'Pororo', 'attributes': ['blue jacket', 'round body'], 'location': ['center', 'center']}, {'name': 'Crong', 'attributes': ['green color', 'small dinosaur'], 'location': ['left', 'left']}, {'name': 'Eddy', 'attributes': ['orange color', 'fox'], 'location': ['right', 'right']}], 'actions': [{'subject': 'Pororo', 'action': 'look at', 'object': 'Eddy'}, {'subject': 'Crong', 'action': 'look at', 'object': 'Eddy'}, {'subject': 'Eddy', 'action': 'show', 'object': 'toy'}], 'relationships': [{'subject': 'Pororo', 'relation': 'next to', 'object': 'Crong'}, {'subject': 'Eddy', 'relation': 'facing', 'object': 'Pororo'}, {'subject': 'Eddy', 'relation': 'facing', 'object': 'Crong'}], 'uncertain': []}, 'Task 2': {'left': 'Crong is standing and looking at Eddy.', 'center': 'Pororo is facing Eddy, showing interest.', 'right': 'Eddy is showing a toy to Pororo and Crong.', 'foreground': 'Characters are in the foreground, engaged with each other.', 'background': 'Bookshelves are visible in the background.'}}","yes, eddy's friends pororo and crong showed interest in seeing his new toy.","1.0,1.0,1.0",1.0
3,1090,Pororo_ENGLISH1_1_ep10,4,what did eddy say after getting the book?,"eddy told, "" what should i make today""","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['orange fur', 'smiling', 'holding a book'], 'location': ['foreground', 'center']}, {'name': 'bookshelf', 'attributes': ['wooden', 'filled with colorful books'], 'location': ['background', 'center']}], 'actions': [{'subject': 'Eddy', 'action': 'holds', 'object': 'book'}], 'relationships': [{'subject': 'Eddy', 'relation': 'in front of', 'object': 'bookshelf'}], 'uncertain': [{'description': 'details of the book', 'location': ['foreground', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'The left region is empty.', 'center': 'Eddy is smiling and holding a book.', 'right': 'The right region is empty.', 'foreground': 'Eddy is prominently displayed in the foreground.', 'background': 'A bookshelf filled with colorful books is visible.'}}","eddy said, ""what should i make today?"" after getting the book.","1.0,1.0,1.0",1.0
4,1181,Pororo_ENGLISH1_1_ep11,51,why did pororo look to ground?,because he was sorry.,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Loopy', 'attributes': ['pink', 'small', 'standing'], 'location': ['foreground', 'left']}, {'name': 'Pororo', 'attributes': ['blue', 'wearing goggles', 'standing'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Pororo', 'action': 'lowers', 'object': 'head'}, {'subject': 'Loopy', 'action': 'puts', 'object': 'hands on sides'}], 'relationships': [{'subject': 'Loopy', 'relation': 'to the left of', 'object': 'Pororo'}], 'uncertain': [{'description': ""Pororo's exact expression or reason for looking down"", 'location': ['foreground', 'right']}]}, 'Task 2 - Region-based Captions': {'left': 'Loopy is standing with hands on her sides.', 'center': 'The area is empty.', 'right': 'Pororo is standing with his head lowered.', 'foreground': 'Loopy and Pororo are both visible in the foreground.', 'background': 'Snowy landscape with trees and a blue sky.'}}","pororo looked to the ground as he lowered his head, possibly feeling shy or contemplative in the moment.","0.75,0.75,0.75",0.75
5,1215,Pororo_ENGLISH1_1_ep12,29,what exploded in pororo's face,a bomb box exploded pororo's face,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['wearing goggles', 'blue outfit'], 'location': ['foreground', 'left']}, {'name': 'Crong', 'attributes': ['green color', 'angry expression'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Crong', 'action': 'looks', 'object': 'Pororo'}], 'relationships': [{'subject': 'Pororo', 'relation': 'to the left of', 'object': 'Crong'}], 'uncertain': [{'description': 'details about the bomb box', 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Pororo with goggles, looking at Crong.', 'center': 'Unclear details, possibly a bomb box.', 'right': 'Crong with an angry expression.', 'foreground': 'Pororo and Crong are both visible.', 'background': 'Room interior with unclear details.'}}",a bomb box that crong hid exploded in pororo's face.,"1.0,1.0,1.0",1.0
6,1222,Pororo_ENGLISH1_1_ep12,36,what does poby ask when he sees eddy,poby asks eddy why is he so jumpy,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Poby', 'attributes': ['polar bear', 'gray'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Poby', 'action': 'moves', 'object': 'feet'}], 'relationships': [], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'The left region is empty.', 'center': 'Poby is moving his feet.', 'right': 'The right region is empty.', 'foreground': 'Poby is in the foreground.', 'background': 'The background features icy blue formations.'}}","poby asks eddy, ""why are you so jumpy?""","1.0,1.0,1.0",1.0
7,1226,Pororo_ENGLISH1_1_ep12,43,what does confess in loopy's house,eddy confesses he placed the box in pororo's house,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['lowered ears'], 'location': ['foreground', 'center']}, {'name': 'Loopy', 'attributes': [], 'location': ['foreground', 'left']}, {'name': 'Pororo', 'attributes': ['covered with dirt'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Eddy', 'action': 'talking', 'object': None}], 'relationships': [{'subject': 'Eddy', 'relation': 'looking at', 'object': 'Loopy'}, {'subject': 'Eddy', 'relation': 'looking at', 'object': 'Pororo'}, {'subject': 'Loopy', 'relation': 'looking at', 'object': 'Pororo'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Loopy is present, but specific details are unclear.', 'center': 'Eddy is talking with lowered ears.', 'right': 'Pororo is covered with dirt.', 'foreground': 'Eddy, Loopy, and Pororo are all in the foreground.', 'background': 'The background is a simple interior, details are unclear.'}}","eddy confesses, ""to be honest with you, i placed the box there,"" while loopy and pororo listen.","1.0,1.0,1.0",1.0
8,1232,Pororo_ENGLISH1_1_ep12,49,what does pororo say to crong after he realizes it was eddy and not crong,pororo apologizes to crong and says he made a mistake,"{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Pororo', 'attributes': ['penguin', 'wearing goggles', 'blue and white'], 'location': ['center', 'left']}, {'name': 'Loopy', 'attributes': ['pink beaver'], 'location': ['center', 'right']}, {'name': 'Crong', 'attributes': ['green dinosaur'], 'location': ['center', 'right']}], 'actions': [{'subject': 'Pororo', 'action': 'looks up', 'object': None}, {'subject': 'Crong', 'action': 'closes eyes', 'object': None}], 'relationships': [{'subject': 'Pororo', 'relation': 'is next to', 'object': 'Crong'}, {'subject': 'Loopy', 'relation': 'is next to', 'object': 'Crong'}], 'uncertain': [{'description': 'details of the background', 'location': ['background', 'center']}]}, 'Task 2 - Region-based Captions': {'left': 'Pororo is visible, looking up with a concerned expression.', 'center': 'Loopy is present, observing the situation.', 'right': 'Crong is looking at Pororo with closed eyes.', 'foreground': 'The characters are positioned around a table.', 'background': 'The background contains unclear details, possibly furniture.'}}","""crong, i apologize, i made a mistake.""","1.0,1.0,1.0",1.0
9,1258,Pororo_ENGLISH1_1_ep13,12,did eddy stay longer after agreeing to sing,"no, he left right away","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Eddy', 'attributes': ['smiling', 'sitting'], 'location': ['foreground', 'center']}], 'actions': [{'subject': 'Eddy', 'action': 'sits', 'object': None}], 'relationships': [], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'The left region is empty.', 'center': 'Eddy is smiling and sitting at a table.', 'right': 'The right region is empty.', 'foreground': 'Eddy is the only character visible in the foreground.', 'background': 'The background contains indistinct objects and decorations.'}}","eddy did not stay longer after agreeing to sing, as he stated, ""i am going to go now.""","1.0,1.0,1.0",1.0
10,1283,Pororo_ENGLISH1_1_ep13,41,did eddy's entrance impress the audience,"yes, they were all surprised and clapped","{'Task 1 - Structured Scene Understanding': {'objects': [{'name': 'Poby', 'attributes': ['polar bear', 'raising hands'], 'location': ['foreground', 'left']}, {'name': 'Loopy', 'attributes': ['pink beaver', 'smiling'], 'location': ['foreground', 'right']}], 'actions': [{'subject': 'Poby', 'action': 'talking', 'object': None}, {'subject': 'Poby', 'action': 'gathering', 'object': 'hands'}, {'subject': 'Poby', 'action': 'clapping', 'object': None}, {'subject': 'Loopy', 'action': 'clapping', 'object': None}], 'relationships': [{'subject': 'Poby', 'relation': 'next to', 'object': 'Loopy'}], 'uncertain': []}, 'Task 2 - Region-based Captions': {'left': 'Poby the polar bear is raising his hands and smiling.', 'center': 'The area is empty or unclear.', 'right': 'Loopy the pink beaver is smiling and clapping.', 'foreground': 'Poby and Loopy are both visible and engaged in clapping.', 'background': 'The interior of a wooden house is visible with windows.'}}","yes, eddy's entrance impressed the audience, as indicated by poby and loopy clapping and expressing excitement.","1.0,1.0,1.0",1.0
11,711,Pororo_ENGLISH1_1_ep2,16,did crong score after he shot the ball at the hoop?,no he did not score,"Visual Description: Crong misses his shot with the basketball, so Crong gets disappointed. Crong is in Poby's house.",crong did not score after he shot the ball at the hoop.,"1.0,1.0,1.0",1.0
